gate,strategy,trades,total_r,pf,win_rate,avg_r
baseline_all,TrendBreakV1,381,194.6070981564405,1.794214057095213,0.3937007874015748,0.5107797851875079
block_stop_on_entry_bar,TrendBreakV1,331,151.2351633879894,1.6945253853160585,0.3806646525679758,0.45690381688214315
block_f1_on_entry_bar,TrendBreakV1,336,157.93247653917322,1.7184865026946536,0.38392857142857145,0.47003713255706314
block_same_dir_stop_6h,TrendBreakV1,4,-0.30053132916731773,0.9082295790480946,0.25,-0.07513283229182943
block_f1_6h,TrendBreakV1,134,63.759053138462704,1.7244397279338515,0.3880597014925373,0.47581382939151273
block_same_dir_stop_24h,TrendBreakV1,4,-0.30053132916731773,0.9082295790480946,0.25,-0.07513283229182943
block_stop_any_24h,TrendBreakV1,2,1.95070256640639,2.90575896712412,0.5,0.975351283203195
block_f1_only_24h,TrendBreakV1,81,35.2604021605964,1.646775338073682,0.38271604938271603,0.4353136069209432
block_same_dir_unless_check,TrendBreakV1,208,135.25994221613917,2.081704332060818,0.42788461538461536,0.6502881837314383
block_same_dir_unless_check_h1only,TrendBreakV1,25,1.1413778408729773,1.0595675142536318,0.28,0.045655113634919094
asym_xau_sell_gbp_buy_stop,TrendBreakV1,314,144.4550282893382,1.6994415068626507,0.3821656050955414,0.46004786079407073
asym_plus_check,TrendBreakV1,179,113.61579823864126,2.0489958132051775,0.4245810055865922,0.6347251298248116
favor_sweep_down_long_only,TrendBreakV1,368,184.4645996602585,1.777110795375535,0.391304347826087,0.5012624990767894
t5_no_gate,H4_T5_practical,30,25.334576847989222,3.4308696078483205,0.6,0.8444858949329741
t5_block_same_dir_stop,H4_T5_practical,2,3.979800273063686,inf,1.0,1.989900136531843
