zone_type,currency,side_mode,price_lo,price_hi,price_mid,loss_count,student_count,start_jst,end_jst,avg_loss_pips,psychology
FEAR_STOP,EURJPY,buy,162.74,162.74,162.74,1,1,2024-10-09 16:38:00,2024-10-10 18:32:00,-12.0,損切集中・恐怖の出口
FEAR_STOP,EURJPY,sell,163.83,163.83,163.83,1,1,2024-11-15 02:25:00,2024-11-18 22:05:00,-79.9,損切集中・恐怖の出口
FEAR_STOP,EURJPY,sell,164.1,164.1,164.1,1,1,2024-11-19 15:56:00,2024-11-20 15:23:00,-177.6,損切集中・恐怖の出口
FEAR_STOP,EURJPY,buy,172.3,172.3,172.3,1,1,2025-10-02 16:00:00,2025-10-02 18:00:00,-65.0,損切集中・恐怖の出口
FEAR_STOP,EURJPY,sell,175.0,175.0,175.0,1,1,2025-10-03 10:00:00,2025-10-06 06:00:00,-205.0,損切集中・恐怖の出口
FEAR_STOP,EURJPY,buy,177.57,177.57,177.57,1,1,2025-10-27 22:00:00,2025-10-28 10:00:00,-63.0,損切集中・恐怖の出口
FEAR_STOP,EURJPY,buy,178.979,178.979,178.979,1,1,2025-11-12 14:03:00,2025-11-14 22:44:00,-11.7,損切集中・恐怖の出口
FEAR_STOP,EURJPY,buy,180.6,180.6,180.6,1,1,2025-11-26 23:59:00,2025-11-28 19:55:00,-74.0,損切集中・恐怖の出口
FEAR_STOP,EURJPY,buy,182.72,182.72,182.72,1,1,2025-12-18 14:33:00,2026-01-07 16:44:00,-19.2,損切集中・恐怖の出口
FEAR_STOP,EURJPY,buy,183.27,183.27,183.27,1,1,2026-01-20 13:52:00,2026-01-26 07:50:00,-104.4,損切集中・恐怖の出口
FEAR_STOP,EURJPY,buy,185.59,185.59,185.59,1,1,2026-01-22 21:50:00,2026-01-23 16:43:00,-19.7,損切集中・恐怖の出口
FEAR_STOP,EURUSD,buy,1.107,1.163,1.1333371428571428,7,6,2024-09-17 00:00:00,2025-12-06 01:20:00,-42.55714285714286,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,191.23,191.569,191.41766666666663,6,6,2024-09-02 17:33:00,2025-01-16 06:41:00,-97.66666666666667,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,193.12,193.41,193.2495,6,5,2024-09-26 16:40:00,2024-12-11 16:23:00,-87.34999999999998,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,192.4,192.73,192.56599999999997,5,5,2024-09-26 23:00:00,2024-10-04 18:41:00,-146.79999999999998,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,198.703,198.85,198.75060000000002,5,5,2024-10-29 10:00:00,2025-09-30 21:42:00,-65.17999999999999,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,194.6,194.6,194.6,4,3,2024-10-07 08:14:00,2024-10-16 10:17:00,-83.8,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,185.46,185.8,185.63333333333335,3,3,2024-09-14 03:00:00,2024-09-17 00:00:00,-88.23333333333333,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,189.219,189.39,189.303,3,3,2025-02-07 08:09:00,2025-02-12 04:00:00,-140.33333333333334,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,190.9,191.0,190.96666666666667,3,3,2024-10-01 09:00:00,2025-02-17 10:03:00,-117.76666666666667,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,194.183,194.315,194.266,3,3,2024-10-03 09:32:00,2024-11-25 14:10:00,-66.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,195.1,195.28,195.21,3,3,2024-10-14 20:00:00,2024-10-15 14:06:00,-31.53333333333333,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,203.005,203.28,203.16166666666666,3,3,2025-10-10 12:57:00,2025-10-28 13:00:00,-44.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,211.1,211.29,211.21633333333332,3,3,2025-01-06 15:23:00,2026-01-07 15:00:00,-69.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,193.86,193.93,193.895,2,2,2024-09-27 08:08:00,2024-12-12 20:57:00,-319.15,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,197.461,197.5,197.4805,2,2,2024-10-28 17:00:00,2024-10-31 15:00:00,-162.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,197.9,197.959,197.92950000000002,2,2,2024-10-28 10:07:00,2025-10-03 05:25:00,-72.75,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,201.0,201.1976,201.09879999999998,2,2,2025-10-29 18:07:00,2025-11-06 00:00:00,-70.1,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,201.47,201.59,201.53,2,1,2025-10-17 19:26:00,2025-10-30 14:37:00,-36.6,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,203.78,203.837,203.80849999999998,2,1,2025-10-27 08:06:00,2025-10-28 07:13:00,-25.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,204.46,204.505,204.48250000000002,2,2,2025-10-09 17:30:00,2025-11-21 19:26:00,-29.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,206.9,206.93,206.91500000000002,2,1,2025-11-27 16:33:00,2025-12-05 19:00:00,-31.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,209.982,210.1,210.041,2,2,2025-12-20 22:00:00,2026-02-27 15:51:00,-49.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,186.798,186.798,186.798,1,1,2024-09-18 04:39:00,2024-09-18 09:07:00,-42.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,187.53,187.53,187.53,1,1,2024-09-17 10:00:00,2024-09-18 06:00:00,-203.0,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,188.471,188.471,188.471,1,1,2025-02-07 08:58:00,2025-02-07 10:45:00,-45.5,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,buy,188.7,188.7,188.7,1,1,2024-09-20 11:25:00,2024-09-20 12:07:00,-46.9,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,189.6,189.6,189.6,1,1,2025-02-11 15:51:00,2025-02-12 04:33:00,-181.2,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,190.03,190.03,190.03,1,1,2025-01-16 19:03:00,2025-01-18 05:09:00,-23.3,損切集中・恐怖の出口
FEAR_STOP,GBPJPY,sell,190.3,190.3,190.3,1,1,2025-02-06 21:41:00,2025-02-12 09:02:00,-187.0,損切集中・恐怖の出口
