cohort,rows,loss_rows,with_coords,text_only,根拠不足,利確・保有判断のブレ,抵抗線・節目の見落とし,損切り判断の遅れ,レンジ相場での無理な取引,環境認識不足,エントリーが早い,ファンダ・ニュース対応
1ki,705,290,243,462,680,667,550,366,271,211,224,96
2ki,145,77,145,0,145,143,132,87,64,96,33,10
