failure_pattern,count_all_850,count_loss_367,share_of_loss_pct
根拠不足,825,361,98.4
利確・保有判断のブレ,810,359,97.8
抵抗線・節目の見落とし,682,297,80.9
損切り判断の遅れ,453,302,82.3
レンジ相場での無理な取引,335,157,42.8
環境認識不足,307,148,40.3
エントリーが早い,257,116,31.6
ファンダ・ニュース対応,106,55,15.0
細部を見過ぎ,39,19,5.2
未抽出,2,0,0.0
