scenario,period,trades,total_r,avg_r,pf,win_rate,max_dd_r,delta_r_vs_tb_only,tb_trades_ref
tb_only,IS_2015_2021,276,144.79609275999508,0.5246235244927357,1.818887620087671,0.39855072463768115,10.42371944079909,0.0,276
tb_only,OOS_2022_2024,105,49.81100539644543,0.47439052758519457,1.73025343129075,0.38095238095238093,9.44258025818589,0.0,105
tb_only,ALL_2015_2024,381,194.6070981564405,0.5107797851875079,1.794214057095213,0.3937007874015748,12.73184111598664,0.0,381
t5_only,IS_2015_2021,20,11.440186801125275,0.5720093400562638,2.3597975456014213,0.5,4.353873957051221,-133.3559059588698,276
t5_only,OOS_2022_2024,10,13.894390046863943,1.3894390046863943,7.916528318116107,0.8,1.0048496137633531,-35.91661534958149,105
t5_only,ALL_2015_2024,30,25.334576847989222,0.8444858949329741,3.4308696078483205,0.6,4.353873957051221,-169.27252130845127,381
all_trades,IS_2015_2021,296,156.23627956112037,0.5278252687875689,1.843455291343568,0.40540540540540543,10.42371944079909,11.440186801125293,276
all_trades,OOS_2022_2024,115,63.70539544330937,0.5539599603766032,1.9072330159996989,0.41739130434782606,9.44258025818589,13.89439004686394,105
all_trades,ALL_2015_2024,411,219.94167500442973,0.5351378953879069,1.8609866378524205,0.40875912408759124,12.73184111598664,25.33457684798924,381
tb_priority,IS_2015_2021,288,150.66050219971328,0.5231267437490045,1.8238715571940174,0.4027777777777778,14.069461796890629,5.864409439718202,276
tb_priority,OOS_2022_2024,111,55.75625724302084,0.5023086238109986,1.7940287799399155,0.3963963963963964,9.381902575472381,5.94525184657541,105
tb_priority,ALL_2015_2024,399,206.41675944273413,0.5173352366985818,1.8155916697664327,0.40100250626566414,14.069461796890629,11.809661286293647,381
t5_priority,IS_2015_2021,288,156.83329713121609,0.5445600594833891,1.877605643943167,0.4097222222222222,14.069461796890621,12.037204371221009,276
t5_priority,OOS_2022_2024,111,55.89718059063396,0.5035782035192249,1.8080954091821506,0.40540540540540543,11.382319979428857,6.086175194188527,105
t5_priority,ALL_2015_2024,399,212.73047772185006,0.5331590920347119,1.8582084420706868,0.40852130325814534,14.069461796890621,18.12337956540958,381
tb_first_wins,IS_2015_2021,288,156.8332971312161,0.5445600594833893,1.8776056439431668,0.4097222222222222,14.069461796890629,12.037204371221037,276
tb_first_wins,OOS_2022_2024,111,55.89718059063397,0.503578203519225,1.8080954091821506,0.40540540540540543,7.911398497539423,6.086175194188542,105
tb_first_wins,ALL_2015_2024,399,212.7304777218501,0.533159092034712,1.8582084420706866,0.40852130325814534,14.069461796890629,18.123379565409607,381
t5_first_wins,IS_2015_2021,288,156.8332971312161,0.5445600594833893,1.8776056439431668,0.4097222222222222,14.069461796890629,12.037204371221037,276
t5_first_wins,OOS_2022_2024,111,55.89718059063397,0.503578203519225,1.8080954091821506,0.40540540540540543,7.911398497539423,6.086175194188542,105
t5_first_wins,ALL_2015_2024,399,212.7304777218501,0.533159092034712,1.8582084420706866,0.40852130325814534,14.069461796890629,18.123379565409607,381
