currency,students,entries,losses,loss_rate,side,price_low,price_high,start,end,cohort_1ki,cohort_2ki
GBPJPY,2,2,1,0.5,buy,201.04,201.263,2025-11-06 10:26,2025-11-06 22:45,0,2
GBPJPY,2,2,1,0.5,buy,204.942,205.28,2025-11-19 20:20,2025-11-20 13:00,0,2
AUDJPY,2,2,1,0.5,buy,106.255,106.838,2026-01-20 19:26,2026-01-22 02:49,0,2
XAUUSD,2,2,1,0.5,buy,2755.18,2755.69,2024-10-28 16:10,2024-10-29 15:00,2,0
XAUUSD,2,2,1,0.5,buy,2889.5,2890.3,2025-02-10 15:59,2025-02-10 16:00,2,0
XAUUSD,2,2,1,0.5,buy,4241.58,4262.06,2025-12-01 08:00,2025-12-01 22:40,0,2
XAUUSD,2,2,1,0.5,buy,4448.61,4465.0,2026-01-06 06:51,2026-01-06 13:04,0,2
XAUUSD,2,2,1,0.5,buy,4287.04,4296.66,2025-12-12 16:09,2025-12-12 17:34,0,2
XAUUSD,2,2,1,0.5,buy,3860.87,3878.3,2025-10-01 15:00,2025-10-01 16:45,0,2
EURUSD,2,2,1,0.5,buy,1.111,1.113,2024-09-17 00:00,2024-09-18 23:32,2,0
XAUUSD,2,3,1,0.333,buy,2609.88,2647.1,2024-10-09 22:00,2024-10-11 22:28,3,0
GBPJPY,2,2,0,0.0,buy,207.13,207.836,2025-12-08 18:01,2025-12-09 13:30,0,2
USDJPY,2,2,0,0.0,buy,150.859,150.93,2024-10-22 12:12,2024-10-22 23:21,2,0
EURJPY,2,2,0,0.0,buy,179.913,179.964,2025-11-18 09:03,2025-11-18 11:58,0,2
EURJPY,2,2,0,0.0,buy,176.07,176.42,2025-10-07 12:08,2025-10-08 00:27,0,2
XAUUSD,2,2,0,0.0,buy,3887.17,3895.0,2025-10-06 07:06,2025-10-06 08:15,0,2
