filter,desc,trades,trade_pct,total_r,delta_r_vs_base,pf,max_dd_r,dd_improve_pct,is_total_r,is_delta_r,oos_total_r,oos_delta_r,oos_pf,adopt_candidate
baseline,現行,381,1.0,194.6070981564405,0.0,1.794214057095213,12.73184111598664,0.0,144.79609275999508,0.0,49.81100539644543,0.0,1.73025343129075,True
body60,実体≥60%,322,0.8451443569553806,181.40584204898127,-13.201256107459216,1.8946419325232178,11.218658299510551,11.885027488884326,137.74988240873927,-7.046210351255809,43.655959640242024,-6.155045756203407,1.7718911444140264,False
strong_close_wick,終値強+逆ヒゲ小,344,0.9028871391076115,178.78787947329852,-15.819218683141969,1.8128814824015937,12.45962566907616,2.138068205773269,138.4703021209721,-6.325790639022983,40.31757735232646,-9.493428044118971,1.6406834228509939,False
break010,抜け≥0.10ATR,344,0.9028871391076115,162.25784098022137,-32.34925717621911,1.721791682860093,10.390223406263104,18.39182321230275,127.85081105272491,-16.94528170727017,34.40702992749646,-15.403975468948971,1.5457103563556827,False
pre_range25,6本レンジ≤2.5ATR,206,0.5406824146981627,137.32742228214738,-57.279675874293105,2.116702107857145,16.98490686880224,-33.404954665003416,94.63890826996186,-50.15718449003322,42.688514012185514,-7.1224913842599165,2.2516069285238443,False
stagnation_body60,停滞+実体60%,176,0.46194225721784776,133.57287695763694,-61.03422119880355,2.3256086643772944,12.76039775336055,-0.22429307052891367,102.65738001350961,-42.13871274648547,30.915496944127327,-18.895508452318104,1.9955978918654687,False
stagnation_break,停滞+抜け0.05,196,0.5144356955380578,132.25704027943948,-62.35005787700101,2.135321932768224,13.776288160898687,-8.203425061600832,90.48354000342547,-54.3125527565696,41.773500276014,-8.037505120431433,2.3037806608419884,False
break005_stag,抜け0.05+停滞,196,0.5144356955380578,132.25704027943948,-62.35005787700101,2.135321932768224,13.776288160898687,-8.203425061600832,90.48354000342547,-54.3125527565696,41.773500276014,-8.037505120431433,2.3037806608419884,False
stag_brk_body60,停滞+抜け0.05+実体60%,170,0.4461942257217848,128.15799617162742,-66.44910198481307,2.313003647536648,11.670382775326814,8.337037283060445,95.17581616339164,-49.62027659660343,32.9821800082358,-16.82882538820963,2.137885141942881,False
not_overextended3,伸び≤3ATR(6本),160,0.4199475065616798,97.33855896785485,-97.26853918858563,1.988467860529026,8.504554882297072,33.202473979836334,72.56746298248852,-72.22862977750655,24.77109598536632,-25.039909411079112,1.8711321451500198,False
balanced_guard,バランスガード,149,0.3910761154855643,85.37292704037455,-109.23417111606594,1.918428405502049,7.470266865591967,41.326106746557,65.3630722057714,-79.43302055422367,20.00985483460314,-29.80115056184229,1.7338931202685925,False
