prox_yen,prox_half,ext_atr,swing_len,big_mult,fwd_bars,strict_f1,wick_atr,sweep_lb,revenge_bars,stop_count,stop_long,stop_short,adverse_rate,sweep_down_n,sweep_down_up_edge,sweep_up_n,sweep_up_dn_edge,avg_fwd_up_after_sweep_dn,avg_fwd_dn_after_sweep_up,revenge_after_stop_n,revenge_fwd_up_rate,chain_stop_sweep_up,chain_n,score_edge,symbol
0.15,0.1,0.6,36,0.95,12,False,0.4,12,72,1636,891,745,0.5073349633251834,90,0.5777777777777777,94,0.4787234042553192,78.3744444444443,49.17553191489364,879,0.5062571103526735,0.05555555555555555,18,0.31666666666666665,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.4,20,72,1636,891,745,0.5073349633251834,67,0.5373134328358209,79,0.4810126582278481,84.47611940298489,51.088607594936775,879,0.5062571103526735,0.07692307692307693,13,0.3071182548794489,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.4,32,72,1636,891,745,0.5073349633251834,49,0.5510204081632653,58,0.5,93.06734693877547,53.1,879,0.5062571103526735,0.1,10,0.3255102040816326,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.55,12,72,1636,891,745,0.5073349633251834,52,0.6153846153846154,41,0.5365853658536586,88.80576923076902,50.785365853658476,879,0.5062571103526735,0.0,9,0.3076923076923077,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.55,20,72,1636,891,745,0.5073349633251834,39,0.5641025641025641,35,0.5428571428571428,92.679487179487,50.76285714285712,879,0.5062571103526735,0.0,7,0.28205128205128205,GBPJPY
0.15,0.1,0.6,36,0.95,12,False,0.55,32,72,1636,891,745,0.5073349633251834,32,0.59375,28,0.5357142857142857,100.39374999999993,52.83214285714288,879,0.5062571103526735,0.0,6,0.296875,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.25,12,72,2083,1158,925,0.5069611137782045,148,0.5675675675675675,154,0.461038961038961,102.09256756756747,71.16428571428581,1142,0.5026269702276708,0.15789473684210525,38,0.3627311522048364,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.25,20,72,2083,1158,925,0.5069611137782045,116,0.5258620689655172,128,0.453125,102.76810344827575,73.16562500000012,1142,0.5026269702276708,0.07142857142857142,28,0.2986453201970443,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.25,32,72,2083,1158,925,0.5069611137782045,86,0.5930232558139535,99,0.46464646464646464,110.853488372093,75.59696969696977,1142,0.5026269702276708,0.05,20,0.3215116279069768,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.4,12,72,2083,1158,925,0.5069611137782045,90,0.5666666666666667,94,0.5,108.10444444444433,69.61595744680864,1142,0.5026269702276708,0.19047619047619047,21,0.37857142857142856,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.4,20,72,2083,1158,925,0.5069611137782045,67,0.5223880597014925,79,0.4936708860759494,116.31194029850725,71.92658227848116,1142,0.5026269702276708,0.06666666666666667,15,0.29452736318407957,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.4,32,72,2083,1158,925,0.5069611137782045,49,0.5714285714285714,58,0.5172413793103449,127.51020408163258,73.79655172413796,1142,0.5026269702276708,0.0,11,0.2857142857142857,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.55,12,72,2083,1158,925,0.5069611137782045,52,0.5769230769230769,41,0.5853658536585366,122.33846153846133,76.89024390243904,1142,0.5026269702276708,0.3,10,0.43846153846153846,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.55,20,72,2083,1158,925,0.5069611137782045,39,0.5128205128205128,35,0.5714285714285714,126.22307692307662,77.0685714285714,1142,0.5026269702276708,0.14285714285714285,7,0.3278388278388278,GBPJPY
0.15,0.1,0.6,36,0.95,24,True,0.55,32,72,2083,1158,925,0.5069611137782045,32,0.5625,28,0.5357142857142857,137.57499999999982,78.54285714285712,1142,0.5026269702276708,0.0,6,0.28125,GBPJPY
0.15,0.1,0.6,36,0.95,24,False,0.25,12,72,1636,891,745,0.5079462102689487,148,0.5675675675675675,154,0.461038961038961,102.09256756756747,71.16428571428581,879,0.5005688282138794,0.14705882352941177,34,0.35731319554848967,GBPJPY
0.15,0.1,0.6,36,0.95,24,False,0.25,20,72,1636,891,745,0.5079462102689487,116,0.5258620689655172,128,0.453125,102.76810344827575,73.16562500000012,879,0.5005688282138794,0.08,25,0.3029310344827586,GBPJPY
0.15,0.1,0.6,36,0.95,24,False,0.25,32,72,1636,891,745,0.5079462102689487,86,0.5930232558139535,99,0.46464646464646464,110.853488372093,75.59696969696977,879,0.5005688282138794,0.05555555555555555,18,0.32428940568475456,GBPJPY
0.15,0.1,0.6,36,0.95,24,False,0.4,12,72,1636,891,745,0.5079462102689487,90,0.5666666666666667,94,0.5,108.10444444444433,69.61595744680864,879,0.5005688282138794,0.16666666666666666,18,0.36666666666666664,GBPJPY
