hour,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_hold_bars,tp_rate
0,8,87.5,9.209622836927338,1.1512028546159172,9.57095842725764,1.0745149349504013,1,10.625,87.5
1,32,31.25,-8.919009534879992,-0.27871904796499974,0.5961642963459738,15.266753704878582,7,18.09375,28.125
2,12,41.66666666666667,0.14950191006050106,0.012458492505041755,1.0206349140894555,3.6860920790505847,3,21.416666666666668,41.66666666666667
3,7,42.857142857142854,0.20104297907853175,0.028720425582647393,1.0478949270368876,3.1450276261161956,3,11.571428571428571,42.857142857142854
4,4,50.0,0.8728635051542641,0.21821587628856604,1.4196182106930963,1.045702920513338,1,23.25,50.0
5,8,62.5,4.214024450779097,0.5267530563473871,2.3501643536405448,2.0372600774586633,2,8.875,62.5
6,8,25.0,-3.3082325687836116,-0.41352907109795145,0.4684855775029748,4.156633132771037,4,19.625,25.0
7,8,50.0,1.607775074673527,0.2009718843341909,1.3861763276136378,3.1222159316288565,4,8.75,50.0
8,5,80.0,4.846442389200792,0.9692884778401585,5.674355258040371,1.0368151588102792,1,19.0,80.0
9,4,50.0,0.8316795728705426,0.20791989321763565,1.3973626707126987,1.0704647437957886,1,10.25,50.0
10,8,87.5,9.229965366664434,1.1537456708330542,9.752496411084074,1.0545523166368511,1,13.5,87.5
11,4,25.0,-1.6450865686760425,-0.41127164216901063,0.468304750553122,3.0940403744201666,3,8.5,25.0
12,9,44.44444444444444,0.7260288012264471,0.08066986680293857,1.1400575640781139,3.082597950756748,3,8.666666666666666,44.44444444444444
13,6,50.0,1.2899899220823385,0.21499832034705643,1.4133223064207918,3.121026622669225,3,12.333333333333334,50.0
14,6,16.666666666666664,-3.6759247881597217,-0.6126541313599536,0.28793135168620476,4.140213197831704,5,27.833333333333332,16.666666666666664
15,3,66.66666666666666,1.9288188072544525,0.6429396024181508,2.8732307361391705,0.0,1,14.0,66.66666666666666
16,2,50.0,0.4638247992038811,0.23191239960194054,1.456353625442565,0.0,1,26.0,50.0
17,1,0.0,-1.0353763998145822,-1.0353763998145822,0.0,0.0,1,19.0,0.0
19,2,50.0,0.443154799767171,0.2215773998835855,1.431447662529077,1.0271345478370852,1,31.0,50.0
20,2,50.0,0.43414349347425274,0.21707174673712637,1.4147517951395276,0.0,1,7.0,50.0
21,3,100.0,4.397352733686482,1.4657842445621607,inf,0.0,0,26.333333333333332,100.0
22,2,50.0,0.743079272727107,0.3715396363635535,2.100009937022573,0.0,1,37.5,50.0
23,3,66.66666666666666,1.8896470340067026,0.6298823446689009,2.792678426327909,1.0540914679703164,1,16.0,66.66666666666666
