window,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
2014-2015,23.0,43.47826086956522,1.7469150440491137,0.07595282800213538,1.1357137167772315,3.1567486334230126,3.0,43.47826086956522
2015-2016,26.0,53.84615384615385,7.186742597812403,0.27641317683893857,1.5980202536663277,2.727079120128705,3.0,50.0
2016-2017,22.0,68.18181818181817,13.747240612468941,0.6248745732940427,3.000691390776679,2.727079120128705,3.0,63.63636363636363
2017-2018,23.0,60.86956521739131,11.124327739739766,0.4836664234669463,2.1893122765950896,4.15635465767126,4.0,60.86956521739131
2018-2019,25.0,36.0,-3.5485193883467705,-0.14194077553387083,0.7875283188102361,9.241816078636068,5.0,36.0
2019-2020,29.0,37.93103448275862,-2.7801342790157237,-0.09586669927640426,0.8524642887576745,6.505801040808938,5.0,37.93103448275862
2020-2021,36.0,38.88888888888889,-2.608012854999524,-0.07244480152776456,0.8864747922588401,12.118372351176784,10.0,38.88888888888889
2021-2022,27.0,25.925925925925924,-10.564071891918532,-0.3912619219229086,0.4902355102318534,14.876479749020078,10.0,25.925925925925924
2022-2023,21.0,42.857142857142854,0.9538223962513943,0.04542011410720925,1.0775204716702567,6.667463217877199,6.0,42.857142857142854
2023-2024,21.0,57.14285714285714,8.487103430761433,0.4041477824172111,1.9211369568638974,2.081624469167831,2.0,57.14285714285714
2024-2025,17.0,70.58823529411765,12.658230631870383,0.7446018018747285,3.491735937705664,2.0278269647513145,2.0,70.58823529411765
2025-2026,11.0,81.81818181818183,11.29514741700609,1.0268315833641901,6.556436918839099,1.020484360655173,1.0,81.81818181818183
2026-2027,3.0,66.66666666666666,1.94565144723037,0.6485504824101234,2.9065960461963574,1.0204843606551728,1.0,66.66666666666666
