condition,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
body_not_35_45_dead_zone,129.0,49.6124031007752,26.09491904423367,0.20228619414134627,1.3928915670541833,12.290076599613322,7.0,48.837209302325576
all_h1_base_8_2_15r,147.0,48.29931972789115,24.89532788852391,0.16935597203077488,1.3199003470078823,17.709794142987956,10.0,47.61904761904761
h4_not_oppose,80.0,50.0,18.126780879966777,0.22658476099958472,1.4482542535435907,10.94343377946789,6.0,50.0
recovery_25_75,93.0,49.46236559139785,17.594686555801488,0.18919017801937082,1.3627439470882554,16.002443832630487,8.0,48.38709677419355
h4_not_oppose_body_filter,70.0,50.0,16.028642054200166,0.22898060077428808,1.4543770695996203,8.900488511322436,5.0,50.0
shallow_50_618,38.0,55.26315789473685,13.624027577922602,0.358527041524279,1.7898760817768458,4.1599533528640515,4.0,55.26315789473685
shallow_recovery_25_75,23.0,52.17391304347826,6.641141720189442,0.2887452921821496,1.601901287442763,3.715529325003405,3.0,52.17391304347826
shallow_and_h4_not_oppose,23.0,52.17391304347826,6.559777068459336,0.2852076986286668,1.5944518150840317,2.082231339723051,2.0,52.17391304347826
box_width_le_1_6,64.0,43.75,2.30730032775476,0.036051567621168124,1.0620769897121254,14.816008857745906,8.0,42.1875
