condition,cost_mult,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
all_h1_base_8_2_15r,1.0,147.0,48.29931972789115,24.89532788852391,0.16935597203077488,1.3199003470078823,17.709794142987956,10.0,47.61904761904761
all_h1_base_8_2_15r,1.5,147.0,48.29931972789115,22.31116461549012,0.15177663003734776,1.2815668056354128,19.064691214481904,10.0,47.61904761904761
all_h1_base_8_2_15r,2.0,147.0,48.29931972789115,19.727001342456326,0.1341972880439206,1.2445803607560004,20.419588285975852,10.0,47.61904761904761
all_h1_base_8_2_15r,3.0,147.0,47.61904761904761,14.558674796388749,0.09903860405706631,1.1743578549347817,23.12938242896376,10.0,47.61904761904761
body_not_35_45_dead_zone,1.0,129.0,49.6124031007752,26.09491904423367,0.20228619414134627,1.3928915670541833,12.290076599613322,7.0,48.837209302325576
body_not_35_45_dead_zone,1.5,129.0,49.6124031007752,23.86055134905478,0.184965514333758,1.3527969019640982,13.435114899419975,7.0,48.837209302325576
body_not_35_45_dead_zone,2.0,129.0,49.6124031007752,21.626183653875895,0.16764483452616974,1.3141173151089438,14.580153199226604,7.0,48.837209302325576
body_not_35_45_dead_zone,3.0,129.0,48.837209302325576,17.157448263518127,0.13300347491099324,1.2406872305393313,16.870229798839894,7.0,48.837209302325576
box_width_le_1_6,1.0,64.0,43.75,2.30730032775476,0.036051567621168124,1.0620769897121254,14.816008857745906,8.0,42.1875
box_width_le_1_6,1.5,64.0,43.75,1.0197083791400283,0.015932943424062943,1.0268923970870054,15.270501826626806,8.0,42.1875
box_width_le_1_6,2.0,64.0,43.75,-0.26788356947469927,-0.004185680773042176,0.9930721826748451,16.027335768835744,8.0,42.1875
box_width_le_1_6,3.0,64.0,42.1875,-2.8430674667041576,-0.04442292916725246,0.9292332260777688,17.541003653253615,8.0,42.1875
h4_not_oppose,1.0,80.0,50.0,18.126780879966777,0.22658476099958472,1.4482542535435907,10.94343377946789,6.0,50.0
h4_not_oppose,1.5,80.0,50.0,16.68404480545376,0.208550560068172,1.4053062226236186,11.165150669201838,6.0,50.0
h4_not_oppose,2.0,80.0,50.0,15.241308730940741,0.19051635913675927,1.3638457225492264,11.386867558935784,6.0,50.0
h4_not_oppose,3.0,80.0,50.0,12.355836581914708,0.15444795727393384,1.2850885342405531,11.830301338403673,6.0,50.0
h4_not_oppose_body_filter,1.0,70.0,50.0,16.028642054200166,0.22898060077428808,1.4543770695996203,8.900488511322436,5.0,50.0
h4_not_oppose_body_filter,1.5,70.0,50.0,14.786836566803855,0.21124052238291222,1.4116574281676562,9.100732766983658,5.0,50.0
h4_not_oppose_body_filter,2.0,70.0,50.0,13.545031079407554,0.19350044399153649,1.370442997340389,9.30097702264488,5.0,50.0
h4_not_oppose_body_filter,3.0,70.0,50.0,11.061420104614943,0.1580202872087849,1.2922223848143983,9.701465533967317,5.0,50.0
recovery_25_75,1.0,93.0,49.46236559139785,17.594686555801488,0.18919017801937082,1.3627439470882554,16.002443832630487,8.0,48.38709677419355
recovery_25_75,1.5,93.0,49.46236559139785,15.9507877212101,0.17151384646462473,1.322745538535941,16.503665748945743,8.0,48.38709677419355
recovery_25_75,2.0,93.0,49.46236559139785,14.306888886618715,0.15383751490987865,1.2842055623952326,17.004887665261005,8.0,48.38709677419355
recovery_25_75,3.0,93.0,48.38709677419355,11.019091217435937,0.11848485180038643,1.2111610611241947,18.7055348325448,8.0,48.38709677419355
shallow_50_618,1.0,38.0,55.26315789473685,13.624027577922602,0.358527041524279,1.7898760817768458,4.1599533528640515,4.0,55.26315789473685
shallow_50_618,1.5,38.0,55.26315789473685,13.020499957191172,0.34264473571555715,1.7424161886743117,4.239930029296078,4.0,55.26315789473685
shallow_50_618,2.0,38.0,55.26315789473685,12.416972336459743,0.32676242990683535,1.6964987222546208,4.319906705728105,4.0,55.26315789473685
shallow_50_618,3.0,38.0,55.26315789473685,11.209917094996891,0.29499781828939187,1.608999767327581,4.4798600585921555,4.0,55.26315789473685
shallow_and_h4_not_oppose,1.0,23.0,52.17391304347826,6.559777068459336,0.2852076986286668,1.5944518150840317,2.082231339723051,2.0,52.17391304347826
shallow_and_h4_not_oppose,1.5,23.0,52.17391304347826,6.1741241929962385,0.26844018230418426,1.5503743637028355,2.1233470095845766,2.0,52.17391304347826
shallow_and_h4_not_oppose,2.0,23.0,52.17391304347826,5.788471317533137,0.2516726659797016,1.5077122241273728,2.1644626794461024,2.0,52.17391304347826
shallow_and_h4_not_oppose,3.0,23.0,52.17391304347826,5.017165566606939,0.21813763333073646,1.4263696923293778,2.2466940191691536,2.0,52.17391304347826
shallow_recovery_25_75,1.0,23.0,52.17391304347826,6.641141720189442,0.2887452921821496,1.601901287442763,3.715529325003405,3.0,52.17391304347826
shallow_recovery_25_75,1.5,23.0,52.17391304347826,6.296171170591403,0.2737465726344088,1.5613586768448704,3.8232939875051066,3.0,52.17391304347826
shallow_recovery_25_75,2.0,23.0,52.17391304347826,5.951200620993369,0.2587478530866682,1.5221132287648114,3.931058650006808,3.0,52.17391304347826
shallow_recovery_25_75,3.0,23.0,52.17391304347826,5.261259521797297,0.2287504139911868,1.447272523830939,4.1465879750102115,3.0,52.17391304347826
