condition,sample2,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_hold_bars,tp_rate
all_h1_base_8_2_15r,IS_2014_2024,136,45.588235294117645,13.60018047151782,0.10000132699645456,1.1794471643563256,17.709794142987956,10,16.279411764705884,44.85294117647059
all_h1_base_8_2_15r,OOS_2025_2026,11,81.81818181818183,11.29514741700609,1.0268315833641901,6.556436918839099,1.020484360655173,1,15.181818181818182,81.81818181818183
h4_not_oppose,IS_2014_2024,76,47.368421052631575,12.210774768252664,0.16066808905595611,1.3019582884118828,10.94343377946789,6,17.223684210526315,47.368421052631575
h4_not_oppose,OOS_2025_2026,4,100.0,5.916006111714116,1.479001527928529,inf,0.0,0,13.5,100.0
shallow_50_618,IS_2014_2024,36,52.77777777777778,10.654609474339088,0.2959613742871969,1.6177190361894926,4.1599533528640515,4,16.63888888888889,52.77777777777778
shallow_50_618,OOS_2025_2026,2,100.0,2.9694181035835143,1.4847090517917572,inf,0.0,0,23.0,100.0
shallow_and_h4_not_oppose,IS_2014_2024,23,52.17391304347826,6.559777068459336,0.2852076986286668,1.5944518150840317,2.082231339723051,2,18.17391304347826,52.17391304347826
body_not_35_45_dead_zone,IS_2014_2024,119,47.05882352941176,16.273168299948775,0.1367493134449477,1.2527485785986923,12.290076599613322,7,16.932773109243698,46.21848739495798
body_not_35_45_dead_zone,OOS_2025_2026,10,80.0,9.821750744284893,0.9821750744284893,5.83162693042969,1.020484360655173,1,15.2,80.0
recovery_25_75,OOS_2025_2026,8,87.5,9.352864255420318,1.1691080319275398,10.239042217211093,1.0123196794140836,1,15.125,87.5
recovery_25_75,IS_2014_2024,85,45.88235294117647,8.24182230038117,0.09696261529860199,1.1735408917816597,16.002443832630487,8,17.129411764705882,44.70588235294118
shallow_recovery_25_75,IS_2014_2024,22,50.0,5.1547485255753855,0.23430675116251753,1.467186201516417,3.715529325003405,3,20.454545454545453,50.0
shallow_recovery_25_75,OOS_2025_2026,1,100.0,1.4863931946140558,1.4863931946140558,inf,0.0,0,37.0,100.0
h4_not_oppose_body_filter,IS_2014_2024,67,47.76119402985074,11.586032615207246,0.17292585992846637,1.3284387741757573,8.900488511322436,5,18.388059701492537,47.76119402985074
h4_not_oppose_body_filter,OOS_2025_2026,3,100.0,4.4426094389929185,1.4808698129976394,inf,0.0,0,13.0,100.0
box_width_le_1_6,OOS_2025_2026,3,66.66666666666666,1.9455640979898445,0.6485213659966148,2.9218870654731415,0.0,1,8.0,66.66666666666666
box_width_le_1_6,IS_2014_2024,61,42.62295081967213,0.3617362297649138,0.005930102127293669,1.0100048610918748,14.816008857745906,8,14.721311475409836,40.98360655737705
