strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_mfe_24_atr,avg_mfe_48_atr,avg_mfe_72_atr,avg_mae_24_atr,avg_fwd_48_atr,hit_mfe3atr_48_pct,hit_mfe5atr_72_pct
V_CONTEXT_RECLAIM_RR15,261,50.191570881226056,39.19096589302281,0.15015695744453186,1.3381408990362431,11.346763869203428,8,65.59770114942529,3.046299425203959,4.215416500597503,5.263764213312882,2.622798757160176,0.5921704903465222,55.55555555555556,40.229885057471265
SHELF6_BREAK_RR15,141,48.226950354609926,25.434832293647244,0.18038888151522867,1.3399414237214766,12.026836339510185,9,16.113475177304963,3.71727414415384,5.150453342800164,6.4264386761772485,2.5145389446643884,1.2352611488619483,54.60992907801418,41.13475177304964
SHELF6_BREAK_RR2,141,39.71631205673759,23.61870931738215,0.16750857671902236,1.2711832957662355,19.006596674165493,15,20.914893617021278,3.71727414415384,5.150453342800164,6.4264386761772485,2.5145389446643884,1.2352611488619483,54.60992907801418,41.13475177304964
SHELF6_EMA_UP_RR15,122,47.540983606557376,20.036388856314076,0.164232695543558,1.3067319828400143,11.893613428468221,8,15.71311475409836,3.3825735801462513,4.911328255750616,6.29399012748308,2.462139151223485,1.1716257815063684,56.557377049180324,43.44262295081967
SHELF6_OVERHEAD_ROOM_RR15,126,46.82539682539682,18.31959569586103,0.1453936166338177,1.2667008725684819,11.43778581938564,9,17.08730158730159,3.6128972494585847,5.023903874612594,6.224174945635489,2.5449591353434786,1.1245980261415462,53.17460317460318,40.476190476190474
SHELF6_PRECALM_BREAK_RR15,55,50.90909090909091,13.568321702940345,0.246696758235279,1.4857676852182213,8.48627353350854,8,13.763636363636364,4.586509027006622,5.954588708995476,7.163771159492545,2.335741447054328,2.6576046172719865,58.18181818181818,52.72727272727272
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,51,49.01960784313725,10.13444874306752,0.19871468123661803,1.3765011094083184,8.48627353350854,8,14.27450980392157,4.622958118475093,6.060925098252776,7.270929599529212,2.269786779971416,2.852499438788215,56.86274509803921,52.94117647058824
SHELF6_DON55_BREAK_RR15,44,50.0,9.977973491488207,0.22677212480655015,1.4496521589569675,7.144921123255747,4,17.681818181818183,3.493010571925933,5.978436177677296,7.259447327736125,2.24482846821823,2.2992058570007985,68.18181818181817,54.54545454545454
SHELF6_DON20_BREAK_RR15,62,45.16129032258064,6.578620771512148,0.10610678663729271,1.1906105879276527,10.140859831996085,5,17.629032258064516,3.127015729707891,4.956691016026784,5.908809078701158,2.938337281137914,0.8087562616014325,56.451612903225815,43.54838709677419
SHELF6_DON20_PRECALM_RR15,20,50.0,4.435191225468398,0.22175956127341992,1.4297379007494608,5.221300516422955,5,16.65,3.4693073432450428,5.043458142395644,5.450290807245976,2.529401643657276,1.785837621406401,60.0,55.00000000000001
SHELF6_DON20_EMA_RR15,55,43.63636363636363,3.689462402404712,0.06708113458917658,1.117236781589955,12.060478248590496,5,16.145454545454545,3.2515679754165836,5.2908586621491445,6.362850569486311,2.734033598354971,1.5675535552719888,60.0,47.27272727272727
SHELF6_AFTER_DORMANT60_RR15,30,43.333333333333336,1.6275806374590687,0.054252687915302286,1.09360207699939,5.772029733156922,4,12.1,3.2933689830998714,4.710069992170002,5.832534869647786,2.487497204674523,-0.023777594812940263,60.0,36.666666666666664
SHELF6_PRECALM_AFTER_DORMANT60_RR15,4,50.0,0.9482108001063307,0.23705270002658269,1.4615088884546175,1.021582788926613,1,9.5,5.154120443776479,7.250589278179271,8.559270833445218,1.8131451197504722,4.249945598929783,75.0,75.0
SHELF8_TIGHT_BREAK_RR15,29,41.37931034482759,0.3346192769341638,0.011538595756350477,1.0191865515468452,7.833201324811902,5,14.10344827586207,2.910218677299787,4.264182680735172,5.464022433275476,2.0970876616998892,0.7702016033322966,51.724137931034484,41.37931034482759
SHELF6_DORMANT120_BREAK_RR15,1,0.0,-1.0100612856850202,-1.0100612856850202,0.0,0.0,1,5.0,0.2814640016167215,4.399178099342231,14.20663486678566,3.6819661248522713,3.4442854123760127,100.0,100.0
SHELF6_DORMANT_ANY_RR15,1,0.0,-1.0100612856850202,-1.0100612856850202,0.0,0.0,1,5.0,0.2814640016167215,4.399178099342231,14.20663486678566,3.6819661248522713,3.4442854123760127,100.0,100.0
SHELF6_AFTER_DORMANT120_RR15,45,35.55555555555556,-6.364486229050977,-0.14143302731224391,0.786765432000335,12.551466255899946,6,11.6,4.813124828931326,6.681069350342072,8.078895260527094,2.673781792103149,1.899025514545029,51.11111111111111,35.55555555555556
