strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_mfe_24_atr,avg_mfe_48_atr,avg_mfe_72_atr,avg_mae_24_atr,avg_fwd_48_atr,hit_mfe3atr_48_pct,hit_mfe5atr_72_pct
V_CONTEXT_RECLAIM_RR15,Research_2015_2024,232,49.56896551724138,32.879978346638346,0.1417240445975791,1.3128949879469591,11.346763869203428,8,64.14655172413794,3.0993844119641882,4.296596290947954,5.228079951374111,2.636473986112088,0.5494381237616662,56.46551724137932,40.51724137931034
SHELF6_BREAK_RR15,Research_2015_2024,121,48.760330578512395,23.3369144578942,0.19286706163548925,1.3672844784939284,12.026836339510185,9,15.826446280991735,3.3730348717751246,4.777612412376745,5.792991912981088,2.574713936980486,0.7898472909990971,57.02479338842975,42.14876033057851
SHELF6_BREAK_RR2,Research_2015_2024,121,40.49586776859504,23.007255465282668,0.19014260715109643,1.3118328114827718,19.006596674165493,15,20.66115702479339,3.3730348717751246,4.777612412376745,5.792991912981088,2.574713936980486,0.7898472909990971,57.02479338842975,42.14876033057851
SHELF6_EMA_UP_RR15,Research_2015_2024,105,49.523809523809526,22.419086803459745,0.21351511241390234,1.4149050909822753,11.893613428468221,8,15.695238095238095,3.5182950093023493,5.080331251852367,6.230593196321402,2.4401173735633175,1.347448010945249,60.952380952380956,45.714285714285715
SHELF6_OVERHEAD_ROOM_RR15,Research_2015_2024,106,47.16981132075472,16.221677860107988,0.1530346967934716,1.2825705942062422,11.43778581938564,9,16.943396226415093,3.20025111878189,4.574425177018395,5.462926521507465,2.6193891153796067,0.5952740708980273,55.660377358490564,41.509433962264154
SHELF6_DON55_BREAK_RR15,Research_2015_2024,42,50.0,9.495183294479867,0.22607579272571113,1.4483152641014,7.144921123255747,4,18.404761904761905,3.3500471679442927,5.5539038180953,6.895915499109309,2.2468501503968032,2.1413285858220985,69.04761904761905,54.761904761904766
SHELF6_PRECALM_BREAK_RR15,Research_2015_2024,48,47.91666666666667,8.167000249182456,0.1701458385246345,1.3152867265355839,8.48627353350854,8,14.166666666666666,3.4435459700289672,4.741770897535189,5.602298473400485,2.437176745081695,1.2583373780998528,54.166666666666664,50.0
V_CONTEXT_RECLAIM_RR15,OOS_2025_2026,29,55.172413793103445,6.310987546384465,0.21762026022015396,1.583368760077094,3.0218791097134967,3,77.20689655172414,2.6216195311221253,3.565978177793895,5.549238308823048,2.5133969255448787,0.9340294230253716,48.275862068965516,37.93103448275862
SHELF6_PRECALM_BREAK_RR15,OOS_2025_2026,7,71.42857142857143,5.401321453757891,0.7716173505368416,3.6629761053796903,1.0183315628511043,1,11.0,12.423969989139112,14.271053701866013,17.871012435552387,1.6401851177238114,12.252579971595186,85.71428571428571,71.42857142857143
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,OOS_2025_2026,7,71.42857142857143,5.401321453757891,0.7716173505368416,3.6629761053796903,1.0183315628511043,1,11.0,12.423969989139112,14.271053701866013,17.871012435552387,1.6401851177238114,12.252579971595186,85.71428571428571,71.42857142857143
SHELF6_DON20_BREAK_RR15,Research_2015_2024,56,44.642857142857146,5.14696295579232,0.09191005278200572,1.1634771292789623,10.140859831996085,5,17.142857142857142,3.131925175929794,4.825250770654192,5.8593679780565155,2.9371154161411255,0.7754300701154361,58.92857142857143,46.42857142857143
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,Research_2015_2024,44,45.45454545454545,4.7331272893096275,0.10757107475703699,1.1901683391386628,8.48627353350854,8,14.795454545454545,3.3818880481421827,4.75476827495067,5.584552784707345,2.369950680783535,1.357032081296197,52.27272727272727,50.0
SHELF6_DON20_EMA_RR15,Research_2015_2024,50,44.0,3.746822466203131,0.07493644932406263,1.131739850709272,12.060478248590496,5,17.4,3.209099120376265,5.099881557346555,6.258092829637158,2.683021050650124,1.6114152606180598,62.0,50.0
SHELF6_AFTER_DORMANT60_RR15,Research_2015_2024,26,46.15384615384615,3.2327664118201707,0.12433716968539119,1.2261146177082516,5.772029733156922,4,13.038461538461538,3.5175654646280283,5.101599928433668,6.379414519987264,2.4071147504620978,0.33046712500054487,65.38461538461539,42.30769230769231
SHELF6_DON20_PRECALM_RR15,Research_2015_2024,19,47.368421052631575,2.956960556592697,0.15562950297856298,1.286508057396083,5.221300516422955,5,17.263157894736842,3.4724246177524387,5.129425458963598,5.557670369332368,2.5145886476323276,1.8299248603194742,57.89473684210527,57.89473684210527
SHELF6_BREAK_RR15,OOS_2025_2026,20,45.0,2.0979178357530484,0.10489589178765242,1.1859501814279763,3.0489018334991393,3,17.85,5.799921742045069,7.406140971861845,10.258791593514012,2.1504802411519988,3.9300149889321987,40.0,35.0
SHELF6_OVERHEAD_ROOM_RR15,OOS_2025_2026,20,45.0,2.0979178357530484,0.10489589178765242,1.1859501814279763,3.0489018334991393,3,17.85,5.799921742045069,7.406140971861845,10.258791593514012,2.1504802411519988,3.9300149889321987,40.0,35.0
SHELF8_TIGHT_BREAK_RR15,OOS_2025_2026,3,66.66666666666666,1.9781979629673005,0.6593993209891001,2.9729196696900373,1.0026753716121106,1,31.0,2.115139075754815,2.466501369171992,6.343856471421929,1.5592329956281656,1.9822064719007289,33.33333333333333,33.33333333333333
SHELF6_DON20_PRECALM_RR15,OOS_2025_2026,1,100.0,1.4782306688757012,1.4782306688757012,inf,0.0,0,5.0,3.4100791276045124,3.4100791276045124,3.4100791276045124,2.810848568131291,0.9481800820580063,100.0,0.0
SHELF6_DON20_BREAK_RR15,OOS_2025_2026,6,50.0,1.4316578157198292,0.23860963595330487,1.4726336215897733,2.0183809296824604,2,22.166666666666668,3.081194231636799,6.183466639504303,6.370259351384494,2.9497413544412754,1.1198007154707328,33.33333333333333,16.666666666666664
SHELF6_PRECALM_AFTER_DORMANT60_RR15,Research_2015_2024,4,50.0,0.9482108001063307,0.23705270002658269,1.4615088884546175,1.021582788926613,1,9.5,5.154120443776479,7.250589278179271,8.559270833445218,1.8131451197504722,4.249945598929783,75.0,75.0
SHELF6_BREAK_RR2,OOS_2025_2026,20,35.0,0.6114538520994819,0.030572692604974094,1.0459247306924848,3.179794702925107,4,22.45,5.799921742045069,7.406140971861845,10.258791593514012,2.1504802411519988,3.9300149889321987,40.0,35.0
SHELF6_DON55_BREAK_RR15,OOS_2025_2026,2,50.0,0.4827901970083399,0.24139509850416996,1.4776667061588906,0.0,1,2.5,6.495242055540382,14.893615728899226,14.893615728899226,2.202373142468187,5.614628551753501,50.0,50.0
SHELF6_DON20_EMA_RR15,OOS_2025_2026,5,40.0,-0.05736006379841929,-0.011472012759683858,0.9810637050348258,2.0183809296824604,2,3.6,3.676256525819773,7.200629710175036,7.410427967977848,3.2441590754034415,1.1289365018112787,40.0,20.0
SHELF6_DORMANT120_BREAK_RR15,Research_2015_2024,1,0.0,-1.0100612856850202,-1.0100612856850202,0.0,0.0,1,5.0,0.2814640016167215,4.399178099342231,14.20663486678566,3.6819661248522713,3.4442854123760127,100.0,100.0
SHELF6_DORMANT_ANY_RR15,Research_2015_2024,1,0.0,-1.0100612856850202,-1.0100612856850202,0.0,0.0,1,5.0,0.2814640016167215,4.399178099342231,14.20663486678566,3.6819661248522713,3.4442854123760127,100.0,100.0
SHELF6_AFTER_DORMANT120_RR15,OOS_2025_2026,6,33.33333333333333,-1.121640571306438,-0.18694009521773966,0.7265119718264603,3.037669523392636,4,5.333333333333333,13.858969915366146,17.610662105667885,19.09075767029635,2.4753669595102137,12.086731831596119,50.0,33.33333333333333
SHELF6_AFTER_DORMANT60_RR15,OOS_2025_2026,4,25.0,-1.605185774361102,-0.4012964435902755,0.4807359680578896,2.027698450389723,3,6.0,1.8360918531668462,2.165125406456175,2.2778171424411857,3.0099831570552826,-2.3263682736005933,25.0,0.0
SHELF8_TIGHT_BREAK_RR15,Research_2015_2024,26,38.46153846153847,-1.643578686033137,-0.06321456484742835,0.9000111999071322,7.833201324811902,5,12.153846153846153,3.0019586313242073,4.471607447454001,5.362503121181654,2.1591478154773958,0.6303548877282469,53.84615384615385,42.30769230769231
SHELF6_EMA_UP_RR15,OOS_2025_2026,17,35.294117647058826,-2.382697947145669,-0.14015870277327463,0.7889154558203595,4.113575727562783,3,15.823529411764707,2.5442941647703528,3.867486221004511,6.6855594081875624,2.5981560132421655,0.08566495261916558,29.411764705882355,29.411764705882355
SHELF6_AFTER_DORMANT120_RR15,Research_2015_2024,39,35.8974358974359,-5.2428456577445415,-0.13443193994216773,0.7963635445492566,12.551466255899946,6,12.564102564102564,3.4214563540952017,4.999593541830404,6.384762582101052,2.7043071509635994,0.3316860811525534,51.28205128205128,35.8974358974359
