strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_mfe_24_atr,avg_mfe_48_atr,avg_mfe_72_atr,avg_mae_24_atr,avg_fwd_48_atr,hit_mfe3atr_48_pct,hit_mfe5atr_72_pct
V_CONTEXT_RECLAIM_RR15,CHFJPY,33,63.63636363636363,16.685692167618168,0.5056270353823688,2.473164941610751,1.6293085310777156,3,65.3030303030303,2.964940753053674,3.886647317712591,4.992644556282192,2.2621466083410464,0.8804226104974029,63.63636363636363,42.42424242424242
SHELF6_EMA_UP_RR15,AUDJPY,18,66.66666666666666,11.570956336619737,0.6428309075899854,2.878222869460633,2.050306957551948,2,14.222222222222221,2.869115329972973,4.45192144633046,7.44693584379743,2.1840639866359948,0.8025132463521395,83.33333333333334,72.22222222222221
SHELF6_BREAK_RR15,AUDJPY,23,60.86956521739131,11.470920960897772,0.498735693952077,2.2431911996409033,2.658830885039878,2,17.434782608695652,2.453463172452163,3.709121624886142,6.084174710169019,2.1775328097142377,-0.3435471959944694,65.21739130434783,56.52173913043478
SHELF6_BREAK_RR2,AUDJPY,23,47.82608695652174,9.476994139299181,0.4120432234477905,1.771760651970129,4.207518676352137,4,25.565217391304348,2.453463172452163,3.709121624886142,6.084174710169019,2.1775328097142377,-0.3435471959944694,65.21739130434783,56.52173913043478
SHELF6_BREAK_RR15,EURJPY,23,56.52173913043478,8.919600188231405,0.387808703836148,1.8769353934806077,3.0606567670222646,3,14.347826086956522,3.930275524931031,5.147692321825287,5.579413728286213,2.0853567400583874,1.306945462591179,69.56521739130434,39.130434782608695
SHELF6_BREAK_RR2,USDJPY,27,44.44444444444444,8.555834915427493,0.3168827746454627,1.5606711793891206,8.25748706854694,4,15.481481481481481,4.006696179083453,5.551798327641165,6.988139413183955,2.593940900955244,0.8865504056490932,66.66666666666666,51.85185185185185
SHELF6_OVERHEAD_ROOM_RR15,EURJPY,21,57.14285714285714,8.498907916803773,0.40470990080017966,1.9287712173256033,2.040026952241585,2,15.19047619047619,4.012498014276978,5.31575189071062,5.5928916690964545,1.9931946641362852,1.3105220804923992,71.42857142857143,38.095238095238095
V_CONTEXT_RECLAIM_RR15,GBPJPY,39,56.41025641025641,8.488224948998688,0.21764679356406894,1.5758471000542622,2.5519786100159574,3,62.61538461538461,3.8782437800062644,5.41173757250318,6.747758906577532,3.1796175657889845,1.5264955771646767,69.23076923076923,53.84615384615385
V_CONTEXT_RECLAIM_RR15,USDJPY,41,48.78048780487805,8.06932124797753,0.19681271336530562,1.491089999728404,8.406822761465328,5,65.8048780487805,2.824648685585769,3.8284011300083107,5.186273231814519,2.6060330056437664,0.800913450839547,43.90243902439025,36.58536585365854
SHELF6_BREAK_RR15,USDJPY,27,51.85185185185185,7.574916515654234,0.28055246354274943,1.5739935542118335,4.71856882850281,4,12.703703703703704,4.006696179083453,5.551798327641165,6.988139413183955,2.593940900955244,0.8865504056490932,66.66666666666666,51.85185185185185
SHELF6_PRECALM_BREAK_RR15,EURJPY,10,70.0,7.412083170509318,0.7412083170509318,3.4326200786614143,1.0197134060620527,1,15.0,5.54205800019168,6.746536122980546,7.2320112358324256,1.550214997252643,2.585145400423065,70.0,70.0
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,EURJPY,10,70.0,7.412083170509318,0.7412083170509318,3.4326200786614143,1.0197134060620527,1,15.0,5.54205800019168,6.746536122980546,7.2320112358324256,1.550214997252643,2.585145400423065,70.0,70.0
SHELF8_TIGHT_BREAK_RR15,AUDJPY,10,70.0,7.273017256163801,0.7273017256163801,3.3674714328254165,1.0307481786378616,1,18.7,2.64592968224848,4.443211421071806,5.302621651718051,0.9957168694799587,1.0583414926352288,60.0,50.0
SHELF6_BREAK_RR2,GBPJPY,17,47.05882352941176,7.086590039586749,0.4168582376227499,1.803794275340728,2.0211901241177443,2,30.294117647058822,3.65329948855452,5.309254038417243,6.266370171974796,2.7862592920089817,1.823463285826291,47.05882352941176,41.17647058823529
SHELF6_OVERHEAD_ROOM_RR15,AUDJPY,20,55.00000000000001,7.066260787990362,0.3533130393995181,1.765824579904496,4.119103780178306,4,19.0,2.1360749305098192,3.527316581295323,6.023535171569714,2.4524818654396796,-0.464497218357514,60.0,55.00000000000001
V_CONTEXT_RECLAIM_RR15,AUDJPY,37,54.054054054054056,6.6850231052695674,0.18067630014242075,1.4063437209606808,4.31178694589278,5,63.83783783783784,2.973643920042011,4.5767050266490745,4.9798694935847205,2.158886169708271,0.9984774539367816,62.16216216216216,45.94594594594595
SHELF6_BREAK_RR2,EURJPY,23,43.47826086956522,6.605469485247244,0.28719432544553236,1.4999515537343189,5.09135050017725,5,20.782608695652176,3.930275524931031,5.147692321825287,5.579413728286213,2.0853567400583874,1.306945462591179,69.56521739130434,39.130434782608695
SHELF6_DON55_BREAK_RR15,CHFJPY,9,66.66666666666666,5.772063703290473,0.6413404114767193,2.863836560290718,2.055910492278832,2,30.22222222222222,3.125419794461944,4.534380068379425,5.61380664653338,1.2825231715875862,2.8999671326975385,55.55555555555556,44.44444444444444
SHELF6_EMA_UP_RR15,USDJPY,24,50.0,5.593530693839957,0.23306377890999821,1.4588886252623814,4.18709970661028,4,10.041666666666666,4.087593549632106,5.617338477041764,7.233222198277403,2.684710162419519,0.9172433911524266,70.83333333333334,54.166666666666664
SHELF6_BREAK_RR15,GBPJPY,17,52.94117647058824,5.581948476999379,0.3283499104117282,1.7148882569745507,2.0211901241177443,2,27.294117647058822,3.65329948855452,5.309254038417243,6.266370171974796,2.7862592920089817,1.823463285826291,47.05882352941176,41.17647058823529
SHELF6_OVERHEAD_ROOM_RR15,GBPJPY,17,52.94117647058824,5.578382247670692,0.3281401322159231,1.714105369900741,2.0247563534464303,2,26.058823529411764,3.6513769644808995,5.307331514343622,6.264447647901176,3.09531990394213,1.7172760307354435,47.05882352941176,41.17647058823529
SHELF6_PRECALM_BREAK_RR15,AUDJPY,7,71.42857142857143,5.348627978047612,0.7640897111496588,3.6104084091968938,1.0273793425174653,1,10.714285714285714,2.5648130718415465,4.915195563509585,7.028410022354647,1.4137609128871838,3.333112316886242,100.0,85.71428571428571
SHELF6_OVERHEAD_ROOM_RR15,USDJPY,22,50.0,5.1558828704138975,0.2343583122915408,1.4619734556669706,7.095462397667535,7,14.181818181818182,3.9444868391209,5.5929740613443055,7.096460705754577,2.3241140080559464,1.3043051077984344,68.18181818181817,54.54545454545454
SHELF6_DON20_BREAK_RR15,EURJPY,12,58.333333333333336,5.05480145964122,0.4212334549701016,1.9941677570916148,3.0606567670222646,3,12.75,3.9353790382675258,5.768124221974073,6.191027656980949,2.5238192295683937,1.9251909167072545,75.0,41.66666666666667
SHELF6_EMA_UP_RR15,EURJPY,22,50.0,4.950750518536237,0.22503411447891988,1.442543516766931,4.080370173084317,4,14.181818181818182,3.7983407201376425,5.065347123722641,5.516692230477245,2.3756642140611652,1.081215928984424,63.63636363636363,40.909090909090914
SHELF6_DON20_BREAK_RR15,AUDJPY,10,60.0,4.779939616627375,0.47799396166273744,2.1706681171926094,2.049059768366403,2,22.0,2.10045056746771,3.5977602780371662,4.476965727912537,1.9946795429375777,-0.33813546126844807,60.0,50.0
SHELF6_DON20_PRECALM_RR15,EURJPY,3,100.0,4.427464762160229,1.4758215873867429,inf,0.0,0,15.333333333333334,8.32564110853482,10.338020143134619,10.338020143134619,1.3082946890306304,4.575101522797641,100.0,100.0
V_CONTEXT_RECLAIM_RR15,SILVER,32,50.0,4.119312431395622,0.1287285134811132,1.274399029841875,2.7306481376405554,2,67.4375,3.331061703131347,4.013322825917188,5.056230072051157,2.6867231171094046,-0.0330462822468407,50.0,34.375
SHELF6_DON55_BREAK_RR15,EURJPY,8,62.5,4.111068605477826,0.5138835756847282,2.3487227497062646,2.0400269522415844,2,14.875,3.6732287432427517,6.406540837590335,7.040895990100648,2.0408092471654187,2.9548351404300846,87.5,50.0
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,AUDJPY,6,66.66666666666666,3.8697290976885688,0.6449548496147615,2.888628900604054,1.0273793425174653,1,11.0,2.3677213013561857,4.933948976590325,6.615724319239839,1.6275421137502342,3.0993880698638487,100.0,83.33333333333334
SHELF6_DON20_EMA_RR15,AUDJPY,6,66.66666666666666,3.8523428230693186,0.6420571371782198,2.8815541566054494,1.0273793425174653,1,9.5,2.85521020760425,5.158653969922917,6.612035556004024,1.6806976468116464,2.647099144301686,100.0,83.33333333333334
SHELF6_DON20_BREAK_RR15,CHFJPY,11,54.54545454545454,3.7146373435455375,0.3376943039586852,1.7206872616567956,3.079797316456559,3,26.545454545454547,2.6230814416419004,3.886091046448682,4.769258246756464,2.01452325922762,1.6817662849526662,45.45454545454545,36.36363636363637
