label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,bb_z,high_bb_excess_atr,move_atr
bbz2.1_highEx-999.0_move0.8,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,-999.0,0.8
bbz2.1_highEx-999.0_move1.2,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,-999.0,1.2
bbz2.1_highEx-999.0_move1.6,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,-999.0,1.6
bbz2.1_highEx-999.0_move2.0,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,-999.0,2.0
bbz2.1_highEx0.0_move0.8,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.0,0.8
bbz2.1_highEx0.0_move1.2,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.0,1.2
bbz2.1_highEx0.0_move1.6,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.0,1.6
bbz2.1_highEx0.0_move2.0,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.0,2.0
bbz2.1_highEx0.3_move0.8,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.3,0.8
bbz2.1_highEx0.3_move1.2,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.3,1.2
bbz2.1_highEx0.3_move1.6,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.3,1.6
bbz2.1_highEx0.3_move2.0,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.3,2.0
bbz2.1_highEx0.6_move0.8,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.6,0.8
bbz2.1_highEx0.6_move1.2,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.6,1.2
bbz2.1_highEx0.6_move1.6,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.6,1.6
bbz2.1_highEx0.6_move2.0,23,73.91304347826086,5.239067864562415,0.22778555932880065,1.785068884770652,1.6336766053485547,-1.0538595180955226,-0.8994232608128776,4,1.0258972410681104,2.1,0.6,2.0
bbz2.4_highEx-999.0_move0.8,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,-999.0,0.8
bbz2.4_highEx-999.0_move1.2,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,-999.0,1.2
bbz2.4_highEx-999.0_move1.6,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,-999.0,1.6
bbz2.4_highEx-999.0_move2.0,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,-999.0,2.0
bbz2.4_highEx0.0_move0.8,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.0,0.8
bbz2.4_highEx0.0_move1.2,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.0,1.2
bbz2.4_highEx0.0_move1.6,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.0,1.6
bbz2.4_highEx0.0_move2.0,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.0,2.0
bbz2.4_highEx0.3_move0.8,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.3,0.8
bbz2.4_highEx0.3_move1.2,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.3,1.2
bbz2.4_highEx0.3_move1.6,5,100.0,3.52683161566624,0.705366323133248,inf,0.0,0.6376314496614759,0.7126264612991644,1,0.7596608375469719,2.4,0.3,1.6
