label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r
usd_up_6h,20,85.0,8.359597720392305,0.4179798860196152,3.4480232000998696,1.6336766053485547,-0.5284712962759316,-0.8994232608128776,4,1.0258972410681104
usd_not_down_6h,20,85.0,8.359597720392305,0.4179798860196152,3.4480232000998696,1.6336766053485547,-0.5284712962759316,-0.8994232608128776,4,1.0258972410681104
base,30,76.66666666666667,8.250691710901252,0.27502305703004176,2.0615208776720735,1.1827286289979302,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
other_preheated,30,76.66666666666667,8.250691710901252,0.27502305703004176,2.0615208776720735,1.1827286289979302,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
usd_up_and_chf_rel,16,87.5,7.61247278325849,0.47577954895365565,4.410442045456814,1.126902048798879,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
chf_relative_bb_pos,26,76.92307692307693,7.503566773767439,0.28859872206797843,2.138665388913744,1.1562601175281164,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
chf_relative_cross_bb_pos,26,76.92307692307693,7.503566773767439,0.28859872206797843,2.138665388913744,1.1562601175281164,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
preheated_and_chf_rel,26,76.92307692307693,7.503566773767439,0.28859872206797843,2.138665388913744,1.1562601175281164,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
broad_yen_heat,20,80.0,6.767787301818221,0.33838936509091105,2.516330516815648,1.6336766053485547,-0.5284712962759316,-0.8994232608128776,4,1.0258972410681104
chf_highest_bb_cross4,17,82.35294117647058,6.635930521028052,0.3903488541781207,3.036467164693535,1.5020537630972868,-0.4839970202304309,-0.8297906657996013,1,0.7596608375469719
cross_yen_heat,22,77.27272727272727,6.329044599700128,0.2876838454409149,2.147163305836485,1.1827286289979306,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
broad_heat_and_chf_rel,16,81.25,6.020662364684408,0.3762913977927755,2.835266799695343,1.126902048798879,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
chf_highest_bb_all5,16,81.25,5.981673188306054,0.3738545742691284,2.8356854399412526,1.5020537630972868,-0.4839970202304309,-0.8297906657996013,1,0.7596608375469719
usd_up_and_chf_highest_cross,8,100.0,5.645703244049101,0.7057129055061376,inf,0.0,0.654257332721999,0.654257332721999,1,0.7596608375469719
usd_down_6h,10,60.0,-0.10890600949105167,-0.010890600949105166,0.9750082791902607,2.5899082430926956,-1.0538595180955226,-1.7273745340183813,0,0.0
