signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,pre_atr_ratio_96,pre_atr_ratio_240,pre_bb_width_atr,pre_bb_width_ratio_96,pre_range_6_atr,pre_range_12_atr,pre_body_mean_6_atr,pre_body_mean_12_atr,high_bb_excess_atr,close_bb_excess_atr,signal_body_atr,body_vs_avg20,signal_bear,signal_bull,bear_engulf,higher_high_atr,quiet_atr,quiet_bb,quiet_range6,quiet_body6,quiet_combo,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year,adverse_exit_r,label
5059,2014-10-23 16:00:00,17,0.1712822834163681,76.23000520439643,1.6413712122170028,0.8991005778784463,0.32467532467540616,2.972002767984987,-0.27290893644428216,-0.3501334760693292,stretch_reversal,short,20,4.086820808538422,6.737416018647716,2.972002767984987,0.5649350649350074,0.8896103896104136,False,False,True,H4中立,113.511,999.0,1.0390165106776867,0.9880294309379047,9.05508739665263,2.5368006163573806,3.7481985129738473,7.741606274460013,0.6071848058400132,0.6315111201765505,-0.06426487004468953,-0.8641140854300822,0.29191577203852986,0.6281407035177257,True,False,False,0.42035871173540335,False,False,False,False,False,5060,2014-10-23 17:00:00,113.374,113.53669234251245,113.24384612599003,0.16269234251245734,0.9498492153854023,5061,2014-10-23 18:00:00,113.47161540550746,AE_0.60R,1,-0.7229314157700639,IS_2014_2024,2014,0.6,base12_no_ae_ae0.6
7566,2015-03-23 13:00:00,14,0.31974808921965436,69.69508184770402,2.3716337816485282,1.5105641481041099,0.21325051759835978,2.3263435802804655,1.5459392311454117,0.09450525576072898,stretch_reversal,short,20,4.3940841161206174,4.294005331981226,2.3263435802804655,0.7556935817805213,0.7556935817805213,False,True,True,H4逆,124.015,999.0,1.039604268295517,1.1492781877317024,3.572575951287853,1.0372574949977056,4.081337915685004,4.081337915685004,0.7281774033476227,0.49257526568611504,1.5361538450934589,0.3946302135034223,0.3221285864487268,0.6634460547504574,False,True,False,1.1915630236597543,False,False,False,False,False,7567,2015-03-23 14:00:00,123.65,124.06296221338295,123.31963022929365,0.41296221338294004,1.2915236315900271,7569,2015-03-23 16:00:00,123.89777732802978,AE_0.60R,2,-0.6484305811812131,IS_2014_2024,2015,0.6,base12_no_ae_ae0.6
8982,2015-06-12 13:00:00,14,0.3236118371507905,62.91528340526538,2.319284965329551,1.418365916528965,0.21132897603487524,1.417410896676353,-0.5557708349517398,0.18642090052731677,stretch_reversal,short,20,2.558620869032634,2.4844579452925553,1.417410896676353,0.6840958605664287,0.8954248366013039,False,True,True,H4逆,133.224,999.0,1.0588014338163412,1.098874837698438,2.37880138883968,0.6394897524909922,3.7235967961162713,3.7235967961162713,0.7411142170969776,0.5278958113442579,1.4807844283527625,0.21074435930395516,0.29974181678283357,0.7334593572779831,True,False,False,0.8590538666558555,False,True,False,False,False,8983,2015-06-12 14:00:00,132.831,133.27254177557262,132.47776657954188,0.44154177557263097,1.3644178762437844,8983,2015-06-12 14:00:00,133.09592506534358,AE_0.60R,0,-0.6452958272726411,IS_2014_2024,2015,0.6,base12_no_ae_ae0.6
9460,2015-07-10 11:00:00,12,0.4421003651635979,81.99251223762539,1.9858822482963951,1.264418770143158,0.07513416815742716,3.493259204197628,-0.18199111215754477,-0.4600166517154139,stretch_reversal,short,20,5.387916834491925,6.308522271787598,3.493259204197628,0.8550983899820793,0.8550983899820793,False,False,True,H4中立,131.194,999.0,1.3702261894171255,1.3405284626726963,7.77688653186787,2.4682913601280827,4.9219592912907775,5.722682448054035,0.7592544433715993,0.543240145431217,1.0515087760200603,-0.029693678592474803,0.09500105249734327,0.20270270270271082,False,True,False,1.0110826301501998,False,False,False,False,False,9461,2015-07-10 12:00:00,130.715,131.26031505477454,130.27874795618038,0.5453150547745338,1.233464384433932,9464,2015-07-10 15:00:00,130.27874795618038,TP,3,0.7633239540612781,IS_2014_2024,2015,0.6,base12_no_ae_ae0.6
10139,2015-08-19 18:00:00,19,0.1983238817255218,79.69127056285458,1.7259662427615556,1.1597191321532694,0.08260869565220132,2.3796962900846896,0.6542876513264589,-0.09633147133776399,stretch_reversal,short,20,2.788368174264275,4.875862612140261,2.3796962900846896,0.6782608695652733,0.7608695652174746,False,False,True,H4中立,128.352,999.0,1.0868387881217587,1.029283721131947,6.386570730377616,2.9979960566397734,3.665720909023706,5.077552895992972,0.46808953377495305,0.4260707246389477,0.4193080027377244,-0.46308698911812063,0.09580288483008446,0.2735781137509709,True,False,False,0.25715511191233953,False,False,False,False,False,10140,2015-08-19 19:00:00,128.18,128.38174858225884,128.01860113419295,0.20174858225882986,1.0172682205668393,10140,2015-08-19 19:00:00,128.3010491493553,AE_0.60R,0,-0.699133286469948,IS_2014_2024,2015,0.6,base12_no_ae_ae0.6
10145,2015-08-20 00:00:00,1,0.1949215492465557,75.2830772029141,1.2794821402834746,1.1132683935603769,0.23502304147458375,1.9671805706925554,1.1991315880890685,0.11668183654359338,stretch_reversal,short,20,1.7186401467406123,3.657881864555274,1.9671805706925554,0.7142857142856769,0.7142857142856769,False,True,True,H4逆,128.512,999.0,1.0720578712431084,1.009037643756192,7.308257725855148,3.251604595463388,2.0264562924255025,4.360728730535822,0.43607287305357,0.45616642700801663,-0.48074432366904085,-1.2759360333549827,0.26164372383208373,0.6185567010307732,False,True,False,0.7131074041700198,False,False,False,False,False,10146,2015-08-20 01:00:00,128.35,128.54123823238697,128.19700941409042,0.19123823238697923,0.9811035933491508,10150,2015-08-20 05:00:00,128.19700941409042,TP,4,0.6954184016953441,IS_2014_2024,2015,0.6,base12_no_ae_ae0.6
11939,2015-12-02 19:00:00,20,0.21979173866301693,78.99028598684323,2.3420345012387664,1.2238858550203293,0.096654275092926,3.338057567332032,0.5780108209353685,-0.3718738390984527,stretch_reversal,short,20,4.595259158254876,5.045685550994731,3.338057567332032,0.7026022304832681,0.799256505576194,False,False,True,H4中立,121.085,999.0,1.3489342748963622,1.3765899578407241,5.427439350977473,1.9321197694775218,5.505211466820284,5.814595251732486,0.9342177034604052,0.6111846339197115,1.524081346020487,0.5458826143128062,0.11829380011347586,0.27777777777774193,True,False,False,0.691563754509591,False,False,False,False,False,11940,2015-12-02 20:00:00,120.87,121.11796876079944,120.67162499136046,0.24796876079943786,1.1281987317076632,11941,2015-12-02 21:00:00,121.01878125647967,AE_0.60R,1,-0.680655320999041,IS_2014_2024,2015,0.6,base12_no_ae_ae0.6
13053,2016-02-09 15:00:00,16,0.3889093883758067,66.26551371608628,2.136623758999533,1.0285172123782265,0.18499999999999253,2.2826877177113003,-0.49491046001970873,-0.1308994674312339,stretch_reversal,short,20,3.3529661123529757,5.392001485892797,2.2826877177113003,0.7824999999999949,0.7824999999999949,False,False,True,H4中立,118.522,999.0,1.5188405995644976,1.651431274248423,4.498547752326771,2.5390400417681884,3.07269517197989,5.304577522840633,0.809957304747848,0.6312524390971331,0.9825342938218663,0.17771957513590944,0.1902756842899642,0.333183250787922,False,True,False,0.9308080772023047,False,False,False,False,False,13054,2016-02-09 16:00:00,118.209,118.58033640825637,117.91193087339491,0.3713364082563686,0.9548147186859445,13054,2016-02-09 16:00:00,118.43180184495382,AE_0.60R,0,-0.6538595180955226,IS_2014_2024,2016,0.6,base12_no_ae_ae0.6
14943,2016-05-30 08:00:00,9,0.18364712862773674,78.37624087842988,1.5016454228427978,1.094490295067079,0.16417910447755285,2.866078992571684,0.6106393511449871,-0.05527629872328115,stretch_reversal,short,20,3.076552321954813,7.242149713628164,2.866078992571684,0.7860696517413256,0.9502487562188784,False,False,True,H4中立,112.127,999.0,1.1881866332355053,1.1342923818505346,9.621197751273531,2.886388368278066,3.0384357445146377,6.605058347842805,0.4655667673046602,0.5740175054974779,-0.16892501548321404,-1.208963057064339,0.17969243650348563,0.37585421412285613,True,False,False,0.7133245206656333,False,False,False,False,False,14944,2016-05-30 09:00:00,111.937,112.15454706929415,111.76296234456467,0.2175470692941559,1.1845928162325712,14956,2016-05-30 21:00:00,111.988,TIME,12,-0.3263661525313845,IS_2014_2024,2016,0.6,base12_no_ae_ae0.6
19097,2017-01-26 12:00:00,13,0.20883666115905591,79.0443498029301,2.11053269608841,0.9098019425587749,0.21578947368419635,3.373710067607358,0.33865038044169543,0.031721873037058174,stretch_reversal,short,20,5.142775191095443,6.263268109825711,3.373710067607358,0.6684210526315624,0.6684210526315624,False,True,True,H4逆,114.681,999.0,1.0383969784481537,1.0258120747757098,6.752399373773599,2.1774488650112467,5.03742970300973,5.980750664504837,0.827600538976725,0.5287226201273657,0.8231239906792245,0.2149932185478479,0.19632568234161749,0.4297693920335061,False,True,False,0.8092448857496422,False,False,False,False,False,19098,2017-01-26 13:00:00,114.552,114.71232549917386,114.42373960066092,0.16032549917385097,0.7677076346846138,19098,2017-01-26 13:00:00,114.42373960066092,TP,0,0.6752537799472551,IS_2014_2024,2017,0.6,base12_no_ae_ae0.6
22726,2017-08-25 16:00:00,17,0.1532780817179475,77.58176978586721,2.3069299857471046,1.004709859844001,0.2922077922078102,2.714370021865883,1.2032948924339537,-0.05915096747641517,stretch_reversal,short,20,2.8053586995644366,4.403760749316324,2.714370021865883,0.6883116883116691,0.6883116883116691,False,False,True,H4中立,114.252,999.0,1.1029016946747943,0.9653556274987876,4.429472806438648,1.321030261666534,3.607821769439982,4.051459889371096,0.6621951348972078,0.46103569326176747,1.0756914715682355,0.3841379316756307,0.29358404995443393,0.7086614173228558,False,True,False,0.8024630698753601,False,False,False,False,False,22727,2017-08-25 17:00:00,114.147,114.27499171225769,114.04460663019385,0.1279917122576819,0.8350294498935866,22729,2017-08-25 19:00:00,114.22379502735461,AE_0.60R,2,-0.7562601175280942,IS_2014_2024,2017,0.6,base12_no_ae_ae0.6
