strategy,period,label,trades,win_rate,total_r,avg_r,median_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,oos_trades,oos_total_r
BASE_RR25,OOS_2024_2026,BASE_RR25_OOS_2024_2026,10,60.0,10.135765920662092,1.0135765920662092,2.1173473769645224,3.497927588819427,2.0440575665238594,2,1.8545322220693508,0.7056250739295844,10,10.135765920662092
BASE_RR2,OOS_2024_2026,BASE_RR2_OOS_2024_2026,10,60.0,7.87289966898051,0.7872899668980511,1.9815124410002827,2.940251327930147,2.0440575665238594,2,1.4758402326104156,0.6980143145006148,10,7.87289966898051
BASE_RR2,DEV_2015_2021,BASE_RR2_DEV_2015_2021,33,42.42424242424242,6.40627716508427,0.1941296110631597,-1.0097758505240912,1.3288731238704594,4.108064627161466,4,1.2219900412022224,0.9596214767616992,0,0.0
NO_PROGRESS_8_05R_RR2,DEV_2015_2021,NO_PROGRESS_8_05R_RR2_DEV_2015_2021,33,42.42424242424242,6.320480760427842,0.19152972001296492,-0.4783647069961787,1.390446391766717,4.108064627161466,4,1.0812020431245921,0.8712233166215837,0,0.0
BASE_RR25,VALID_2022_2023,BASE_RR25_VALID_2022_2023,8,50.0,5.777549845313775,0.7221937306642219,0.7087775966332343,2.433105011758571,3.022434934860507,3,1.580332640107872,0.7844849837081356,0,0.0
BASE_RR15,OOS_2024_2026,BASE_RR15_OOS_2024_2026,10,60.0,4.872899668980518,0.4872899668980518,1.4815124410002865,2.2009107763511153,2.0440575665238594,2,1.2563612703492688,0.6980143145006148,10,4.872899668980518
RETURN3_PLUS_NOPROG6_RR2,DEV_2015_2021,RETURN3_PLUS_NOPROG6_RR2_DEV_2015_2021,33,33.33333333333333,4.559254270219102,0.13815922030966976,-0.2931364545536138,1.3871120744690248,4.38775747984028,8,0.8169594996308784,0.5927455008109244,0,0.0
BASE_RR15,VALID_2022_2023,BASE_RR15_VALID_2022_2023,8,62.5,4.277549845313741,0.5346937306642177,1.4233662031087067,2.4167569915007223,2.0101984586408257,2,1.0595120128032913,0.6407063881267484,0,0.0
RETURN_INSIDE_2_RR2,OOS_2024_2026,RETURN_INSIDE_2_RR2_OOS_2024_2026,10,40.0,4.237356468318336,0.4237356468318336,-0.29876540741129665,2.1393558768125676,2.0440575665238594,3,1.0521896782799818,0.5809063171410264,10,4.237356468318336
RETURN_INSIDE_3_RR2,OOS_2024_2026,RETURN_INSIDE_3_RR2_OOS_2024_2026,10,40.0,4.237356468318336,0.4237356468318336,-0.29876540741129665,2.1393558768125676,2.0440575665238594,3,1.0521896782799818,0.5809063171410264,10,4.237356468318336
BASE_RR25,DEV_2015_2021,BASE_RR25_DEV_2015_2021,33,36.36363636363637,3.9666048049998617,0.12020014560605641,-1.0134013680058063,1.1842572047884066,6.143445712463849,7,1.3507068620170892,1.0283325855588366,0,0.0
BASE_RR2,VALID_2022_2023,BASE_RR2_VALID_2022_2023,8,50.0,3.777549845313758,0.47219373066421977,0.45877759663323237,1.9370106291472335,3.022434934860507,3,1.231463875580228,0.7844849837081356,0,0.0
NO_PROGRESS_6_05R_RR2,DEV_2015_2021,NO_PROGRESS_6_05R_RR2_DEV_2015_2021,33,42.42424242424242,3.7680845346490304,0.1141843798378494,-0.05135038574429715,1.275401153118975,4.99251827388533,7,0.8556762024227161,0.7898007823276986,0,0.0
RETURN_INSIDE_2_RR2,DEV_2015_2021,RETURN_INSIDE_2_RR2_DEV_2015_2021,33,33.33333333333333,3.534168485805096,0.10709601472136654,-0.3462983199352525,1.2153334613583344,4.869810143130963,8,0.9674119931802283,0.755368540854536,0,0.0
BASE_RR15,DEV_2015_2021,BASE_RR15_DEV_2015_2021,33,45.45454545454545,3.3975942066254516,0.10295740020077127,-1.0091899961213622,1.1840045552066705,3.6434457124638477,4,1.000348639230853,0.9117766895888049,0,0.0
RETURN_INSIDE_3_RR2,DEV_2015_2021,RETURN_INSIDE_3_RR2_DEV_2015_2021,33,30.303030303030305,3.279944692883639,0.09939226342071633,-0.3462983199352525,1.2231018228730528,4.38775747984028,8,0.8864229132000311,0.6684432939335014,0,0.0
NO_PROGRESS_8_05R_RR2,OOS_2024_2026,NO_PROGRESS_8_05R_RR2_OOS_2024_2026,10,60.0,2.696930385732559,0.2696930385732559,0.2080099583018107,1.6646499996525883,2.0440575665238594,2,0.969799892395218,0.6893433301693193,10,2.696930385732559
RETURN3_PLUS_NOPROG6_RR2,OOS_2024_2026,RETURN3_PLUS_NOPROG6_RR2_OOS_2024_2026,10,40.0,2.5273409791413908,0.2527340979141391,-0.29876540741129665,1.6795606692105292,2.0440575665238594,3,0.88119364831789,0.5809063171410264,10,2.5273409791413908
NO_PROGRESS_6_05R_RR2,OOS_2024_2026,NO_PROGRESS_6_05R_RR2_OOS_2024_2026,10,50.0,2.2625894626119063,0.22625894626119064,0.036918900804596796,1.535004596614695,2.1850452803090628,3,0.9237135471156162,0.6893433301693193,10,2.2625894626119063
RETURN_INSIDE_2_RR2,VALID_2022_2023,RETURN_INSIDE_2_RR2_VALID_2022_2023,8,25.0,1.6776375020149206,0.20970468775186507,-0.2317447026220608,1.7734274322274217,1.9134259134330818,4,0.7503989620844671,0.43033247364454885,0,0.0
NO_PROGRESS_8_05R_RR2,VALID_2022_2023,NO_PROGRESS_8_05R_RR2_VALID_2022_2023,8,50.0,0.33369382955151905,0.04171172869393988,-0.4002342150212867,1.0827718171762863,3.0224349348605077,3,0.8154900168924788,0.7844849837081356,0,0.0
NO_PROGRESS_6_05R_RR2,VALID_2022_2023,NO_PROGRESS_6_05R_RR2_VALID_2022_2023,8,25.0,0.03452501110660733,0.004315626388325916,-0.40811731811871976,1.0089180687361428,2.611224547110097,3,0.8081458884902839,0.7159418690500126,0,0.0
RETURN3_PLUS_NOPROG6_RR2,VALID_2022_2023,RETURN3_PLUS_NOPROG6_RR2_VALID_2022_2023,8,12.5,-0.5883606493290428,-0.07354508116613034,-0.28335212511104557,0.7656095387073631,1.9134259134330818,4,0.5109469972153526,0.41987488503324427,0,0.0
RETURN_INSIDE_3_RR2,VALID_2022_2023,RETURN_INSIDE_3_RR2_VALID_2022_2023,8,12.5,-0.5883606493290428,-0.07354508116613034,-0.28335212511104557,0.7656095387073631,1.9134259134330818,4,0.5109469972153526,0.41987488503324427,0,0.0
