label,bucket,trades,shelf_range_atr_avg,shelf_range_atr_median,sharp_drop_atr_avg,sharp_drop_atr_median,signal_range_atr_avg,signal_range_atr_median,body_ratio_avg,body_ratio_median,close_location_avg,close_location_median,mfe_r_avg,mfe_r_median,mae_r_avg,mae_r_median,bars_held_avg,bars_held_median
BASE_RR15,win,26,1.7015700150290276,1.6955366874071833,4.105843806296576,3.968893947527939,1.2319840292574575,1.140578030970719,0.6850196388139367,0.6895159765551216,0.7891370643941796,0.7958182422557201,1.6777831820459392,1.6068528262056838,0.4190383989118262,0.4111296193921319,23.73076923076923,19.5
BASE_RR15,loss,25,1.5131668591735479,1.5746734598721297,4.152742475049993,3.8988835705073197,1.1450348785062392,1.0912878007084459,0.6697007525351966,0.7110609480812624,0.8428928768385893,0.8336798336798288,0.4171540466937097,0.4434219652653883,1.2519770653897284,1.1642733046737859,14.88,10.0
BASE_RR15_EX_GBPJPY,win,24,1.7114640459170343,1.7143440164943773,4.146541313308437,4.0385291268121755,1.201934487250056,1.140578030970719,0.6779573002496077,0.6895159765551216,0.7809557420297378,0.7856333988552248,1.688712420779891,1.6468425417465948,0.4173826498192157,0.4111296193921319,23.166666666666668,19.5
BASE_RR15_EX_GBPJPY,loss,19,1.5967376134292024,1.6251675366457057,4.174564047058723,3.8988835705073197,1.1130025381085502,1.0912878007084459,0.6932478396659278,0.7401946328516468,0.8498668366493686,0.8336798336798288,0.42257604801587373,0.4434219652653883,1.2012296879404323,1.1515054159217126,15.894736842105264,10.0
BASE_RR2,win,24,1.7026712428719726,1.6955366874071833,4.1072501987857555,3.968893947527939,1.2398557508701096,1.140578030970719,0.6668876234371375,0.6635053416649874,0.7726912792198212,0.7856333988552248,2.128922270026205,2.0919362254515885,0.44721353100314626,0.44790039840797224,42.916666666666664,29.5
BASE_RR2,loss,27,1.5261437793024473,1.5746734598721297,4.14801837292973,3.8988835705073197,1.1444784704617494,1.0912878007084459,0.6869528318537396,0.7200000000000273,0.8535294405162109,0.839999999999994,0.5126537114737187,0.45110988163380394,1.2663113705085849,1.1643725085776429,16.814814814814813,10.0
BASE_RR2_EX_GBPJPY,win,23,1.704461368189266,1.6973844242277238,4.126097708030417,3.9778259681907597,1.1966411208936987,1.1222132236281106,0.6671367798999089,0.6658536585365815,0.7714320786397263,0.7803063457330592,2.145611710063979,2.0931902795128376,0.4359400276132565,0.43878236369166623,39.52173913043478,29.0
BASE_RR2_EX_GBPJPY,loss,20,1.6105270144405281,1.6495625369019251,4.1966730564409325,3.9005311333302437,1.1235365068754364,1.130476435930321,0.7049269110972655,0.743038492896406,0.8573734948169003,0.8368399168399114,0.49407966183692276,0.44726592344959615,1.2196402504064998,1.1578893602977494,17.95,10.0
BASE_RR25,win,22,1.716197317961906,1.7143440164943773,4.10765324917136,3.968893947527939,1.2708517252324796,1.185672373263793,0.6706015846337072,0.6871676596835277,0.7724342112829803,0.7958182422557201,2.621860102479408,2.6141516673946796,0.4831846622396838,0.5024999941476386,59.72727272727273,48.0
BASE_RR25,loss,29,1.528056926721775,1.553971127111527,4.144901012351411,3.9021786961531673,1.127542026490873,1.0868910868266675,0.682751536572438,0.7110609480812624,0.8481494119650977,0.8336798336798288,0.6234616390887397,0.48092285017908365,1.263346322866534,1.1643725085776429,19.0,12.0
BASE_RR25_EX_GBPJPY,win,21,1.7188020302184626,1.7313036087610307,4.128314952171969,3.9778259681907597,1.2249974149898566,1.1589428383133276,0.6710513255784841,0.7131782945736618,0.7710428455077887,0.7909604519773903,2.663612243113789,2.619058974994326,0.4725504028715445,0.4874171786093649,56.80952380952381,47.0
