label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r
usd_up,20,85.0,8.359597720392305,0.4179798860196152,3.4480232000998696,1.6336766053485547,-0.5284712962759316,-0.8994232608128776,4,1.0258972410681104
base,30,76.66666666666667,8.250691710901252,0.27502305703004176,2.0615208776720735,1.1827286289979302,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
not_riskoff_proxy,19,84.21052631578947,7.652168045849489,0.40274568662365734,3.240859612371794,1.6336766053485556,-0.5284712962759316,-0.8994232608128776,4,1.0258972410681104
chf_top_bb_cross4,17,82.35294117647058,6.635930521028052,0.3903488541781207,3.036467164693535,1.5020537630972868,-0.4839970202304309,-0.8297906657996013,1,0.7596608375469719
normal_yen_sell_heat,17,82.35294117647058,6.369232518220569,0.3746607363659158,2.8651649867552185,1.6336766053485556,-0.5284712962759316,-0.8994232608128776,4,1.0258972410681104
chf_top_ret_cross4,14,85.71428571428571,6.169129341325277,0.4406520958089484,3.791310136287942,1.534865855676384,-1.0538595180955226,-0.8626027583786984,1,0.7015285469848568
broad_then_chf_heat,13,84.61538461538461,5.622107581086755,0.4324698139297504,3.5187442536132743,1.126902048798879,-0.43529214346371825,-0.43529214346371825,4,1.0258972410681104
rank_jump_to_top_ret6,7,100.0,4.819544728912604,0.6885063898446576,inf,0.0,0.5740624582530656,0.5740624582530656,0,0.0
late_heat_structure,9,88.88888888888889,4.440684699520384,0.49340941105782044,5.017972645504716,1.105205309072623,-1.105205309072623,-0.5311428508195575,3,2.15279928986699
rank_jump_to_top2_bb6,13,76.92307692307693,3.686732757513229,0.2835948275010176,2.1138515375846567,1.6874029683476737,-1.105205309072623,-0.5311428508195575,3,2.15279928986699
rank_jump_to_top_bb6,8,75.0,1.99735264057616,0.24966908007202,1.9059559428202164,1.1562601175281166,-1.1562601175281164,-1.1562601175281164,1,0.7596608375469719
chf_isolated_heat,8,75.0,1.9216471112011237,0.24020588890014047,1.8520230252490022,1.536048724997173,-1.1562601175281164,0.2600426263905534,0,0.0
riskoff_proxy,11,63.63636363636363,0.598523665051763,0.054411242277433,1.137349044418202,2.5899082430926956,-1.0538595180955226,-1.7273745340183813,0,0.0
usd_down,10,60.0,-0.10890600949105167,-0.010890600949105166,0.9750082791902607,2.5899082430926956,-1.0538595180955226,-1.7273745340183813,0,0.0
