label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,avg_mae_r,avg_mfe_r
all_losers,7,0.0,-7.772519490144276,-1.110359927163468,0.0,6.724088908963077,-2.1475638676512037,-3.2014233857467262,1,-1.1269020487988792,1.3233516557278102,0.5578462222428705
riskoff_losers,4,0.0,-4.357683503274843,-1.0894208758187107,0.0,3.3092529220936435,-2.1475638676512037,-3.2014233857467262,0,0.0,1.4225152503948062,0.4551474335977692
usd_down_losers,4,0.0,-4.357683503274843,-1.0894208758187107,0.0,3.3092529220936435,-2.1475638676512037,-3.2014233857467262,0,0.0,1.4225152503948062,0.4551474335977692
not_top_bb_losers,4,0.0,-4.513969273339438,-1.1284923183348594,0.0,3.4148359868694333,-1.1827286289979306,-2.2879339380705535,1,-1.1269020487988792,1.1957066708626496,0.7081975335395703
no_rank_jump_losers,4,0.0,-4.4626234823623365,-1.1156558705905841,0.0,3.3634901958923322,-1.1827286289979306,-2.152992804565527,1,-1.1269020487988792,1.1433919815146445,0.5393529029921547
mae_gt_08_losers,7,0.0,-7.772519490144276,-1.110359927163468,0.0,6.724088908963077,-2.1475638676512037,-3.2014233857467262,1,-1.1269020487988792,1.3233516557278102,0.5578462222428705
