label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,axis,bucket
1,17,82.35294117647058,6.635930521028052,0.3903488541781207,3.036467164693535,1.5020537630972868,-0.4839970202304309,-0.8297906657996013,1,0.7596608375469719,bb_rank_now,1
2,8,75.0,1.994538301538265,0.24931728769228312,1.9048239256761195,1.105205309072623,-1.105205309072623,-1.105205309072623,2,1.3931384523200179,bb_rank_now,2
3,3,66.66666666666666,0.16532006767138885,0.05510668922379628,1.1467031387932936,1.1269020487988792,-1.1269020487988792,-1.1269020487988792,1,-1.1269020487988792,bb_rank_now,3
4,2,50.0,-0.5450971793364547,-0.27254858966822737,0.5391189779533032,1.1827286289979306,-1.1827286289979306,-1.1827286289979306,0,0.0,bb_rank_now,4
1,7,71.42857142857143,1.29735465224545,0.18533637889220714,1.6025819731001174,1.4336481255645794,-1.0538595180955226,-1.4336481255645794,0,0.0,bb_rank_lag6,1
2,8,87.5,3.834179397900119,0.47927242473751486,4.402406981145185,1.126902048798879,-1.1269020487988792,-1.1269020487988792,1,-1.1269020487988792,bb_rank_lag6,2
3,11,72.72727272727273,2.232719224791963,0.20297447498108756,1.6591210029799193,1.7238352142856626,-1.1827286289979306,-1.0484305811811994,3,2.15279928986699,bb_rank_lag6,3
4,4,75.0,0.8864384359637195,0.22160960899092988,1.8020577070042574,1.105205309072623,-1.105205309072623,-0.5311428508195575,0,0.0,bb_rank_lag6,4
worse,6,50.0,-1.3851908609995993,-0.23086514349993323,0.5936383758100604,2.3096306777968096,-1.1827286289979306,-1.1827286289979306,1,-1.1269020487988792,bb_rank_improve6,worse
same,5,80.0,1.6834867693839681,0.3366973538767936,2.5974489393294786,1.0538595180955226,-1.0538595180955226,-1.0538595180955226,0,0.0,bb_rank_improve6,same
improve1,10,100.0,7.060248471013347,0.7060248471013347,inf,0.0,0.6517267880555996,0.6517267880555996,2,1.3931384523200179,bb_rank_improve6,improve1
improve2plus,9,66.66666666666666,0.8921473315035365,0.09912748127817073,1.2695393841395612,1.6874029683476741,-1.1562601175281164,-1.1562601175281164,1,0.7596608375469719,bb_rank_improve6,improve2plus
worse,9,55.55555555555556,-1.0128170435925377,-0.11253522706583752,0.7727680420351195,2.1475638676512037,-1.4521454659558595,-1.1827286289979306,1,-1.1269020487988792,ret_rank_improve6,worse
same,5,80.0,1.7744776909286313,0.3548955381857263,2.68378959477955,0.0,-1.0538595180955226,-1.0538595180955226,1,0.7596608375469719,ret_rank_improve6,same
improve1,7,85.71428571428571,3.0830817383900166,0.440440248341431,3.6664257390293034,1.1562601175281164,-0.4810063375808613,-0.4810063375808613,1,0.7015285469848568,ret_rank_improve6,improve1
improve2plus,9,88.88888888888889,4.4059493251751425,0.48954992501946026,4.986543757080004,1.105205309072623,-1.105205309072623,-0.5311428508195575,1,0.691609905335161,ret_rank_improve6,improve2plus
