group,bars,trades,hit_0_5r_rate,hit_0_8r_rate,avg_mfe_r,avg_mae_r,avg_close_r
winner,1,23,69.56521739130434,39.130434782608695,0.780278027223644,0.5413719690983507,0.2714211644234316
winner,3,23,86.95652173913044,69.56521739130434,1.1457145810018878,0.6773036196302357,0.24609424708798125
winner,6,23,86.95652173913044,82.6086956521739,1.4409093670566642,0.7668496609981329,0.44953795833324267
winner,12,23,100.0,95.65217391304348,1.9439885029772774,1.0416586797298162,0.46048063052487487
winner,24,23,100.0,100.0,3.375556654387105,2.0587071280647233,0.6465560389336197
loser,1,7,57.14285714285714,0.0,0.4976386771591813,0.7487773066981653,-0.24351173849091215
loser,3,7,85.71428571428571,0.0,0.6467144271004406,1.3775840506741603,-0.6569240964644018
loser,6,7,85.71428571428571,14.285714285714285,0.7067538337711484,2.006742496437489,-1.0034890940229226
loser,12,7,85.71428571428571,42.857142857142854,1.0360310154060413,2.0854490333933886,-0.022088271953161525
loser,24,7,85.71428571428571,57.14285714285714,2.092436909815948,3.0016978904758083,-0.3866648906801507
