export_signal_time,export_entry_time,symbol,tv_signal_time,tv_entry_time,entry_hour_gap,entry_match
2015-11-18 20:00:00,2015-11-19 00:00:00,AUDJPY,2018-11-01 01:00:00,2018-11-01 05:00:00,25877.0,False
2025-03-17 04:00:00,2025-03-17 08:00:00,AUDJPY,2023-07-25 01:00:00,2023-07-25 05:00:00,14427.0,False
2015-04-27 12:00:00,2015-04-27 16:00:00,EURJPY,2016-08-30 09:00:00,2016-08-30 13:00:00,11781.0,False
2015-05-29 08:00:00,2015-05-29 12:00:00,EURJPY,2016-08-30 09:00:00,2016-08-30 13:00:00,11017.0,False
2016-10-03 20:00:00,2016-10-04 00:00:00,EURJPY,2016-10-03 21:00:00,2016-10-04 01:00:00,1.0,True
2016-08-24 08:00:00,2016-08-24 12:00:00,GBPJPY,2016-11-04 13:00:00,2016-11-04 17:00:00,1733.0,False
2024-10-09 08:00:00,2024-10-09 12:00:00,GBPJPY,2024-10-09 09:00:00,2024-10-09 13:00:00,1.0,True
2025-07-07 00:00:00,2025-07-07 04:00:00,USDJPY,2025-05-28 13:00:00,2025-05-28 17:00:00,947.0,False
2025-09-24 04:00:00,2025-09-24 08:00:00,USDJPY,2025-05-28 13:00:00,2025-05-28 17:00:00,2847.0,False
