symbol,data_source,signal_time,signal_time_tv,entry_time,entry_time_tv,entry,signal_close,stop,target,shelf_high,shelf_low,exit_time,exit_time_tv,exit_reason,r_after_cost,pair_key,v_low_time,v_start_time
CHFJPY,tv_oanda,2018-04-02 09:00:00,2018-04-02 18:00:00,2018-04-02 13:00:00,2018-04-02 22:00:00,111.602,111.602,111.1498513699683,112.28022294504756,111.5,111.218,2018-04-02 13:00:00,2018-04-02 22:00:00,SL,-1.0442332425039262,1585-1598,2018-03-25 21:00:00,2018-03-21 17:00:00
CHFJPY,tv_oanda,2018-11-06 14:00:00,2018-11-06 23:00:00,2018-11-06 18:00:00,2018-11-07 03:00:00,113.068,113.068,112.49136535340884,113.93295196988674,112.978,112.559,2018-11-12 22:00:00,2018-11-13 07:00:00,SL,-1.0346840067939769,2537-2546,2018-10-31 21:00:00,2018-10-30 09:00:00
CHFJPY,tv_oanda,2019-04-02 21:00:00,2019-04-03 06:00:00,2019-04-03 01:00:00,2019-04-03 10:00:00,111.698,111.699,111.271162098154,112.340756852769,111.644,111.329,2019-04-09 09:00:00,2019-04-09 18:00:00,SL,-1.0468561950883783,3162-3167,2019-03-28 05:00:00,2019-03-27 09:00:00
CHFJPY,tv_oanda,2022-02-09 10:00:00,2022-02-09 19:00:00,2022-02-09 14:00:00,2022-02-09 23:00:00,125.154,125.154,124.69040283618848,125.84939574571726,125.081,124.754,2022-02-11 18:00:00,2022-02-12 03:00:00,SL,-1.0431409024066889,7613-7623,2022-02-07 06:00:00,2022-02-03 14:00:00
CHFJPY,tv_oanda,2023-04-04 05:00:00,2023-04-04 14:00:00,2023-04-04 09:00:00,2023-04-04 18:00:00,145.761,145.761,144.5732203987806,147.5426694018291,145.665,144.715,2023-04-05 13:00:00,2023-04-05 22:00:00,SL,-1.0168381406613225,9369-9381,2023-03-24 09:00:00,2023-03-22 09:00:00
CHFJPY,tv_oanda,2023-08-10 01:00:00,2023-08-10 10:00:00,2023-08-10 05:00:00,2023-08-10 14:00:00,164.259,164.259,163.25214539259326,165.76928191111006,164.117,163.375,2023-08-14 21:00:00,2023-08-15 06:00:00,TP,1.4801361588327946,9944-9954,2023-08-06 21:00:00,2023-08-03 05:00:00
CHFJPY,tv_oanda,2024-04-09 09:00:00,2024-04-09 18:00:00,2024-04-09 13:00:00,2024-04-09 22:00:00,168.2685,168.2685,167.433266424602,169.52135036309696,167.999,167.529,2024-04-10 09:00:00,2024-04-10 18:00:00,SL,-1.0239453975379906,10964-10976,2024-04-03 05:00:00,2024-04-01 05:00:00
CHFJPY,tv_oanda,2024-05-29 13:00:00,2024-05-29 22:00:00,2024-05-29 17:00:00,2024-05-30 02:00:00,172.5995,172.5995,171.93917095622066,173.58999356566903,172.5325,172.016,2024-05-30 05:00:00,2024-05-30 14:00:00,SL,-1.030287930219627,11176-11187,2024-05-22 09:00:00,2024-05-20 13:00:00
CHFJPY,tv_oanda,2025-09-02 01:00:00,2025-09-02 10:00:00,2025-09-02 05:00:00,2025-09-02 14:00:00,184.3455,184.3455,183.58793828374772,185.4818425743784,184.129,183.686,2025-09-07 21:00:00,2025-09-08 06:00:00,TP,1.4735995106789137,13153-13162,2025-08-29 01:00:00,2025-08-27 13:00:00
SILVER,tv_oanda,2016-02-01 02:00:00,2016-02-01 11:00:00,2016-02-01 06:00:00,2016-02-01 15:00:00,14.32719,14.32719,14.137055606809367,14.612391589785949,14.311925,14.16448,2016-02-03 14:00:00,2016-02-03 23:00:00,TP,1.3159196796925192,4717-4723,2016-01-21 14:00:00,2016-01-20 14:00:00
SILVER,tv_oanda,2016-06-30 13:00:00,2016-06-30 22:00:00,2016-06-30 17:00:00,2016-07-01 02:00:00,18.4755,18.4755,18.153315324923952,18.95877701261407,18.46198,18.19581,2016-07-01 01:00:00,2016-07-01 10:00:00,TP,1.3913666517759091,5378-5392,2016-06-28 09:00:00,2016-06-24 01:00:00
XAUUSD,tv_oanda,2017-02-08 07:00:00,2017-02-08 16:00:00,2017-02-08 11:00:00,2017-02-08 20:00:00,1236.36,1236.36,1226.2501664339882,1251.5247503490175,1235.59,1227.58,2017-02-09 19:00:00,2017-02-10 04:00:00,SL,-1.0346197588431922,6263-6284,2017-01-27 11:00:00,2017-01-23 23:00:00
XAUUSD,tv_oanda,2020-02-17 23:00:00,2020-02-18 08:00:00,2020-02-18 03:00:00,2020-02-18 12:00:00,1586.62,1586.62,1577.6124569222004,1600.131314616699,1584.87,1578.7,2020-02-18 15:00:00,2020-02-19 00:00:00,TP,1.4611436773627116,10949-10959,2020-02-12 07:00:00,2020-02-10 15:00:00
XAUUSD,tv_oanda,2023-05-09 14:00:00,2023-05-09 23:00:00,2023-05-09 18:00:00,2023-05-10 03:00:00,2035.5,2035.5,2016.8264140434721,2063.510378934792,2032.72,2019.37,2023-05-11 10:00:00,2023-05-11 19:00:00,SL,-1.018743052395771,15907-15919,2023-04-28 10:00:00,2023-04-26 10:00:00
XAUUSD,tv_oanda,2023-09-18 14:00:00,2023-09-18 23:00:00,2023-09-18 18:00:00,2023-09-19 03:00:00,1932.07,1932.07,1920.852726484521,1948.8959102732183,1930.53,1922.28,2023-09-21 10:00:00,2023-09-21 19:00:00,SL,-1.0312018780247416,16494-16514,2023-09-14 14:00:00,2023-09-11 06:00:00
XAUUSD,tv_oanda,2024-06-19 22:00:00,2024-06-20 07:00:00,2024-06-20 02:00:00,2024-06-20 11:00:00,2336.2,2336.2,2321.235539596016,2358.646690605975,2334.89,2323.63,2024-06-20 14:00:00,2024-06-20 23:00:00,TP,1.4766112515552539,17656-17663,2024-06-13 14:00:00,2024-06-12 10:00:00
XAUUSD,tv_oanda,2024-10-17 10:00:00,2024-10-17 19:00:00,2024-10-17 14:00:00,2024-10-17 23:00:00,2688.61,2688.61,2663.6846712312936,2725.9979931530597,2685.65,2666.59,2024-10-20 22:00:00,2024-10-21 07:00:00,TP,1.4859580588385435,18149-18172,2024-10-10 10:00:00,2024-10-04 14:00:00
XAUUSD,tv_oanda,2025-07-02 18:00:00,2025-07-03 03:00:00,2025-07-02 22:00:00,2025-07-03 07:00:00,3357.33,3357.33,3323.297678788267,3408.378481817599,3351.07,3327.54,2025-07-03 10:00:00,2025-07-03 19:00:00,SL,-1.0102843411068665,19260-19270,2025-06-29 22:00:00,2025-06-26 06:00:00
