symbol,data_source,signal_time,signal_time_tv,entry_time,entry_time_tv,entry,signal_close,stop,target,shelf_high,shelf_low,exit_time,exit_time_tv,exit_reason,r_after_cost,pair_key,v_low_time,v_start_time
AUDJPY,tv_oanda,2015-01-19 22:00:00,2015-01-20 07:00:00,2015-01-20 02:00:00,2015-01-20 11:00:00,96.9145,96.9145,95.78345258744834,98.61107111882751,96.868,95.929,2015-01-21 14:00:00,2015-01-21 23:00:00,SL,-1.0110517029271022,3152-3158,2015-01-14 06:00:00,2015-01-13 06:00:00
AUDJPY,tv_oanda,2016-02-01 18:00:00,2016-02-02 03:00:00,2016-02-01 22:00:00,2016-02-02 07:00:00,86.084,86.084,85.13061523188995,87.51407715216509,85.962,85.288,2016-02-02 02:00:00,2016-02-02 11:00:00,SL,-1.013111180730072,4750-4760,2016-01-26 06:00:00,2016-01-22 14:00:00
AUDJPY,tv_oanda,2016-09-28 17:00:00,2016-09-29 02:00:00,2016-09-28 21:00:00,2016-09-29 06:00:00,77.4545,77.4545,76.72840023487323,78.54364964769013,77.393,76.815,2016-09-30 05:00:00,2016-09-30 14:00:00,SL,-1.0172152651747606,5797-5808,2016-09-26 21:00:00,2016-09-23 01:00:00
AUDJPY,tv_oanda,2016-10-03 17:00:00,2016-10-04 02:00:00,2016-10-03 21:00:00,2016-10-04 06:00:00,77.994,77.994,77.29148601801522,79.04777097297716,77.904,77.38,2016-10-14 05:00:00,2016-10-14 14:00:00,TP,1.4822067598360391,5822-5828,2016-09-30 05:00:00,2016-09-29 05:00:00
AUDJPY,tv_oanda,2018-11-01 01:00:00,2018-11-01 10:00:00,2018-11-01 05:00:00,2018-11-01 14:00:00,80.472,80.472,79.75441987270598,81.54837019094101,80.388,79.842,2018-11-02 01:00:00,2018-11-02 10:00:00,TP,1.482580342564494,9020-9028,2018-10-23 13:00:00,2018-10-22 05:00:00
AUDJPY,tv_oanda,2019-07-22 09:00:00,2019-07-22 18:00:00,2019-07-22 13:00:00,2019-07-22 22:00:00,76.11,76.11,75.77287296883932,76.615690546741,76.073,75.817,2019-07-23 13:00:00,2019-07-23 22:00:00,SL,-1.0370780116828753,10156-10165,2019-07-18 01:00:00,2019-07-16 13:00:00
AUDJPY,tv_oanda,2020-05-14 17:00:00,2020-05-15 02:00:00,2020-05-14 21:00:00,2020-05-15 06:00:00,69.297,69.297,68.44982052606117,70.56776921090824,69.17,68.55,2020-05-19 05:00:00,2020-05-19 14:00:00,TP,1.4852451571544045,11404-11412,2020-05-06 21:00:00,2020-05-05 13:00:00
AUDJPY,tv_oanda,2020-07-19 21:00:00,2020-07-20 06:00:00,2020-07-20 01:00:00,2020-07-20 10:00:00,75.067,75.067,74.69727558780568,75.62158661829147,74.97,74.754,2020-07-21 05:00:00,2020-07-21 14:00:00,TP,1.4661910342198017,11698-11702,2020-07-14 05:00:00,2020-07-13 13:00:00
AUDJPY,tv_oanda,2021-04-05 21:00:00,2021-04-06 06:00:00,2021-04-06 01:00:00,2021-04-06 10:00:00,84.403,84.403,84.0194971588634,84.9782542617049,84.39,84.079,2021-04-06 09:00:00,2021-04-06 18:00:00,SL,-1.0325942826471424,12808-12812,2021-04-01 05:00:00,2021-03-31 13:00:00
AUDJPY,tv_oanda,2021-07-06 01:00:00,2021-07-06 10:00:00,2021-07-06 05:00:00,2021-07-06 14:00:00,83.79,83.79,83.3725653758739,84.41615193618915,83.717,83.423,2021-07-06 13:00:00,2021-07-06 22:00:00,SL,-1.0299448087857046,13203-13209,2021-07-02 09:00:00,2021-07-01 09:00:00
AUDJPY,tv_oanda,2023-07-25 01:00:00,2023-07-25 10:00:00,2023-07-25 05:00:00,2023-07-25 14:00:00,95.594,95.594,94.78192087807004,96.81211868289492,95.483,94.879,2023-07-26 09:00:00,2023-07-26 18:00:00,SL,-1.015392588803763,16390-16396,2023-07-18 13:00:00,2023-07-17 13:00:00
