time,open,high,low,close,D1 V Trigger,D1 V Low,D1 V Start,Trade SL,Trade TP,D1 V Context,H4 Confirm Entry,V Context,Initial Shelf Long,Initial Shelf Skip,Watching Shelf High,Watching Shelf Low,Active SL,Active TP
1357077600,30.287685,30.38919,30.262275,30.34927,,,,,,0,0,0,0,0,,,,
1357092000,30.34927,30.574135,30.34184,30.54772,,,,,,0,0,0,0,0,,,,
1357106400,30.54772,30.78068,30.54772,30.736295,,,,,,0,0,0,0,0,,,,
1357120800,30.736295,31.44631,30.72733,31.31322,,,,,,0,0,0,0,0,,,,
1357135200,31.31322,31.49433,30.95091,31.03,,,,,,0,0,0,0,0,,,,
1357149600,31.03,31.187325,30.90448,31.032015,,,,,,0,0,0,0,0,,,,
1357164000,31.032015,31.2,30.99408,31.090315,,,,,,0,0,0,0,0,,,,
1357178400,31.090315,31.131405,31.018455,31.05285,,,,,,0,0,0,0,0,,,,
1357192800,31.05285,31.10328,30.878055,30.98637,,,,,,0,0,0,0,0,,,,
1357207200,30.98637,30.98951,30.72373,30.83676,,,,,,0,0,0,0,0,,,,
1357221600,30.83676,31.046045,30.75509,30.85286,,,,,,0,0,0,0,0,,,,
1357236000,30.85286,30.85848,29.997255,30.17241,,,,,,0,0,0,0,0,,,,
1357250400,30.17241,30.175,29.40105,29.575905,,,,,,0,0,0,0,0,,,,
1357264800,29.575905,29.838765,29.5544,29.666425,,,,,,0,0,0,0,0,,,,
1357279200,29.666425,29.734845,29.32086,29.38773,,,,,,0,0,0,0,0,,,,
1357293600,29.38773,29.714605,29.23146,29.707895,,,,,,0,0,0,0,0,,,,
1357308000,29.707895,29.968475,29.564335,29.844835,,,,,,0,0,0,0,0,,,,
1357322400,29.844835,30.284485,29.81788,30.22112,,,,,,0,0,0,0,0,,,,
1357509600,30.22112,30.42611,30.15773,30.37708,,,,,,0,0,0,0,0,,,,
1357524000,30.37708,30.461915,30.26517,30.32558,,,,,,0,0,0,0,0,,,,
1357538400,30.32558,30.32985,30.069375,30.10517,,,,,,0,0,0,0,0,,,,
1357552800,30.10517,30.280225,29.87977,29.93029,,,,,,0,0,0,0,0,,,,
1357567200,29.93029,30.24041,29.866255,30.023715,,,,,,0,0,0,0,0,,,,
1357581600,30.023715,30.182985,29.992835,30.159905,,,,,,0,0,0,0,0,,,,
1357596000,30.159905,30.34138,30.1392,30.17986,,,,,,0,0,0,0,0,,,,
1357610400,30.17986,30.30809,30.10596,30.178945,,,,,,0,0,0,0,0,,,,
1357624800,30.178945,30.27138,30.08456,30.25884,,,,,,0,0,0,0,0,,,,
1357639200,30.25884,30.42282,30.2285,30.28623,,,,,,0,0,0,0,0,,,,
1357653600,30.28623,30.55898,30.180375,30.425255,,,,,,0,0,0,0,0,,,,
1357668000,30.425255,30.53134,30.35835,30.380135,,,,,,0,0,0,0,0,,,,
1357682400,30.380135,30.487045,30.322735,30.36843,,,,,,0,0,0,0,0,,,,
1357696800,30.36843,30.449375,30.3328,30.438945,,,,,,0,0,0,0,0,,,,
1357711200,30.438945,30.573725,30.407115,30.41887,,,,,,0,0,0,0,0,,,,
1357725600,30.41887,30.48746,30.30774,30.443745,,,,,,0,0,0,0,0,,,,
1357740000,30.443745,30.45705,30.06633,30.19484,,,,,,0,0,0,0,0,,,,
1357754400,30.19484,30.38597,30.16083,30.35915,,,,,,0,0,0,0,0,,,,
1357768800,30.35915,30.418095,30.25616,30.30467,,,,,,0,0,0,0,0,,,,
1357783200,30.30467,30.40419,30.30467,30.361145,,,,,,0,0,0,0,0,,,,
1357797600,30.361145,30.532115,30.361145,30.506725,,,,,,0,0,0,0,0,,,,
1357812000,30.506725,30.76021,30.403565,30.695305,,,,,,0,0,0,0,0,,,,
