tv_trade_no,tv_entry_time,tv_entry_price,nearest_py_trade_id,nearest_py_signal_time,nearest_py_entry_time,nearest_py_entry_price,day_gap_to_py_signal,as_utc_bar_time,as_utc_bar_match,as_utc_open,as_utc_close,as_utc_entry_vs_open_pips,as_utc_entry_vs_close_pips,as_utc_entry_vs_py_entry_pips,as_utc_h4_bars_tv_to_py_entry,tv_ui_jst_to_utc_bar_time,tv_ui_jst_to_utc_bar_match,tv_ui_jst_to_utc_open,tv_ui_jst_to_utc_close,tv_ui_jst_to_utc_entry_vs_open_pips,tv_ui_jst_to_utc_entry_vs_close_pips,tv_ui_jst_to_utc_entry_vs_py_entry_pips,tv_ui_jst_to_utc_h4_bars_tv_to_py_entry
1,2018-11-07 03:00:00,113.483,11,2018-11-12 00:00:00,2018-11-12 04:00:00,114.0,4.88,2018-11-07 04:00:00,nearest_1h,113.248,113.064,23.5,41.9,-51.7,-30,2018-11-06 20:00:00,nearest_2h,113.4,113.341,8.3,14.2,-51.7,-32
2,2018-12-12 11:00:00,113.495,11,2018-11-12 00:00:00,2018-11-12 04:00:00,114.0,30.29,2018-12-12 12:00:00,nearest_1h,113.406,113.217,8.9,27.8,-50.5,182,2018-12-12 04:00:00,nearest_2h,113.466,113.4,2.9,9.5,-50.5,180
3,2020-07-02 22:00:00,107.632,15,2020-11-11 12:00:00,2020-11-11 16:00:00,105.622,131.58,2020-07-03 00:00:00,nearest_2h,107.498,107.492,13.4,14.0,201.0,-790,2020-07-02 12:00:00,nearest_-1h,107.446,107.545,18.6,8.7,201.0,-793
4,2021-02-01 23:00:00,104.94,16,2021-02-01 08:00:00,2021-02-01 12:00:00,104.882,0.46,2021-02-02 00:00:00,nearest_1h,104.883,104.944,5.7,-0.4,5.8,3,2021-02-01 16:00:00,nearest_2h,104.957,104.943,-1.7,-0.3,5.8,0
5,2021-11-12 11:00:00,114.284,19,2021-11-12 00:00:00,2021-11-12 04:00:00,114.255,0.29,2021-11-12 12:00:00,nearest_1h,114.054,113.941,23.0,34.3,2.9,2,2021-11-12 04:00:00,nearest_2h,114.255,114.047,2.9,23.7,2.9,0
6,2022-07-21 10:00:00,138.47,19,2021-11-12 00:00:00,2021-11-12 04:00:00,114.255,251.25,2022-07-21 12:00:00,nearest_2h,138.747,137.963,-27.7,50.7,2421.5,1508,2022-07-21 00:00:00,nearest_-1h,138.417,138.279,5.3,19.1,2421.5,1505
7,2023-10-26 02:00:00,149.971,24,2023-10-25 16:00:00,2023-10-25 20:00:00,150.054,0.25,2023-10-26 04:00:00,nearest_2h,150.418,150.474,-44.7,-50.3,-8.3,2,2023-10-25 16:00:00,nearest_-1h,149.937,150.057,3.4,-8.6,-8.3,-1
8,2024-06-20 06:00:00,158.028,27,2024-06-19 16:00:00,2024-06-19 20:00:00,158.005,0.42,2024-06-20 08:00:00,nearest_2h,158.27,158.43,-24.2,-40.2,2.3,2,2024-06-19 20:00:00,nearest_-1h,158.005,157.956,2.3,7.2,2.3,0
9,2025-05-29 02:00:00,144.918,32,2025-07-07 00:00:00,2025-07-07 04:00:00,144.83,38.92,2025-05-29 04:00:00,nearest_2h,145.741,145.259,-82.3,-34.1,8.8,-234,2025-05-28 16:00:00,nearest_-1h,145.046,144.904,-12.8,1.4,8.8,-237
