symbol,signal_time,signal_time_tv,entry_time_tv,entry,stop,target,d1_low_trap_source,d1_low_trap_age_days,r_after_cost,h4_shelf_b06_confirmed,tv_match,tv_notes,data_source,b06_stop,b06_target,stop_diff_pips,target_diff_pips
AUDJPY,2018-11-01 01:00:00,2018-11-01 10:00:00,2018-11-01 14:00:00,80.472,79.75441987270598,81.54837019094101,CLOSEFAIL_L120_W6_BODY_RR15,41.0,1.482580342564494,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,79.75441987270598,81.54837019094101,0.0,0.0
AUDJPY,2019-07-22 09:00:00,2019-07-22 18:00:00,2019-07-22 22:00:00,76.11,75.77287296883932,76.615690546741,CLOSEFAIL_L120_W6_BODY_RR15,44.5,-1.0370780116828753,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,75.77287296883932,76.615690546741,0.0,0.0
AUDJPY,2023-07-25 01:00:00,2023-07-25 10:00:00,2023-07-25 14:00:00,95.594,94.78192087807004,96.81211868289492,CLOSEFAIL_L120_W6_BODY_RR15,114.0,-1.015392588803763,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,94.78192087807004,96.81211868289492,0.0,0.0
EURJPY,2016-08-30 09:00:00,2016-08-30 18:00:00,2016-08-30 22:00:00,114.4065,113.7818781086232,115.3434328370652,CLOSEFAIL_L120_W6_BODY_RR15,67.7,1.4799878931997676,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,113.7818781086232,115.3434328370652,0.0,0.0
EURJPY,2016-10-03 21:00:00,2016-10-04 06:00:00,2016-10-04 10:00:00,114.3285,113.52230513496758,115.53779229754863,CLOSEFAIL_L120_W6_BODY_RR15,100.9,1.4844950637343826,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,113.52230513496758,115.53779229754863,0.0,0.0
EURJPY,2018-05-22 05:00:00,2018-05-22 14:00:00,2018-05-22 18:00:00,131.064,130.4001148983465,132.05982765248024,WICK_L120_BODY_RR15,72.2,-1.018828559292648,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,130.4001148983465,132.05982765248024,0.0,0.0
EURJPY,2018-07-03 05:00:00,2018-07-03 14:00:00,2018-07-03 18:00:00,129.336,128.30035764482292,130.88946353276566,WICK_L120_BODY_RR15,115.0,1.4879301962328133,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,128.30035764482292,130.88946353276566,0.0,0.0
GBPJPY,2016-11-04 13:00:00,2016-11-04 22:00:00,2016-11-05 02:00:00,129.0925,127.8563016636958,130.9467975044563,CLOSEFAIL_L120_W6_BODY_RR15,114.5,-1.0161786336485366,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,127.8563016636958,130.9467975044563,0.0,0.0
GBPJPY,2018-07-05 05:00:00,2018-07-05 14:00:00,2018-07-05 18:00:00,146.432,145.45789706308844,147.8931544053673,CLOSEFAIL_L120_W6_BODY_RR15,115.2,1.479468288984537,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,145.45789706308844,147.8931544053673,0.0,0.0
GBPJPY,2024-10-09 09:00:00,2024-10-09 18:00:00,2024-10-09 22:00:00,194.818,193.2428765250687,197.18068521239695,CLOSEFAIL_L120_W6_BODY_RR15,56.7,1.48730258273824,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,193.2428765250687,197.17818521239695,0.0,0.25
USDJPY,2020-07-02 09:00:00,2020-07-02 18:00:00,2020-07-02 22:00:00,107.63,107.27689266471046,108.1596610029343,CLOSEFAIL_L120_W6_BODY_RR15,115.9,-1.0283200007493225,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,107.27689266471046,108.1596610029343,0.0,0.0
USDJPY,2025-05-28 13:00:00,2025-05-28 22:00:00,2025-05-29 02:00:00,144.916,143.71392606540408,146.71911090189388,WICK_L120_BODY_RR15,34.5,-1.0083189558580292,OK,H4_OK,B06棚B照合済み・B07はD1Trap+EntryTPを追加確認,tv_oanda,143.71392606540408,146.72411090189388,0.0,-0.5
