trade_id,lane_id,symbol,period,strategy,signal_time,entry_time,entry,signal_close,stop,target,shelf_high,shelf_low,shelf_bars,exit_time,exit_reason,r_after_cost,param_rr,param_target_basis,tv_signal_time,tv_entry_time,tv_match,tv_notes,pine_preset
3,B06_VIS_PRECALM,AUDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2015-11-18 20:00:00,2015-11-19 00:00:00,87.897,87.897,87.30461437247465,88.78557844128804,87.879,87.379,6,2015-11-20 12:00:00,TP,1.4788988803590437,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
4,B06_VIS_PRECALM,AUDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-03-04 04:00:00,2016-03-04 08:00:00,83.9,83.899,83.00648588573182,85.23777117140227,83.871,83.129,6,2016-03-10 12:00:00,TP,1.4832123524850125,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
6,B06_VIS_PRECALM,AUDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-10-03 16:00:00,2016-10-03 20:00:00,77.955,77.956,77.28436825109398,78.96344762335903,77.902,77.373,6,2016-10-05 16:00:00,TP,1.4850886868742843,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
13,B06_VIS_PRECALM,AUDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2019-04-05 00:00:00,2019-04-05 04:00:00,79.548,79.547,79.09145141808958,80.23032287286563,79.464,79.149,6,2019-04-08 00:00:00,SL,-1.027379342517465,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
17,B06_VIS_PRECALM,AUDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2021-02-05 08:00:00,2021-02-05 12:00:00,80.342,80.343,79.98281077903846,80.88328383144233,80.33,80.039,6,2021-02-05 20:00:00,TP,1.4721595208976488,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
26,B06_VIS_PRECALM,AUDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-03-25 12:00:00,2024-03-25 16:00:00,98.981,98.979,98.40183481228992,99.84474778156512,98.894,98.472,6,2024-03-28 08:00:00,SL,-1.021582788926613,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
30,B06_VIS_PRECALM,AUDJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2025-03-17 04:00:00,2025-03-17 08:00:00,94.332,94.33,93.52811678006756,95.53282482989869,94.239,93.632,6,2025-03-18 04:00:00,TP,1.4782306688757012,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
1,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2015-04-27 12:00:00,2015-04-27 16:00:00,129.75,129.77,128.692088165768,131.386867751348,129.7,128.82,6,2015-04-29 12:00:00,TP,1.535447188306822,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
2,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2015-05-29 08:00:00,2015-05-29 12:00:00,135.99,136.0,135.0291421431509,137.45628678527368,135.9,135.14,6,2015-06-02 08:00:00,TP,1.5130092082932989,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
7,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-10-03 20:00:00,2016-10-04 00:00:00,114.12,114.13,113.5199485925825,115.04507711112625,114.08,113.62,6,2016-10-04 12:00:00,TP,1.520831548506462,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
10,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2017-03-03 08:00:00,2017-03-03 12:00:00,120.56,120.54,119.92753187604028,121.4587021859396,120.46,120.0,6,2017-03-09 12:00:00,TP,1.401180790569046,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
