trade_id,lane_id,symbol,period,strategy,signal_time,entry_time,entry,signal_close,stop,target,shelf_high,shelf_low,shelf_bars,exit_time,exit_reason,r_after_cost,param_rr,param_target_basis,tv_signal_time,tv_entry_time,tv_match,tv_notes,pine_preset
12,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2019-01-29 08:00:00,2019-01-29 12:00:00,125.15,125.14,124.51591373603112,126.07612939595332,125.01,124.59,6,2019-01-31 16:00:00,SL,-1.0197134060620523,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
20,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2022-06-02 08:00:00,2022-06-02 12:00:00,139.01,139.02,138.06836362430263,140.44745456354607,138.94,138.18,6,2022-06-06 04:00:00,TP,1.5132747632978838,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
21,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2022-06-24 12:00:00,2022-06-24 16:00:00,142.62,142.61,141.21703884433734,144.69944173349404,142.57,141.39,6,2022-07-01 00:00:00,SL,-1.0089097263666469,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
23,B06_VIS_PRECALM,EURJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2023-08-07 12:00:00,2023-08-07 16:00:00,156.77,156.77,155.67343176175714,158.4148523573643,156.6,155.8,6,2023-08-10 04:00:00,TP,1.4886008006031448,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
31,B06_VIS_PRECALM,EURJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2025-06-03 00:00:00,2025-06-03 04:00:00,163.483,163.484,162.73148384175303,164.61277423737047,163.411,162.835,6,2025-06-05 12:00:00,TP,1.486693566212464,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
34,B06_VIS_PRECALM,EURJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2026-03-24 16:00:00,2026-03-24 20:00:00,184.194,184.192,183.51211596744267,185.21182604883603,184.106,183.62,6,2026-03-30 08:00:00,SL,-1.0183315628511038,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
5,B06_VIS_PRECALM,GBPJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-08-24 08:00:00,2016-08-24 12:00:00,132.57,132.58,131.73655837032155,133.8451624445177,132.42,131.85,6,2016-08-28 20:00:00,TP,1.5059992203677126,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
9,B06_VIS_PRECALM,GBPJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-11-08 16:00:00,2016-11-08 20:00:00,130.16,130.17,129.12844834875867,131.73232747686197,129.97,129.25,6,2016-11-09 00:00:00,SL,-1.0193882681259,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
14,B06_VIS_PRECALM,GBPJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2020-10-09 12:00:00,2020-10-09 16:00:00,137.57,137.56,136.62124581537435,138.9681312769385,137.36,136.73,6,2020-10-13 16:00:00,SL,-1.021080275928241,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
29,B06_VIS_PRECALM,GBPJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-10-09 08:00:00,2024-10-09 12:00:00,194.92,194.93,193.3369551668224,197.3195672497664,194.55,193.53,6,2024-10-23 00:00:00,TP,1.5031584702437202,1.5,signal,,,pending,TV照合待ち — scripts/run_system_b_pine_parity_audit.py,B06
8,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2016-10-03 20:00:00,2016-10-04 00:00:00,101.835,101.835,101.09930930991509,102.93853603512738,101.657,101.184,6,2016-10-04 16:00:00,TP,1.486407331049915,1.5,signal,2016-10-03 20:00:00,,MISS,TVでシグナルなし・Pythonのみ(2026-06-05),B06
11,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2018-11-12 00:00:00,2018-11-12 04:00:00,114.0,114.0,113.58774348655214,114.6183847701718,113.985,113.638,6,2018-11-13 00:00:00,SL,-1.0242567422800846,1.5,signal,2018-11-12 00:00:00,,MISS,TVは11/07と12/12のみ・11/12なし(2026-06-05),B06
15,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2020-11-11 12:00:00,2020-11-11 16:00:00,105.622,105.622,104.92083282802264,106.67375075796606,105.54,105.004,6,2020-11-13 00:00:00,SL,-1.014261934100237,1.5,signal,2020-11-11 12:00:00,,MISS,TVは2020-07-02のみ・11/11なし(2026-06-05),B06
16,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2021-02-01 08:00:00,2021-02-01 12:00:00,104.882,104.883,104.56326887631424,105.36259668552862,104.85,104.608,6,2021-02-04 12:00:00,TP,1.4764691947454684,1.5,signal,2021-02-01 08:00:00,,OK,TV E104.948 TP105.502≈Py105.363(2026-06-05),B06
18,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2021-08-09 16:00:00,2021-08-09 20:00:00,110.329,110.328,109.97942456790187,110.85086314814716,110.317,110.026,6,2021-08-13 12:00:00,SL,-1.0286061292693602,1.5,signal,2021-08-09 16:00:00,,MISS,TVテスターに2021-08なし(2026-06-05),B06
19,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2021-11-12 00:00:00,2021-11-12 04:00:00,114.255,114.255,113.74517100144332,115.01974349783502,114.155,113.805,6,2021-11-19 12:00:00,SL,-1.0196144197923238,1.5,signal,2021-11-12 00:00:00,,OK,TV TP115.092≈Py115.020 Signal基準・SL敗(2026-06-05),B06
22,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2023-08-01 08:00:00,2023-08-01 12:00:00,142.973,142.973,141.83493847275102,144.68009229087352,142.843,142.002,6,2023-08-04 12:00:00,SL,-1.0087868711493688,1.5,signal,2023-08-01 08:00:00,,MISS,TVテスターに2023-08なし(2026-06-05),B06
24,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2023-10-25 16:00:00,2023-10-25 20:00:00,150.054,150.057,149.69738638531956,150.59642042202063,149.965,149.744,6,2023-10-26 04:00:00,TP,1.492989611453095,1.5,signal,2023-10-25 16:00:00,,OK,TV 2023/10ロング≈150付近・Python一致(2026-06-05確認),B06
25,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-02-05 12:00:00,2024-02-05 16:00:00,148.874,148.874,148.0704906702465,150.07926399463025,148.82,148.194,6,2024-02-06 12:00:00,SL,-1.012445406207117,1.5,signal,2024-02-05 12:00:00,,MISS,TVテスターに2024-02なし(2026-06-05),B06
27,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-06-19 16:00:00,2024-06-19 20:00:00,158.005,158.007,157.52769954325683,158.72595068511475,157.95,157.602,6,2024-06-20 12:00:00,TP,1.4895244181535077,1.5,signal,2024-06-19 16:00:00,,OK,TV 2024/6 V回復ロング≈158・十字線6/26は別バー(2026-06-05確認),B06
28,B06_VIS_PRECALM,USDJPY,Research_2015_2024,CURRENT_PRECALM_SHELF6_RR15,2024-09-24 04:00:00,2024-09-24 08:00:00,144.453,144.452,142.98378240551435,146.6543263917285,144.35,143.162,6,2024-09-24 20:00:00,SL,-1.006806343755699,1.5,signal,2024-09-24 04:00:00,,MISS,TVテスターに2024-09なし(2026-06-05),B06
32,B06_VIS_PRECALM,USDJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2025-07-07 00:00:00,2025-07-07 04:00:00,144.83,144.833,144.0809776124362,145.9610335813457,144.632,144.181,6,2025-07-07 16:00:00,TP,1.496662316051498,1.5,signal,2025-07-07 00:00:00,,MISS,TVテスターに2025-07なし・5/29はEXTRA(2026-06-05),B06
33,B06_VIS_PRECALM,USDJPY,OOS_2025_2026,CURRENT_PRECALM_SHELF6_RR15,2025-09-24 04:00:00,2025-09-24 08:00:00,148.041,148.042,147.37495818692463,149.04256271961304,147.926,147.459,6,2025-09-25 12:00:00,TP,1.4887394457033218,1.5,signal,2025-09-24 04:00:00,,MISS,TVテスターに2025-09なし(2026-06-05),B06
