signal_time_utc,signal_time_tv,entry_time_utc,entry_time_tv,py_entry,nearest_tv_entry_time,nearest_tv_entry_price,hour_gap,tv_match
2015-01-19 22:00:00,2015-01-20 07:00:00,2015-01-20 02:00:00,2015-01-20 11:00:00,96.9145,2015-01-20 11:00:00,96.917,0.0,OK
2016-02-01 18:00:00,2016-02-02 03:00:00,2016-02-01 22:00:00,2016-02-02 07:00:00,86.084,2016-02-02 07:00:00,86.086,0.0,OK
2016-09-28 17:00:00,2016-09-29 02:00:00,2016-09-28 21:00:00,2016-09-29 06:00:00,77.4545,2016-09-29 06:00:00,77.457,0.0,OK
2016-10-03 17:00:00,2016-10-04 02:00:00,2016-10-03 21:00:00,2016-10-04 06:00:00,77.994,2016-10-04 06:00:00,77.996,0.0,OK
2018-11-01 01:00:00,2018-11-01 10:00:00,2018-11-01 05:00:00,2018-11-01 14:00:00,80.472,2018-11-01 14:00:00,80.474,0.0,OK
2019-07-22 09:00:00,2019-07-22 18:00:00,2019-07-22 13:00:00,2019-07-22 22:00:00,76.11,2019-07-22 22:00:00,76.112,0.0,OK
2020-05-14 17:00:00,2020-05-15 02:00:00,2020-05-14 21:00:00,2020-05-15 06:00:00,69.297,2020-05-15 06:00:00,69.299,0.0,OK
2020-07-19 21:00:00,2020-07-20 06:00:00,2020-07-20 01:00:00,2020-07-20 10:00:00,75.067,2020-07-20 10:00:00,75.069,0.0,OK
2021-04-05 21:00:00,2021-04-06 06:00:00,2021-04-06 01:00:00,2021-04-06 10:00:00,84.403,2021-04-06 10:00:00,84.405,0.0,OK
2021-07-06 01:00:00,2021-07-06 10:00:00,2021-07-06 05:00:00,2021-07-06 14:00:00,83.79,2021-07-06 14:00:00,83.792,0.0,OK
2023-07-25 01:00:00,2023-07-25 10:00:00,2023-07-25 05:00:00,2023-07-25 14:00:00,95.594,2023-07-25 14:00:00,95.596,0.0,OK
