key,in_export,in_rerun,match
AUDJPY|2015-11-18 20:00:00,True,True,True
AUDJPY|2016-03-04 04:00:00,True,True,True
AUDJPY|2016-10-03 16:00:00,True,True,True
AUDJPY|2019-04-05 00:00:00,True,True,True
AUDJPY|2021-02-05 08:00:00,True,True,True
AUDJPY|2024-03-25 12:00:00,True,True,True
AUDJPY|2025-03-17 04:00:00,True,True,True
EURJPY|2015-04-27 12:00:00,True,True,True
EURJPY|2015-05-29 08:00:00,True,True,True
EURJPY|2016-10-03 20:00:00,True,True,True
EURJPY|2017-03-03 08:00:00,True,True,True
EURJPY|2019-01-29 08:00:00,True,True,True
EURJPY|2022-06-02 08:00:00,True,True,True
EURJPY|2022-06-24 12:00:00,True,True,True
EURJPY|2023-08-07 12:00:00,True,True,True
EURJPY|2025-06-03 00:00:00,True,True,True
EURJPY|2026-03-24 16:00:00,True,True,True
GBPJPY|2016-08-24 08:00:00,True,True,True
GBPJPY|2016-11-08 16:00:00,True,True,True
GBPJPY|2020-10-09 12:00:00,True,True,True
GBPJPY|2024-10-09 08:00:00,True,True,True
USDJPY|2016-10-03 20:00:00,True,True,True
USDJPY|2018-11-12 00:00:00,True,True,True
USDJPY|2020-11-11 12:00:00,True,True,True
USDJPY|2021-02-01 08:00:00,True,True,True
USDJPY|2021-08-09 16:00:00,True,True,True
USDJPY|2021-11-12 00:00:00,True,True,True
USDJPY|2023-08-01 08:00:00,True,True,True
USDJPY|2023-10-25 16:00:00,True,True,True
USDJPY|2024-02-05 12:00:00,True,True,True
USDJPY|2024-06-19 16:00:00,True,True,True
USDJPY|2024-09-24 04:00:00,True,True,True
USDJPY|2025-07-07 00:00:00,True,True,True
USDJPY|2025-09-24 04:00:00,True,True,True
