time,open,high,low,close,D1 V Trigger,D1 V Low,D1 V Start,Trade SL,Trade TP,D1 V Context,H4 Confirm Entry,V Context,Initial Shelf Long,Initial Shelf Skip,Watching Shelf High,Watching Shelf Low,Active SL,Active TP
1357095600,1662.61,1683.67,1662.61,1681.28,,,,,,0,0,0,0,0,,,,
1357110000,1681.28,1684.71,1680.471,1681.45,,,,,,0,0,0,0,0,,,,
1357124400,1681.45,1693.26,1681.29,1692.5,,,,,,0,0,0,0,0,,,,
1357138800,1692.5,1694.79,1686.389,1686.59,,,,,,0,0,0,0,0,,,,
1357153200,1686.59,1688.742,1684.554,1686.37,,,,,,0,0,0,0,0,,,,
1357167600,1684.35,1689.78,1684.2,1686.25,,,,,,0,0,0,0,0,,,,
1357182000,1686.25,1688.249,1685.934,1687.505,,,,,,0,0,0,0,0,,,,
1357196400,1687.505,1687.68,1681.321,1681.552,,,,,,0,0,0,0,0,,,,
1357210800,1681.552,1682.98,1674.904,1679.6,,,,,,0,0,0,0,0,,,,
1357225200,1679.6,1681.83,1672.384,1673.238,,,,,,0,0,0,0,0,,,,
1357239600,1673.238,1673.238,1660.5,1663.6,,,,,,0,0,0,0,0,,,,
1357254000,1661.1,1663.981,1645.25,1649.55,,,,,,0,0,0,0,0,,,,
1357268400,1649.55,1653.969,1647.87,1652.74,,,,,,0,0,0,0,0,,,,
1357282800,1652.74,1653.031,1626.88,1628.87,,,,,,0,0,0,0,0,,,,
1357297200,1628.87,1653.29,1625.692,1652.17,,,,,,0,0,0,0,0,,,,
1357311600,1652.17,1652.28,1640.42,1651.31,,,,,,0,0,0,0,0,,,,
1357326000,1651.31,1658.58,1650.16,1656.56,,,,,,0,0,0,0,0,,,,
1357513200,1655.68,1662.399,1655.49,1661.139,,,,,,0,0,0,0,0,,,,
1357527600,1661.139,1661.962,1657.25,1658.48,,,,,,0,0,0,0,0,,,,
1357542000,1658.48,1659.416,1652.09,1654.55,,,,,,0,0,0,0,0,,,,
1357556400,1654.55,1658.82,1642.61,1648.21,,,,,,0,0,0,0,0,,,,
1357570800,1648.21,1651.77,1643.338,1646.43,,,,,,0,0,0,0,0,,,,
1357585200,1646.43,1648.235,1646.098,1646.59,,,,,,0,0,0,0,0,,,,
