symbol,signal_time,entry_time,entry,stop,target,tv_match,tv_notes,data_source,confirmed_date
USDJPY,2018-11-06 14:00:00,2018-11-06 18:00:00,113.481,113.020,114.173,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2018-12-11 22:00:00,2018-12-12 02:00:00,113.493,112.944,114.317,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2020-07-02 09:00:00,2020-07-02 13:00:00,107.630,107.277,108.160,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2021-02-01 10:00:00,2021-02-01 14:00:00,104.938,104.562,105.502,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2021-11-11 22:00:00,2021-11-12 02:00:00,114.282,113.742,115.092,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2022-07-20 21:00:00,2022-07-21 01:00:00,138.468,137.811,139.453,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2023-10-25 13:00:00,2023-10-25 17:00:00,149.969,149.705,150.365,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2024-06-19 17:00:00,2024-06-19 21:00:00,158.026,157.524,158.925,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
USDJPY,2025-05-28 13:00:00,2025-05-28 17:00:00,144.916,143.714,146.724,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2016-11-04 13:00:00,2016-11-04 17:00:00,129.093,127.856,130.947,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2018-07-05 05:00:00,2018-07-05 09:00:00,146.432,145.458,147.893,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2019-02-19 06:00:00,2019-02-19 10:00:00,143.116,142.386,144.211,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2020-05-25 21:00:00,2020-05-26 01:00:00,131.640,130.837,132.845,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2021-07-23 09:00:00,2021-07-23 13:00:00,152.106,151.135,153.562,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2024-10-09 09:00:00,2024-10-09 13:00:00,194.818,193.243,197.178,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2025-03-21 01:00:00,2025-03-21 05:00:00,193.344,191.895,195.517,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
GBPJPY,2026-03-23 09:00:00,2026-03-23 13:00:00,212.874,211.601,214.775,OK,TVチャート棚B一致（ユーザー確認）,tv_oanda,2026-06-05
EURJPY,2016-08-30 09:00:00,2016-08-30 13:00:00,114.407,113.782,115.343,OK,TV signal_tv=2016-08-30 18:00 棚B一致,tv_oanda,2026-06-05
