symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month,yearmonth
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-08-13 00:00:00,2015-08-13 01:00:00,194.12,193.69660714285715,2015-08-17 12:00:00,194.32,one_swing_break,0.4233928571428578,0.472374525516632,2.361872627583294,-0.9919865035850212,4.458333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,8,2015-08
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-10-07 05:00:00,2015-10-07 06:00:00,1150.319,1144.1694285714284,2015-10-07 13:00:00,1144.1694285714284,initial_stop,6.149571428571562,-1.0,0.5382488907473021,-1.0846284293911188,0.2916666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,10,2015-10
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2015-11-19 15:00:00,2015-11-19 16:00:00,88.457,87.99369642857143,2015-11-23 00:00:00,88.703,one_swing_break,0.4633035714285682,0.5309693582578769,1.19791867411835,-0.3734052804008237,3.3333333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2015,11,2015-11
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-01-20 03:00:00,2016-01-20 04:00:00,1092.578,1085.3435714285715,2016-01-21 15:00:00,1094.642,one_swing_break,7.234428571428452,0.2853024229379511,2.35554195217317,-0.2099682075788435,1.4583333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,1,2016-01
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-01-25 03:00:00,2016-01-25 04:00:00,1101.729,1094.9214464285717,2016-01-27 07:00:00,1117.939,one_swing_break,6.807553571428571,2.381178470344135,3.111102950241702,-0.3128877323771287,2.125,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,1,2016-01
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-02-11 00:00:00,2016-02-11 01:00:00,15.345,15.141321428571429,2016-02-12 01:00:00,15.65,one_swing_break,0.203678571428572,1.4974574785200712,2.8918113273715433,-0.3240399789584455,1.0,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,2,2016-02
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-02-19 11:00:00,2016-02-19 12:00:00,1230.149,1218.9663035714286,2016-02-22 03:00:00,1218.9663035714286,initial_stop,11.182696428571262,-1.0,0.3915871299887918,-1.2902076070970705,2.625,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,2,2016-02
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-03 14:00:00,2016-03-03 15:00:00,1246.241,1238.6545357142857,2016-03-07 17:00:00,1261.778,one_swing_break,7.586464285714328,2.047989605547467,4.414045692280881,-0.2085292885354856,4.083333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-10 12:00:00,2016-03-10 13:00:00,85.481,84.48925,2016-03-10 15:00:00,84.48925,initial_stop,0.991749999999996,-1.0,0.1371313335013969,-1.0849508444668492,0.0833333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-21 22:00:00,2016-03-21 23:00:00,115.499,114.95283928571428,2016-03-22 08:00:00,114.95283928571428,initial_stop,0.5461607142857048,-1.0,0.4211214647703268,-1.7632172633644136,0.375,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-21 22:00:00,2016-03-21 23:00:00,161.09,160.30232142857142,2016-03-22 07:00:00,160.30232142857142,initial_stop,0.7876785714285859,-1.0,0.4443436862389327,-1.1299025164361802,0.3333333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-22 06:00:00,2016-03-22 07:00:00,1248.851,1241.2231785714284,2016-03-23 03:00:00,1241.2231785714284,initial_stop,7.6278214285716786,-1.0,1.49308686715448,-1.0136577097935586,0.8333333333333334,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-25 00:00:00,2016-03-25 01:00:00,115.871,115.409375,2016-03-29 13:00:00,116.357,one_swing_break,0.4616249999999979,1.0528025995126051,1.9258055781207992,-0.9314920119144208,4.5,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-25 00:00:00,2016-03-25 01:00:00,126.41,125.78839285714284,2016-03-29 14:00:00,126.84,one_swing_break,0.6216071428571439,0.691755242746347,1.6409077851192322,-0.6434932490663454,4.541666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-03-29 14:00:00,2016-03-29 15:00:00,85.835,85.23001785714285,2016-03-31 01:00:00,86.01,one_swing_break,0.6049821428571391,0.2892647362673248,1.3769001446323974,-0.3553823902712438,1.4166666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,3,2016-03
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-05-10 01:00:00,2016-05-10 02:00:00,156.5,155.8344642857143,2016-05-11 01:00:00,157.13,one_swing_break,0.6655357142857099,0.946605849208478,2.193721491816501,-0.3756372417493988,0.9583333333333334,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,5,2016-05
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-06-15 05:00:00,2016-06-15 06:00:00,17.428,17.280910714285714,2016-06-16 15:00:00,17.657,one_swing_break,0.1470892857142871,1.5568775039455909,2.8554085225202948,-0.5506859293431988,1.375,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,6,2016-06
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-06-26 22:00:00,2016-06-26 23:00:00,17.855,17.526767857142858,2016-06-28 11:00:00,17.526767857142858,initial_stop,0.3282321428571428,-1.0,0.1279582177248185,-1.0328056144932334,1.5,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,6,2016-06
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-06-29 01:00:00,2016-06-29 02:00:00,17.93,17.729303571428574,2016-06-29 19:00:00,18.253,one_swing_break,0.2006964285714261,1.6093958537236626,2.6258563929175565,-0.2042886377791662,0.7083333333333334,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,6,2016-06
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-06-29 02:00:00,2016-06-29 03:00:00,1320.009,1308.6646607142857,2016-07-05 01:00:00,1342.71,one_swing_break,11.34433928571434,2.0010861301183804,3.2994429254363697,-0.6364407673430574,5.916666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,6,2016-06
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-07-05 13:00:00,2016-07-05 14:00:00,1350.429,1340.2066607142858,2016-07-06 18:00:00,1363.138,one_swing_break,10.22233928571427,1.243257501515399,2.411581078555181,-0.8080342247633425,1.1666666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,7,2016-07
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-08-31 12:00:00,2016-08-31 13:00:00,115.16,114.78214285714286,2016-09-05 02:00:00,115.76,one_swing_break,0.3778571428571382,1.5879017013232934,3.1228733459357843,-0.3969754253307951,4.541666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,8,2016-08
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-09-02 01:00:00,2016-09-02 02:00:00,137.36,136.76982142857142,2016-09-05 02:00:00,137.98,one_swing_break,0.590178571428595,1.050529500756347,2.4229954614219547,-0.4913767019667321,3.0,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,9,2016-09
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-09-02 06:00:00,2016-09-02 07:00:00,105.686,105.23578571428573,2016-09-02 20:00:00,105.944,one_swing_break,0.4502142857142956,0.5730604474059746,1.3860066634935333,-0.8862446454069315,0.5416666666666666,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,9,2016-09
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-09-22 11:00:00,2016-09-22 12:00:00,19.941,19.674035714285715,2016-09-23 17:00:00,19.674035714285715,initial_stop,0.266964285714284,-1.0,0.4345150501672256,-1.3709698996655597,1.2083333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,9,2016-09
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-10-18 00:00:00,2016-10-18 01:00:00,79.504,79.03824999999999,2016-10-21 12:00:00,79.03824999999999,initial_stop,0.4657500000000141,-1.0,1.099302200751444,-1.1723027375201072,3.4583333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,10,2016-10
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-10-31 09:00:00,2016-10-31 10:00:00,106.245,105.79592857142858,2016-11-02 02:00:00,106.536,one_swing_break,0.449071428571429,0.6480038174009785,1.5431843486559504,-0.9575314140289628,1.6666666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,10,2016-10
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-11-14 12:00:00,2016-11-14 13:00:00,116.28,115.75053571428572,2016-11-16 14:00:00,117.07,one_swing_break,0.5294642857142833,1.4920741989881874,2.209780775716708,-0.7177065767284939,2.0416666666666665,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,11,2016-11
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-11-14 13:00:00,2016-11-14 14:00:00,81.54,80.93721428571429,2016-11-16 10:00:00,82.122,one_swing_break,0.6027857142857158,0.9655172413792972,1.7684559781964448,-0.237231899514161,1.8333333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,11,2016-11
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-11-17 07:00:00,2016-11-17 08:00:00,116.85,116.19428571428573,2016-11-18 12:00:00,117.02,one_swing_break,0.6557142857142821,0.2592592592592633,0.8997821350762628,-0.3202614379084889,1.1666666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,11,2016-11
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2016-11-24 07:00:00,2016-11-24 08:00:00,83.516,82.890125,2016-11-25 10:00:00,83.839,one_swing_break,0.6258750000000077,0.5160774915118663,1.7639304973037515,-0.054323946474944,1.0833333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2016,11,2016-11
