symbol,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
AUDJPY,59.0,26.0,33.0,44.07,6.216,0.1054,-1.0,1.188,6.838,2.245
CHFJPY,70.0,27.0,43.0,38.57,-1.648,-0.0235,-1.0,0.962,7.497,1.635
EURJPY,57.0,28.0,29.0,49.12,19.32,0.3389,-1.0,1.666,6.441,1.434
GBPJPY,63.0,27.0,36.0,42.86,-0.393,-0.0062,-1.0,0.989,14.061,1.216
XAGUSD,55.0,26.0,29.0,47.27,25.516,0.4639,-1.0,1.88,8.137,1.725
XAUUSD,74.0,34.0,40.0,45.95,49.828,0.6734,-1.0,2.246,7.336,1.957
