grade,timeframe,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars
half,H1,51,58.82352941176471,11.68859498672989,0.22918813699470375,1.5513077435999638,5.7882700020786135,5,1.2585292954885823,15.03921568627451
normal,H1,30,53.333333333333336,3.092921780042077,0.10309739266806923,1.2149449221223756,4.061407418415742,4,1.2286128807699663,17.9
