entry_mode,timeframe,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars
A_early,H1,24,70.83333333333334,9.592609801203691,0.3996920750501538,2.3293562750568544,2.0660115331270834,2,1.105386762738913,10.625
B_confirmed,H1,57,50.877192982456144,5.188906965568277,0.09103345553628556,1.1828691784661465,6.666857916218261,5,1.307264880478645,18.403508771929825
