feature,bin,trades,win_rate,total_r,avg_r,pf
retrace,"(-0.001, 0.382]",43,62.7906976744186,12.257310686648642,0.28505373689880564,1.7862722115030993
retrace,"(0.382, 0.5]",10,60.0,2.5114686716191548,0.2511468671619155,1.6075015756812183
retrace,"(0.5, 0.618]",10,50.0,1.6618610082340917,0.16618610082340918,1.3227664204323615
retrace,"(0.618, 0.764]",8,50.0,0.5540345854716513,0.06925432318395641,1.1347093939679722
retrace,"(0.764, 0.886]",7,28.57142857142857,-3.1606867506009197,-0.45152667865727425,0.4317684530223722
retrace,"(0.886, 2.0]",3,66.66666666666666,0.9575285653993493,0.31917618846644974,1.9173738426256894
score,"(-0.001, 5.0]",6,66.66666666666666,2.8138268350779105,0.4689711391796518,2.334925477264475
score,"(5.0, 6.0]",39,56.41025641025641,7.769082482892362,0.1992072431510862,1.4561268186839758
score,"(6.0, 7.0]",13,53.84615384615385,-0.18783788452539518,-0.014449068040415014,0.969644162407058
score,"(7.0, 8.0]",15,53.333333333333336,1.3152368916023376,0.08768245944015583,1.1828335926561873
score,"(8.0, 10.0]",8,62.5,3.071208441724754,0.38390105521559426,2.0007601710260583
planned_rr,"(-0.001, 1.0]",27,66.66666666666666,5.036485744226988,0.18653650904544403,1.5453317159797486
planned_rr,"(1.0, 1.5]",36,55.55555555555556,5.552826047872809,0.15424516799646693,1.336350378193373
planned_rr,"(1.5, 2.0]",13,38.46153846153847,0.03633245836516341,0.0027948044896279546,1.0047278658604344
planned_rr,"(2.0, 3.0]",4,75.0,5.211074353285132,1.302768588321283,5.710324212371572
planned_rr,"(3.0, 99.0]",1,0.0,-1.0552018369781264,-1.0552018369781264,0.0
trendline_slope_atr,"(-0.001, 0.05]",29,65.51724137931035,8.336407660453723,0.2874623331190939,1.8076689870335598
trendline_slope_atr,"(0.05, 0.12]",25,52.0,1.6925294907676467,0.06770117963070586,1.134389897138231
trendline_slope_atr,"(0.12, 0.25]",16,56.25,4.679084036762285,0.2924427522976428,1.7515535740883663
trendline_slope_atr,"(0.25, 99.0]",11,45.45454545454545,0.07349557878831448,0.006681416253483134,1.0113958479824823
signal_body_ratio,"(-0.001, 0.25]",2,50.0,0.2338554147563312,0.1169277073781656,1.2282571286672987
signal_body_ratio,"(0.25, 0.45]",1,0.0,-1.2742380967719436,-1.2742380967719436,0.0
signal_body_ratio,"(0.45, 0.65]",31,54.83870967741935,5.923413254889724,0.19107784693192656,1.4374989389478374
signal_body_ratio,"(0.65, 1.0]",47,59.57446808510638,9.898486193897856,0.21060608923186927,1.5011150597757885
