sample,symbol,timeframe,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars
IS_2015_2024,USDJPY,H1,8,75.0,6.468744983010049,0.8085931228762562,7.06778265475205,1.0243046603677888,1,1.31668066549272,17.625
IS_2015_2024,CHFJPY,H1,8,75.0,4.765666466486527,0.5957083083108159,3.2739407427567726,2.095774255185276,2,1.1263200368539086,13.125
IS_2015_2024,GBPJPY,H1,11,63.63636363636363,4.124300144034346,0.3749363767303951,2.0031624887933837,3.0827693216892733,3,1.5242997029777228,22.272727272727273
IS_2015_2024,AUDJPY,H1,8,62.5,3.2632891259434076,0.40791114074292595,2.0588943013688916,2.0503226505350245,2,1.2076616974252046,26.0
IS_2015_2024,XAUUSD,H1,18,55.55555555555556,2.845773071470127,0.1580985039705626,1.3420963846500973,4.09497990454713,3,1.2488317426649784,17.27777777777778
IS_2015_2024,SILVER,H1,8,62.5,0.004574552921788211,0.0005718191152235264,1.0012784851063603,2.6786798789704376,2,1.313936887349026,14.25
IS_2015_2024,EURJPY,H1,15,46.666666666666664,-1.6027184739259763,-0.10684789826173176,0.8057583912411729,4.21413291252619,4,1.1478471504107568,8.266666666666667
OOS_2025_2026,GBPJPY,H1,2,0.0,-2.0512319114764215,-1.0256159557382107,0.0,1.0245262267238648,2,1.0299888322003603,14.5
OOS_2025_2026,USDJPY,H1,3,0.0,-3.0368811916918776,-1.0122937305639592,0.0,2.0297385053766144,3,0.9342110582543927,9.0
