symbol,timeframe,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,avg_hold_bars
CHFJPY,H1,8,75.0,4.765666466486527,0.5957083083108159,3.2739407427567726,2.095774255185276,2,1.1263200368539086,13.125
USDJPY,H1,11,54.54545454545454,3.4318637913181713,0.31198761739256103,1.8364357309056873,3.036881191691878,3,1.2123707726095396,15.272727272727273
AUDJPY,H1,8,62.5,3.2632891259434076,0.40791114074292595,2.0588943013688916,2.0503226505350245,2,1.2076616974252046,26.0
XAUUSD,H1,18,55.55555555555556,2.845773071470127,0.1580985039705626,1.3420963846500973,4.09497990454713,3,1.2488317426649784,17.27777777777778
GBPJPY,H1,13,53.84615384615385,2.0730682325579246,0.15946678711984036,1.3363988803064166,3.0827693216892733,3,1.4482518767042822,21.076923076923077
SILVER,H1,8,62.5,0.004574552921788211,0.0005718191152235264,1.0012784851063603,2.6786798789704376,2,1.313936887349026,14.25
EURJPY,H1,15,46.666666666666664,-1.6027184739259763,-0.10684789826173176,0.8057583912411729,4.21413291252619,4,1.1478471504107568,8.266666666666667
