symbol,trades,winrate,total_r,avg_r,pf,max_dd_r,max_losing_streak,research_trades,research_total_r,oos_trades,oos_total_r
USDJPY,4.0,75.0,5.95,1.49,270.22,0.02,1.0,4.0,5.95,0.0,0.0
XAUUSD,4.0,75.0,4.95,1.24,5.91,1.01,1.0,4.0,4.95,0.0,0.0
CHFJPY,4.0,75.0,4.93,1.23,5.91,1.0,1.0,3.0,2.94,1.0,1.99
GBPJPY,3.0,100.0,4.55,1.52,inf,0.0,0.0,2.0,4.0,1.0,0.55
AUDJPY,2.0,100.0,3.99,1.99,inf,0.0,0.0,2.0,3.99,0.0,0.0
EURJPY,1.0,0.0,-1.01,-1.01,0.0,0.0,1.0,1.0,-1.01,0.0,0.0
SILVER,5.0,40.0,-1.01,-0.2,0.68,2.13,3.0,3.0,-3.18,2.0,2.17
