mode,year,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
conservative,2015,34.0,12.0,22.0,35.29,14.0,0.4118,-1.0,1.636,7.0,1.512
conservative,2016,41.0,13.0,28.0,31.71,11.0,0.2683,-1.0,1.393,13.0,2.78
conservative,2017,39.0,13.0,26.0,33.33,13.0,0.3333,-1.0,1.5,11.0,1.2
conservative,2018,44.0,13.0,31.0,29.55,8.0,0.1818,-1.0,1.258,6.0,1.804
conservative,2019,51.0,25.0,26.0,49.02,49.0,0.9608,-1.0,2.885,4.0,1.315
conservative,2020,38.0,13.0,25.0,34.21,14.0,0.3684,-1.0,1.56,7.0,0.998
conservative,2021,32.0,13.0,19.0,40.62,20.0,0.625,-1.0,2.053,6.0,0.896
conservative,2022,40.0,18.0,22.0,45.0,32.0,0.8,-1.0,2.455,6.0,2.178
conservative,2023,36.0,12.0,24.0,33.33,12.0,0.3333,-1.0,1.5,10.0,1.617
conservative,2024,37.0,12.0,25.0,32.43,11.0,0.2973,-1.0,1.44,6.0,1.15
relaxed,2015,99.0,33.0,66.0,33.33,33.0,0.3333,-1.0,1.5,8.0,0.588
relaxed,2016,123.0,47.0,76.0,38.21,65.0,0.5285,-1.0,1.855,12.0,0.997
relaxed,2017,107.0,34.0,73.0,31.78,29.0,0.271,-1.0,1.397,9.0,1.05
relaxed,2018,108.0,21.0,87.0,19.44,-24.0,-0.2222,-1.0,0.724,28.0,0.826
relaxed,2019,123.0,47.0,76.0,38.21,65.0,0.5285,-1.0,1.855,9.0,0.762
relaxed,2020,107.0,37.0,70.0,34.58,41.0,0.3832,-1.0,1.586,15.0,0.755
relaxed,2021,117.0,45.0,72.0,38.46,63.0,0.5385,-1.0,1.875,8.0,0.824
relaxed,2022,109.0,36.0,73.0,33.03,35.0,0.3211,-1.0,1.479,11.0,0.83
relaxed,2023,106.0,31.0,75.0,29.25,18.0,0.1698,-1.0,1.24,12.0,0.841
relaxed,2024,110.0,38.0,72.0,34.55,42.0,0.3818,-1.0,1.583,12.0,0.718
