symbol,mode,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
AUDJPY,conservative,82.0,21.0,61.0,25.61,2.0,0.0244,-1.0,1.033,19.0,1.234
AUDJPY,relaxed,164.0,56.0,108.0,34.15,60.0,0.3659,-1.0,1.556,15.0,0.737
CHFJPY,conservative,60.0,20.0,40.0,33.33,20.0,0.3333,-1.0,1.5,10.0,1.231
CHFJPY,relaxed,77.0,30.0,47.0,38.96,43.0,0.5584,-1.0,1.915,13.0,1.645
EURJPY,conservative,58.0,18.0,40.0,31.03,14.0,0.2414,-1.0,1.35,9.0,2.027
EURJPY,relaxed,145.0,42.0,103.0,28.97,23.0,0.1586,-1.0,1.223,15.0,1.177
GBPJPY,conservative,29.0,15.0,14.0,51.72,31.0,1.069,3.0,3.214,5.0,2.687
GBPJPY,relaxed,252.0,78.0,174.0,30.95,60.0,0.2381,-1.0,1.345,12.0,0.604
SILVER,conservative,41.0,19.0,22.0,46.34,35.0,0.8537,-1.0,2.591,4.0,2.003
SILVER,relaxed,173.0,56.0,117.0,32.37,51.0,0.2948,-1.0,1.436,15.0,0.747
USDJPY,conservative,43.0,16.0,27.0,37.21,21.0,0.4884,-1.0,1.778,8.0,1.306
USDJPY,relaxed,140.0,48.0,92.0,34.29,52.0,0.3714,-1.0,1.565,14.0,0.724
XAUUSD,conservative,79.0,35.0,44.0,44.3,61.0,0.7722,-1.0,2.386,4.0,1.32
XAUUSD,relaxed,158.0,59.0,99.0,37.34,78.0,0.4937,-1.0,1.788,8.0,0.704
