mode,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
conservative,392.0,144.0,248.0,36.73,184.0,0.4694,-1.0,1.742,19.0,1.564
relaxed,1109.0,369.0,740.0,33.27,367.0,0.3309,-1.0,1.496,15.0,0.822
