symbol,trades,wins,losses,win_rate,total_r,avg_r,median_r,profit_factor,max_drawdown_r,avg_hold_days
AUDJPY,246.0,77.0,169.0,31.3,62.0,0.252,-1.0,1.367,19.0,0.903
CHFJPY,137.0,50.0,87.0,36.5,63.0,0.4599,-1.0,1.724,13.0,1.464
EURJPY,203.0,60.0,143.0,29.56,37.0,0.1823,-1.0,1.259,15.0,1.42
GBPJPY,281.0,93.0,188.0,33.1,91.0,0.3238,-1.0,1.484,12.0,0.819
SILVER,214.0,75.0,139.0,35.05,86.0,0.4019,-1.0,1.619,15.0,0.987
USDJPY,183.0,64.0,119.0,34.97,73.0,0.3989,-1.0,1.613,14.0,0.86
XAUUSD,237.0,94.0,143.0,39.66,139.0,0.5865,-1.0,1.972,8.0,0.909
