symbol,mode,year,entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,pnl_r,bars_held
XAUUSD,conservative,2015,2015-02-11 14:00:00,2015-02-12 08:00:00,short,1224.691,1231.6426929031318,1203.835921290605,1231.6426929031318,-6.951692903131743,-1.000000000000009,16
XAUUSD,conservative,2015,2015-03-06 13:00:00,2015-03-10 03:00:00,short,1182.283,1189.4395008221354,1160.8134975335936,1160.8134975335936,21.46950246640631,3.000000000000011,35
XAUUSD,conservative,2015,2015-04-06 07:00:00,2015-04-06 12:00:00,long,1222.186,1216.2924846259255,1239.866546122223,1216.2924846259255,-5.893515374074468,-1.0000000000000082,4
XAUUSD,conservative,2015,2015-04-24 14:00:00,2015-04-27 10:00:00,short,1178.274,1184.2906324281757,1160.224102715472,1184.2906324281757,-6.016632428175853,-0.9999999999999885,18
XAUUSD,conservative,2015,2015-09-24 13:00:00,2015-09-25 03:00:00,long,1152.832,1146.690616441401,1171.2561506757972,1146.690616441401,-6.1413835585990455,-0.9999999999999956,12
XAUUSD,conservative,2015,2015-11-03 10:00:00,2015-11-03 17:00:00,short,1131.718,1135.8881405759744,1119.2075782720772,1119.2075782720772,12.510421727922903,3.000000000000016,6
XAUUSD,conservative,2016,2016-01-26 03:00:00,2016-01-27 19:00:00,long,1112.981,1108.1457604588966,1127.48671862331,1127.48671862331,14.505718623310031,2.9999999999999893,38
XAUUSD,conservative,2016,2016-03-28 00:00:00,2016-03-28 07:00:00,short,1210.889,1217.6952772460231,1190.47016826193,1217.6952772460231,-6.806277246023228,-0.9999999999999882,6
XAUUSD,conservative,2016,2016-04-21 12:00:00,2016-04-21 13:00:00,long,1268.85,1260.3619075912632,1294.3142772262102,1260.3619075912632,-8.488092408736748,-0.9999999999999969,0
XAUUSD,conservative,2016,2016-04-29 01:00:00,2016-05-02 09:00:00,long,1273.921,1265.8337620573666,1298.1827138279004,1298.1827138279004,24.261713827900394,3.000000000000003,30
XAUUSD,conservative,2016,2016-05-24 15:00:00,2016-05-27 02:00:00,short,1230.86,1237.0877673259806,1212.1766980220575,1212.1766980220575,18.683301977942392,3.000000000000004,55
XAUUSD,conservative,2016,2016-06-24 03:00:00,2016-06-24 07:00:00,long,1336.831,1311.9406600965206,1411.502019710438,1311.9406600965206,-24.890339903479344,-1.0,3
XAUUSD,conservative,2016,2016-07-05 22:00:00,2016-07-08 12:00:00,long,1359.449,1350.7298508548581,1385.6064474354257,1350.7298508548581,-8.719149145141955,-1.0000000000000084,59
XAUUSD,conservative,2016,2016-08-25 12:00:00,2016-08-26 02:00:00,short,1319.409,1324.1072989914935,1305.3141030255201,1324.1072989914935,-4.698298991493402,-1.0000000000000147,12
XAUUSD,conservative,2016,2016-10-04 12:00:00,2016-10-04 16:00:00,short,1291.86,1298.5264033166166,1271.86079005015,1271.86079005015,19.999209949849956,2.999999999999986,3
XAUUSD,conservative,2016,2016-11-11 14:00:00,2016-11-23 13:00:00,short,1235.911,1249.967701914633,1193.7408942561015,1193.7408942561015,42.1701057438986,3.0000000000000018,183
XAUUSD,conservative,2017,2017-01-05 15:00:00,2017-01-06 06:00:00,long,1181.329,1174.0427774095067,1203.18766777148,1174.0427774095067,-7.286222590493253,-0.9999999999999911,14
XAUUSD,conservative,2017,2017-02-02 10:00:00,2017-02-02 16:00:00,long,1222.259,1215.839453962366,1241.5176381129022,1215.839453962366,-6.419546037634063,-0.999999999999997,5
XAUUSD,conservative,2017,2017-02-23 13:00:00,2017-02-27 16:00:00,long,1248.468,1243.6603992440914,1262.890802267726,1262.890802267726,14.422802267725956,2.999999999999987,49
XAUUSD,conservative,2017,2017-05-03 19:00:00,2017-05-07 22:00:00,short,1239.568,1245.150214460037,1222.821356619889,1222.821356619889,16.74664338011098,2.9999999999999916,47
XAUUSD,conservative,2017,2017-08-09 12:00:00,2017-08-11 12:00:00,long,1274.839,1269.631668679231,1290.4609939623067,1290.4609939623067,15.62199396230676,3.0000000000000115,45
XAUUSD,conservative,2017,2017-08-28 14:00:00,2017-08-28 22:00:00,long,1303.672,1298.525965850609,1319.1101024481732,1319.1101024481732,15.43810244817314,3.000000000000008,6
XAUUSD,conservative,2017,2017-11-17 17:00:00,2017-11-20 13:00:00,long,1293.399,1288.8026539139905,1307.1880382580277,1288.8026539139905,-4.596346086009362,-1.0000000000000135,18
XAUUSD,conservative,2017,2017-11-27 13:00:00,2017-11-27 14:00:00,long,1298.318,1294.2874715806788,1310.4095852579635,1294.2874715806788,-4.030528419321172,-1.0000000000000084,0
XAUUSD,conservative,2017,2017-12-05 14:00:00,2017-12-07 12:00:00,short,1267.628,1271.9697996953525,1254.6026009139423,1254.6026009139423,13.025399086057632,2.99999999999998,43
XAUUSD,conservative,2018,2018-01-24 08:00:00,2018-01-24 18:00:00,long,1347.019,1342.7121213495539,1359.9396359513382,1359.9396359513382,12.920635951338227,2.9999999999999782,9
XAUUSD,conservative,2018,2018-03-01 12:00:00,2018-03-01 14:00:00,short,1306.491,1310.8493646609056,1293.4159060172829,1310.8493646609056,-4.358364660905636,-0.9999999999999747,1
XAUUSD,conservative,2018,2018-03-23 06:00:00,2018-03-28 10:00:00,long,1342.851,1336.9802927499838,1360.4631217500487,1336.9802927499838,-5.870707250016267,-1.0000000000000089,72
XAUUSD,conservative,2018,2018-04-11 14:00:00,2018-04-11 18:00:00,long,1359.002,1352.5745706681812,1378.284287995456,1352.5745706681812,-6.427429331818757,-1.000000000000012,3
XAUUSD,conservative,2018,2018-05-15 12:00:00,2018-05-21 06:00:00,short,1297.528,1302.232888276837,1283.4133351694893,1283.4133351694893,14.11466483051072,2.9999999999999867,85
XAUUSD,conservative,2018,2018-06-15 14:00:00,2018-06-26 07:00:00,short,1280.479,1286.9907518666105,1260.943744400169,1260.943744400169,19.53525559983109,2.9999999999999853,153
XAUUSD,conservative,2018,2018-07-13 11:00:00,2018-07-13 12:00:00,short,1237.902,1241.9384930230171,1225.7925209309487,1241.9384930230171,-4.036493023017101,-0.9999999999999939,0
XAUUSD,conservative,2018,2018-08-13 07:00:00,2018-08-15 02:00:00,short,1204.468,1209.0490020123293,1190.7249939630124,1190.7249939630124,13.743006036987708,2.999999999999981,40
XAUUSD,conservative,2018,2018-09-27 12:00:00,2018-09-28 15:00:00,short,1187.028,1191.8400742800775,1172.5917771597678,1191.8400742800775,-4.812074280077468,-1.000000000000015,25
XAUUSD,conservative,2018,2018-10-11 14:00:00,2018-10-23 11:00:00,long,1215.888,1208.8163813053332,1237.1028560840002,1237.1028560840002,21.214856084000303,2.999999999999995,180
XAUUSD,conservative,2018,2018-12-04 04:00:00,2018-12-07 19:00:00,long,1236.965,1232.933655299046,1249.0590341028617,1249.0590341028617,12.09403410286177,3.0000000000000226,83
XAUUSD,conservative,2019,2019-02-18 13:00:00,2019-02-19 05:00:00,long,1326.838,1323.3575546972093,1337.2793359083723,1323.3575546972093,-3.480445302790713,-0.9999999999999695,10
XAUUSD,conservative,2019,2019-03-01 16:00:00,2019-03-04 14:00:00,short,1301.328,1307.0390463621502,1284.194860913549,1284.194860913549,17.13313908645091,2.9999999999999933,20
XAUUSD,conservative,2019,2019-04-16 12:00:00,2019-04-23 13:00:00,short,1279.075,1283.1694050723752,1266.7917847828744,1266.7917847828744,12.283215217125644,2.9999999999999893,92
XAUUSD,conservative,2019,2019-05-13 13:00:00,2019-05-16 12:00:00,long,1297.348,1292.1794707342267,1312.8535877973197,1292.1794707342267,-5.168529265773259,-0.999999999999993,67
XAUUSD,conservative,2019,2019-07-18 19:00:00,2019-07-19 11:00:00,long,1445.848,1436.1680618046964,1474.8878145859105,1436.1680618046964,-9.67993819530352,-0.9999999999999994,14
XAUUSD,conservative,2019,2019-08-25 22:00:00,2019-08-26 07:00:00,long,1547.408,1535.444101224253,1583.2996963272403,1535.444101224253,-11.963898775746884,-1.0000000000000047,8
XAUUSD,conservative,2019,2019-09-04 17:00:00,2019-09-05 01:00:00,long,1555.515,1546.7774017514296,1581.727794745712,1546.7774017514296,-8.73759824857052,-0.9999999999999919,6
XAUUSD,conservative,2019,2019-11-07 15:00:00,2019-11-12 15:00:00,short,1469.665,1477.6431233416884,1445.730629974935,1445.730629974935,23.934370025064936,3.000000000000002,68
XAUUSD,conservative,2019,2019-12-24 01:00:00,2019-12-24 15:00:00,long,1487.528,1484.1940128034678,1497.5299615895965,1497.5299615895965,10.001961589596476,2.999999999999987,13
XAUUSD,conservative,2020,2020-02-18 15:00:00,2020-02-20 12:00:00,long,1600.698,1594.8231348548848,1618.3225954353459,1618.3225954353459,17.624595435345782,2.9999999999999836,42
XAUUSD,conservative,2020,2020-09-21 14:00:00,2020-09-21 22:00:00,short,1896.638,1913.6018916309956,1845.7463251070126,1913.6018916309956,-16.963891630995704,-0.9999999999999946,6
XAUUSD,conservative,2020,2020-10-28 14:00:00,2020-10-28 15:00:00,short,1871.778,1882.026721585135,1841.031835244595,1882.026721585135,-10.248721585134945,-0.9999999999999903,0
XAUUSD,conservative,2020,2020-11-23 14:00:00,2020-11-24 11:00:00,short,1841.498,1852.6824374822002,1807.9446875533995,1807.9446875533995,33.55331244660056,3.0000000000000067,19
XAUUSD,conservative,2020,2020-12-17 13:00:00,2020-12-21 10:00:00,long,1887.775,1875.604808717636,1924.2855738470926,1875.604808717636,-12.170191282364158,-0.999999999999998,42
XAUUSD,conservative,2021,2021-01-03 23:00:00,2021-01-04 13:00:00,long,1913.025,1904.0991017782412,1939.802694665277,1939.802694665277,26.77769466527684,3.0000000000000004,13
XAUUSD,conservative,2021,2021-02-04 14:00:00,2021-02-05 07:00:00,short,1785.738,1799.511310901729,1744.4180672948132,1799.511310901729,-13.773310901729019,-1.0000000000000042,15
XAUUSD,conservative,2021,2021-06-29 12:00:00,2021-06-29 16:00:00,short,1754.678,1765.700972345876,1721.6090829623727,1765.700972345876,-11.022972345875814,-0.9999999999999983,3
XAUUSD,conservative,2021,2021-08-06 12:00:00,2021-08-08 22:00:00,short,1776.348,1785.6637664712696,1748.400700586191,1748.400700586191,27.947299413808878,2.999999999999992,8
XAUUSD,conservative,2021,2021-09-16 11:00:00,2021-09-16 13:00:00,short,1771.207,1779.1807886613146,1747.2856340160565,1747.2856340160565,23.921365983943588,2.999999999999997,1
XAUUSD,conservative,2021,2021-10-22 12:00:00,2021-10-22 15:00:00,long,1805.728,1797.2599975013318,1831.1320074960054,1797.2599975013318,-8.468002498668284,-0.9999999999999866,2
XAUUSD,conservative,2021,2021-11-05 16:00:00,2021-11-10 13:00:00,long,1813.898,1802.9458892656642,1846.7543322030072,1846.7543322030072,32.85633220300724,3.000000000000005,64
XAUUSD,conservative,2022,2022-01-19 15:00:00,2022-01-21 08:00:00,long,1838.168,1829.5146765787274,1864.1279702638171,1829.5146765787274,-8.65332342127249,-1.0000000000000069,38
XAUUSD,conservative,2022,2022-02-11 18:00:00,2022-02-15 12:00:00,long,1857.108,1846.356660410045,1889.3620187698648,1846.356660410045,-10.751339589955023,-1.0000000000000058,39
XAUUSD,conservative,2022,2022-03-06 23:00:00,2022-03-07 13:00:00,long,1988.608,1972.6337282991042,2036.5308151026875,1972.6337282991042,-15.97427170089577,-0.9999999999999939,13
XAUUSD,conservative,2022,2022-05-10 14:00:00,2022-05-12 22:00:00,short,1849.802,1862.1724017498486,1812.6907947504537,1812.6907947504537,37.111205249546174,2.999999999999993,52
XAUUSD,conservative,2022,2022-06-14 18:00:00,2022-06-15 02:00:00,short,1807.156,1818.1379770571402,1774.2100688285789,1818.1379770571402,-10.981977057140284,-0.9999999999999919,6
XAUUSD,conservative,2022,2022-09-15 04:00:00,2022-09-15 14:00:00,short,1687.314,1694.5077940005879,1665.7326179982365,1665.7326179982365,21.581382001763586,2.9999999999999885,9
XAUUSD,conservative,2022,2022-11-08 15:00:00,2022-11-10 15:00:00,long,1712.907,1700.4765267847015,1750.1984196458952,1750.1984196458952,37.2914196458953,3.000000000000009,45
