trigger_type,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_dd_pct_compounded,max_loss_streak
stagnation,10,70.0,10.840977395337944,1.0840977395337945,4.529257409939473,1.0095537465510678,2.051564515849948,2
rebreak,16,50.0,9.532196967802822,0.5957623104876764,2.5024563766614736,1.0338295170054188,1.2829979855143232,2
stagnation+rebreak,8,75.0,8.822750466365033,1.1028438082956291,5.383170031039391,1.0058690547755362,1.007000718444935,1
