exit_time,strategy,symbol,r,equity,drawdown_pct
2015-03-30 08:00:00,H4 T5 MACD BB,AUDJPY,-1.0070007184449363,989929.9928155506,1.007000718444935
2015-08-21 00:00:00,H4 T5 MACD BB,XAUUSD,1.9885516782133612,1009615.2623008217,0.0
2015-11-02 12:00:00,H4 T5 MACD BB,SILVER,-1.0539842287562833,998974.0766650547,1.0539842287562853
2015-12-09 12:00:00,H4 T5 MACD BB,USDJPY,-1.008206625924178,988902.3538328527,2.0515645158499485
2016-04-06 12:00:00,H4 T5 MACD BB,XAUUSD,-0.2799700689991615,986133.7232304926,2.325790818258518
2016-04-29 00:00:00,H4 T5 MACD BB,USDJPY,-1.0058439785960611,976214.7565544734,3.308240969954393
2016-06-01 08:00:00,H4 T5 MACD BB,GBPJPY,-1.0058690547755362,966395.3144101397,4.280833452555747
2016-09-01 08:00:00,H4 T5 MACD BB,GBPJPY,1.9905817824836056,985632.2034855632,2.375465160917173
2016-11-09 00:00:00,H4 T5 MACD BB,AUDJPY,1.9931960788653929,1005277.785917472,0.42961676049399516
2016-12-14 20:00:00,H4 T5 MACD BB,CHFJPY,1.967242845610372,1025054.0412394437,0.0
2016-12-15 00:00:00,H4 T5 MACD BB,USDJPY,1.9955860830491468,1045509.877030151,0.0
2017-06-06 08:00:00,H4 T5 MACD BB,XAUUSD,1.9738994771930056,1066147.1910268504,0.0
2017-08-17 16:00:00,H4 T5 MACD BB,GBPJPY,-1.011724848895423,1055360.7149694313,1.0117248488954127
2018-12-10 04:00:00,H4 T5 MACD BB,USDJPY,-0.022104668109996,1055127.430986024,1.0336058785853772
2019-02-08 00:00:00,H4 T5 MACD BB,EURJPY,-1.0095537465510678,1044475.3524756165,2.032724818264618
2019-03-01 08:00:00,H4 T5 MACD BB,USDJPY,1.9914847902310684,1065275.9202578806,0.08172143361655614
2019-06-03 16:00:00,H4 T5 MACD BB,XAUUSD,1.9800106706938685,1086368.497151319,0.0
2019-06-30 20:00:00,H4 T5 MACD BB,CHFJPY,1.9792038855796523,1107869.9446586512,0.0
2020-02-28 00:00:00,H4 T5 MACD BB,GBPJPY,-1.0086437763522806,1096695.4834117743,1.008643776352284
2020-07-31 08:00:00,H4 T5 MACD BB,GBPJPY,2.0083771993652144,1118721.2654470846,0.0
2021-02-04 12:00:00,H4 T5 MACD BB,XAUUSD,-1.0072534745502764,1107452.906630336,1.007253474550268
2021-02-19 12:00:00,H4 T5 MACD BB,AUDJPY,1.992124069180496,1129514.742538158,0.0
2021-10-15 00:00:00,H4 T5 MACD BB,GBPJPY,1.978402860216248,1151861.094511097,0.0
2022-06-08 04:00:00,H4 T5 MACD BB,GBPJPY,1.984922325477553,1174724.642534538,0.0
2022-08-01 20:00:00,H4 T5 MACD BB,GBPJPY,-1.0048496137633531,1162920.4265012469,1.0048496137633391
2022-09-07 00:00:00,H4 T5 MACD BB,EURJPY,1.9823190982001504,1185973.2202126516,0.0
2022-09-14 08:00:00,H4 T5 MACD BB,AUDJPY,0.8830285519156242,1196445.7023652026,0.0
2022-10-14 12:00:00,H4 T5 MACD BB,USDJPY,1.993428195911128,1220295.9883449175,0.0
2023-04-28 12:00:00,H4 T5 MACD BB,CHFJPY,1.995794151543929,1244650.5843118308,0.0
2023-10-31 12:00:00,H4 T5 MACD BB,USDJPY,1.9866929526231991,1269377.9697551373,0.0
2024-04-15 04:00:00,H4 T5 MACD BB,USDJPY,1.9842141900145391,1294565.147555937,0.0
2024-06-27 20:00:00,H4 T5 MACD BB,GBPJPY,1.9824369061068663,1320229.0848146828,0.0
2024-09-12 12:00:00,H4 T5 MACD BB,CHFJPY,-1.0040180446645146,1306973.7465722342,1.0040180446645175
2024-09-23 00:00:00,H4 T5 MACD BB,XAUUSD,1.9934498854144456,1333027.6132256754,0.0
