strategy,symbol,direction,signal_time,entry_time,exit_time,entry,exit,r,exit_reason,trigger_type
H4 T5 MACD BB,AUDJPY,long,2015-03-23 00:00:00,2015-03-23 04:00:00,2015-03-30 08:00:00,93.684,91.89846897224812,-1.0070007184449363,SL,stagnation+rebreak
H4 T5 MACD BB,XAUUSD,long,2015-07-27 04:00:00,2015-07-27 08:00:00,2015-08-21 00:00:00,1103.801,1160.7765787686,1.9885516782133612,TP,stagnation+rebreak
H4 T5 MACD BB,SILVER,long,2015-10-12 04:00:00,2015-10-12 08:00:00,2015-11-02 12:00:00,15.994,15.345662498356496,-1.0539842287562833,SL,stagnation
H4 T5 MACD BB,USDJPY,long,2015-12-07 08:00:00,2015-12-07 12:00:00,2015-12-09 12:00:00,123.446,122.22747242333423,-1.008206625924178,SL,stagnation
H4 T5 MACD BB,XAUUSD,long,2016-02-24 08:00:00,2016-02-24 12:00:00,2016-04-06 12:00:00,1236.848,1226.762,-0.2799700689991615,max_hold,rebreak
H4 T5 MACD BB,USDJPY,long,2016-04-19 08:00:00,2016-04-19 12:00:00,2016-04-29 00:00:00,109.452,107.74083699082486,-1.0058439785960611,SL,rebreak
H4 T5 MACD BB,GBPJPY,long,2016-05-25 04:00:00,2016-05-25 08:00:00,2016-06-01 08:00:00,161.25,157.8422962444742,-1.0058690547755362,SL,stagnation+rebreak
H4 T5 MACD BB,GBPJPY,long,2016-08-23 20:00:00,2016-08-24 00:00:00,2016-09-01 08:00:00,132.33,136.57708814914676,1.9905817824836056,TP,stagnation+rebreak
H4 T5 MACD BB,AUDJPY,long,2016-10-03 20:00:00,2016-10-04 00:00:00,2016-11-09 00:00:00,78.242,81.91635181939692,1.9931960788653929,TP,stagnation
H4 T5 MACD BB,CHFJPY,long,2016-11-30 08:00:00,2016-11-30 12:00:00,2016-12-14 20:00:00,111.66,114.68276822310398,1.967242845610372,TP,rebreak
H4 T5 MACD BB,USDJPY,long,2016-12-07 04:00:00,2016-12-07 08:00:00,2016-12-15 00:00:00,114.341,117.51578600228244,1.9955860830491468,TP,stagnation
H4 T5 MACD BB,XAUUSD,long,2017-05-26 04:00:00,2017-05-26 08:00:00,2017-06-06 08:00:00,1261.311,1290.1723102294911,1.9738994771930056,TP,rebreak
H4 T5 MACD BB,GBPJPY,long,2017-08-15 00:00:00,2017-08-15 04:00:00,2017-08-17 16:00:00,142.83,141.12422108733622,-1.011724848895423,SL,rebreak
H4 T5 MACD BB,USDJPY,long,2018-10-30 00:00:00,2018-10-30 04:00:00,2018-12-10 04:00:00,112.659,112.639,-0.022104668109996,max_hold,rebreak
H4 T5 MACD BB,USDJPY,long,2019-02-04 00:00:00,2019-02-04 04:00:00,2019-03-01 08:00:00,109.615,111.96373838022797,1.9914847902310684,TP,stagnation
H4 T5 MACD BB,EURJPY,long,2019-02-04 04:00:00,2019-02-04 08:00:00,2019-02-08 00:00:00,125.61,124.30161276854348,-1.0095537465510678,SL,stagnation
H4 T5 MACD BB,XAUUSD,long,2019-05-05 20:00:00,2019-05-06 00:00:00,2019-06-03 16:00:00,1284.158,1322.1482851411877,1.9800106706938685,TP,rebreak
H4 T5 MACD BB,CHFJPY,long,2019-06-03 16:00:00,2019-06-03 20:00:00,2019-06-30 20:00:00,108.814,110.73743623388046,1.9792038855796523,TP,rebreak
