symbol,rows_h1,first,last
EURJPY,75173,2014-01-01 23:00:00,2026-05-22 20:00:00
USDJPY,75959,2014-01-01 22:00:00,2026-05-22 20:00:00
AUDJPY,73952,2014-01-01 22:00:00,2026-05-22 20:00:00
CHFJPY,76982,2014-01-01 22:00:00,2026-05-22 20:00:00
GBPJPY,75097,2014-01-01 23:00:00,2026-05-19 23:00:00
XAUUSD,70409,2014-01-01 23:00:00,2026-05-22 20:00:00
SILVER,70217,2014-01-01 23:00:00,2026-05-22 20:00:00
