year,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
2023,88,51.13636363636363,20.221525732734808,0.22979006514471373,1.4516825850934871,6.130445422712212,6,51.13636363636363
2025,47,51.06382978723404,11.591955231748193,0.24663734535634452,1.4994639858533667,8.916118092681806,6,51.06382978723404
2017,74,48.64864864864865,8.38462402737525,0.11330573009966553,1.2043925476899298,10.526228549154492,8,47.2972972972973
2026,35,45.714285714285715,2.3588014504838246,0.0673943271566807,1.1266221908077205,5.989513408368957,4,40.0
2016,88,43.18181818181818,0.12410032168081875,0.0014102309281911222,1.002322301808136,11.127085543787468,4,42.04545454545455
2022,88,42.04545454545455,-0.06499396576564997,-0.000738567792791477,0.9987631384433152,14.070602467611197,4,40.909090909090914
2014,98,42.857142857142854,-1.1798302176712772,-0.012039083853788542,0.9801071458157408,15.553829278385852,6,41.83673469387755
2018,110,43.63636363636363,-1.8262217442663033,-0.016602015856966395,0.9730345952304231,12.670574954689009,7,41.81818181818181
2024,79,40.50632911392405,-2.117644638105566,-0.026805628330450203,0.9565484821376593,10.258748638935112,4,40.50632911392405
2019,81,40.74074074074074,-8.072200966701308,-0.09965680205804084,0.8464493749111777,12.45790773277116,7,39.50617283950617
2020,101,36.633663366336634,-13.959820309378975,-0.13821604266711857,0.7911807769896835,20.467782851553473,10,36.633663366336634
2015,122,38.52459016393443,-13.975440247737614,-0.11455278891588208,0.8264358798189584,17.473820561148997,7,38.52459016393443
2021,87,29.88505747126437,-28.02189378374813,-0.32209073314653025,0.5629562696777962,33.39001676800353,13,28.735632183908045
