symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_i,entry_time,entry,target_model,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,712,2014-02-13 03:00:00,short,139.06,139.88,138.66,139.48,5.601042001270135,0.6721311475409787,0.5121951219512085,5,6,1.2,6,139.43,139.12,1.4232155904866852,0.27546108202968944,0.8333333333333807,True,1,0,H4順,139.52356332267186,692-697-703,713,2014-02-13 04:00:00,139.06,fixed_1_5R,138.3646550159922,1.5,718,2014-02-13 09:00:00,139.52356332267186,SL,5,0.4635633226718596,-1.0,-1.026965032366974,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,1064,2014-03-06 01:00:00,long,140.7,140.17,140.76,140.39,3.333394318969576,0.6271186440678007,0.8378378378378337,3,11,3.6666666666666665,2,140.67,140.39,1.5819498462906434,0.16949462638828897,0.44827586206891823,True,1,0,H4順,140.3546006476556,1045-1048-1059,1065,2014-03-06 02:00:00,140.69,fixed_1_5R,141.1930990285166,1.4999999999999576,1075,2014-03-06 12:00:00,141.1930990285166,TP,10,0.3353993523444103,1.4999999999999576,1.462730995415975,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,1136,2014-03-11 02:00:00,long,143.39,142.84,143.59,143.06,4.494153733172847,0.7066666666666682,0.6226415094339309,2,5,2.5,9,143.35,143.08,1.617895343942116,0.23968819910250416,0.46153846153827655,True,1,0,H4順,143.02662330465182,1117-1119-1124,1137,2014-03-11 03:00:00,143.39,fixed_1_5R,143.93506504302223,1.5,1141,2014-03-11 07:00:00,143.02662330465182,SL,4,0.3633766953481654,-1.0,-1.0343995643089106,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,1235,2014-03-17 06:00:00,long,141.3,140.43,141.48,140.79,4.209793582136703,0.6571428571428657,0.7391304347826392,2,5,2.5,7,141.25,140.87,1.5235443440113847,0.20046636105417753,0.7727272727273491,True,0,1,H4逆,140.7401163190302,1218-1220-1225,1236,2014-03-17 07:00:00,141.29,fixed_1_5R,142.1148255214547,1.5,1263,2014-03-18 10:00:00,140.7401163190302,SL,27,0.5498836809697991,-1.0,-1.0227320803155007,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,1851,2014-04-22 05:00:00,short,141.43,141.8,141.39,141.67,4.256913965034688,0.6829268292682538,0.8571428571427846,6,9,1.5,2,141.67,141.5,1.7650618879409745,0.7267901891521485,0.9444444444443392,True,0,1,H4逆,141.6892627806607,1831-1837-1846,1852,2014-04-22 06:00:00,141.42,fixed_1_5R,141.01610582900892,1.5,1856,2014-04-22 10:00:00,141.6892627806607,SL,4,0.26926278066071063,-1.0,-1.0464230517463886,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2296,2014-05-19 02:00:00,long,139.24,138.77,139.33,138.93,3.747414294743222,0.7142857142857215,0.7749999999999947,3,5,1.6666666666666667,3,139.18,138.93,1.6729528101532172,0.40150867443678734,0.9230769230769903,True,0,1,H4逆,138.90011272541787,2282-2285-2290,2297,2014-05-19 03:00:00,139.23,fixed_1_5R,139.72483091187317,1.5,2300,2014-05-19 06:00:00,138.90011272541787,SL,3,0.32988727458211997,-1.0,-1.037891731397711,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2460,2014-05-28 00:00:00,short,138.96,139.21,138.9,139.09,2.9125151170554657,0.6129032258064397,0.6842105263157737,3,8,2.6666666666666665,0,139.09,138.97,1.1274252066021502,0.09395210055009018,0.35294117647062756,True,1,0,H4順,139.1112874431576,2446-2449-2457,2461,2014-05-28 01:00:00,138.97,fixed_1_5R,138.7580688352636,1.4999999999998994,2467,2014-05-28 07:00:00,138.7580688352636,TP,6,0.14128744315760855,1.4999999999998994,1.4115278773495896,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2813,2014-06-17 23:00:00,long,138.43,138.26,138.48,138.29,2.4290173012014575,0.8636363636363578,0.7368421052632445,2,3,1.5,3,138.4,138.29,1.2145086506008858,0.3312296319820312,0.42857142857148656,True,0,1,H4逆,138.27188567863297,2802-2804-2807,2814,2014-06-18 00:00:00,138.42,fixed_1_5R,138.64217148205051,1.5,2823,2014-06-18 09:00:00,138.64217148205051,TP,9,0.14811432136701796,1.5,1.415605730191246,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2938,2014-06-25 06:00:00,long,138.74,138.44,138.89,138.55,4.573613841586828,0.755555555555519,0.5588235294117991,13,11,0.8461538461538461,2,138.7,138.55,1.5245379471954166,0.406543452585714,0.6666666666666666,True,0,1,H4逆,138.5303219066766,2909-2922-2933,2939,2014-06-25 07:00:00,138.75,fixed_1_5R,139.07951713998511,1.5,2964,2014-06-26 08:00:00,138.5303219066766,SL,25,0.21967809332340948,-1.0,-1.0569014406984412,IS_2014_2024,2014
EURJPY,H1,base,H1 WaveBox base cross-symbol,8,2.0,2980,2014-06-27 00:00:00,short,138.26,138.79,137.92,138.48,7.80590367000026,0.6436781609195394,0.39285714285713924,7,7,1.0,1,138.48,138.3,1.6150145524136448,0.3588921227588144,0.46666666666679296,True,1,0,H4順,138.50229082081407,2962-2969-2976,2981,2014-06-27 01:00:00,138.27,fixed_1_5R,137.92156376877892,1.5,3015,2014-06-30 13:00:00,138.50229082081407,SL,34,0.2322908208140575,-1.0,-1.0538118551399607,IS_2014_2024,2014
