symbol,direction,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,tp_rate
USDJPY,long,71,53.52112676056338,20.057054151110144,0.28249372043817106,1.5854095554759549,7.4425152283276805,5,52.112676056338024
GBPJPY,long,81,45.67901234567901,8.87341009395696,0.10954827276490073,1.1970890029637449,6.579003663942453,5,45.67901234567901
SILVER,short,98,51.02040816326531,6.8603338777313905,0.07000340691562644,1.1187679791817378,11.07618338470646,4,51.02040816326531
USDJPY,short,74,43.24324324324324,4.368837535327505,0.05903834507199331,1.1026808016190857,11.304094073470555,8,43.24324324324324
XAUUSD,long,85,43.529411764705884,3.3180691747521305,0.03903610793826036,1.0661163566283185,6.037976082748216,5,43.529411764705884
XAUUSD,short,95,43.15789473684211,2.831292857652138,0.029803082712127768,1.0511501554740694,14.024289910166871,11,42.10526315789473
EURJPY,short,65,43.07692307692308,2.6719961178498055,0.0411076325823047,1.0697112122951327,8.47646368377749,6,43.07692307692308
AUDJPY,long,69,43.47826086956522,1.1885545513912292,0.017225428281032306,1.0300290126302174,6.491755046556173,4,39.130434782608695
EURJPY,long,81,39.50617283950617,-4.5667995409598126,-0.05638024124641744,0.9099533324388166,11.908717989932054,5,38.2716049382716
CHFJPY,long,85,40.0,-7.128093747026637,-0.0838599264356075,0.86589803367152,18.155368812830446,7,36.470588235294116
CHFJPY,short,70,34.285714285714285,-12.267111483937088,-0.17524444977052983,0.7353916132788372,19.48849469748361,9,32.857142857142854
AUDJPY,short,61,31.147540983606557,-13.159412750854301,-0.2157280778828574,0.6785468843852355,16.81701679272649,8,31.147540983606557
SILVER,long,92,41.30434782608695,-17.964025261517587,-0.1952611441469303,0.7317078234649166,24.688927200902977,10,41.30434782608695
GBPJPY,short,71,29.577464788732392,-21.621144684827797,-0.3045231645750394,0.5864172618174721,30.65295403777923,9,29.577464788732392
