spec,candidate,month,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-01,3,33.33333333333333,-0.020354006626436494,-0.006784668875478832,0.9898716675735029,1.0029618275683483,2
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-03,3,33.33333333333333,-0.8235295866091839,-0.2745098622030613,0.593955029811447,1.0234003210805398,1
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-04,1,100.0,0.07851650148486389,0.07851650148486389,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-05,2,50.0,0.3879023864298137,0.19395119321490684,1.386570527358567,1.0034453197463018,1
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-06,2,100.0,3.277699519350941,1.6388497596754705,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-07,1,100.0,0.3936709866206632,0.3936709866206632,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-08,1,100.0,1.990450799977167,1.990450799977167,inf,0.0,0
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-10,2,50.0,0.9854783119111838,0.4927391559555919,1.978645246562752,0.0,1
REC10_T5_STAG_OR_REBREAK,Current_060_110,2025-11,2,50.0,-0.3014171567943791,-0.15070857839718954,0.701765607881109,1.0106720242855802,1
REC10_T5_STAG_OR_REBREAK,Current_060_110,2026-01,2,50.0,0.9873223907962128,0.4936611953981064,1.977546595911611,0.0,1
REC10_T5_STAG_OR_REBREAK,Current_060_110,2026-02,2,50.0,-0.45226084779298836,-0.22613042389649418,0.5507594097864523,0.0,1
REC10_T5_STAG_OR_REBREAK,Current_060_110,2026-03,2,50.0,-0.7889706669368113,-0.39448533346840564,0.21452393600404532,1.0044490253758702,1
REC10_T5_STAG_OR_REBREAK,Current_060_110,2026-04,1,0.0,-1.005824042064217,-1.005824042064217,0.0,0.0,1
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-01,3,33.33333333333333,-0.020354006626436494,-0.006784668875478832,0.9898716675735029,1.0029618275683483,2
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,2025-03,3,33.33333333333333,-0.8235295866091839,-0.2745098622030613,0.593955029811447,1.0234003210805398,1
