spec,candidate,trigger_type,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
REC10_T5_STAG_OR_REBREAK,Current_060_110,rebreak,16,62.5,7.076967342958461,0.44231045893490384,2.1710843350295153,2.020672360766201,2
REC10_T5_STAG_OR_REBREAK,Current_060_110,stagnation,6,50.0,-0.3414371123847908,-0.056906185397465135,0.8867893468979187,2.011172054517126,2
REC10_T5_STAG_OR_REBREAK,Current_060_110,stagnation+rebreak,2,0.0,-2.0268456408268416,-1.0134228204134208,0.0,1.0034453197463018,2
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,rebreak,13,61.53846153846154,5.692955796881664,0.4379196766832049,2.1304278331221282,2.2565558630430926,2
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,stagnation,5,60.0,0.6652859167564651,0.13305718335129302,1.3311161730531762,1.0044490253758702,1
REC10_T5_STAG_OR_REBREAK,Robust_075_105_width7,stagnation+rebreak,1,0.0,-1.0234003210805398,-1.0234003210805398,0.0,0.0,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,rebreak,10,70.0,5.71345748119875,0.571345748119875,2.889905159687712,1.2465555265624708,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,stagnation,4,50.0,0.5867694152716012,0.1466923538179003,1.292038112270012,1.0044490253758702,1
REC10_T5_STAG_OR_REBREAK,Strict_075_100_width7,stagnation+rebreak,1,0.0,-1.0234003210805398,-1.0234003210805398,0.0,0.0,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,rebreak,19,63.1578947368421,10.918171208282034,0.5746405899095808,2.763316125691462,2.0162025134292705,2
REC15_T5_STAG_OR_REBREAK,Current_060_110,stagnation,6,66.66666666666666,1.6445268999213252,0.2740878166535542,1.8175640687934307,1.0067230291412559,1
REC15_T5_STAG_OR_REBREAK,Current_060_110,stagnation+rebreak,2,0.0,-2.0268456408268416,-1.0134228204134208,0.0,1.0034453197463018,2
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,rebreak,15,60.0,7.536126679497638,0.5024084452998425,2.4534876394426,2.0162025134292705,2
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,stagnation,5,80.0,2.651249929062581,0.5302499858125163,3.6386555551750317,0.0,1
REC15_T5_STAG_OR_REBREAK,Robust_075_105_width7,stagnation+rebreak,1,0.0,-1.0234003210805398,-1.0234003210805398,0.0,0.0,1
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,rebreak,11,63.63636363636363,5.564706954151088,0.5058824503773717,2.7543789730908363,2.0162025134292705,2
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,stagnation,4,75.0,2.572733427577717,0.6431833568944293,3.5605120348132235,0.0,1
REC15_T5_STAG_OR_REBREAK,Strict_075_100_width7,stagnation+rebreak,1,0.0,-1.0234003210805398,-1.0234003210805398,0.0,0.0,1
