symbol,trigger,adx,bb_width,bb_pos,macd,atr,recovery,case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,score
gbp_aud,any,30_40,any,any,any,any,any,grid,,10,70.0,11.667339566706142,1.166733956670614,21.790289410513136,0.393979504583859,2,10,70.0,11.667339566706142,1.166733956670614,21.790289410513136,0.393979504583859,2,0,0.0,0.0,0.0,,0.0,0,20.42221344914244
gbp_aud,not_combo,30_40,any,any,any,any,any,grid,,8,75.0,9.801783824965995,1.2252229781207493,24.10803099605796,0.25695989986948575,1,8,75.0,9.801783824965995,1.2252229781207493,24.10803099605796,0.25695989986948575,1,0,0.0,0.0,0.0,,0.0,0,18.876506735595843
gbp_aud,any,ge25,any,any,any,any,any,grid,,25,48.0,11.448193814712857,0.45792775258851426,2.4547842528736257,4.210648216499401,5,22,50.0,12.461743017329237,0.5664428644240562,2.8587788005843016,3.197099013883019,5,3,33.33333333333333,-1.013549202616381,-0.33784973420546033,0.13005872547790912,1.1650777268536687,2,15.350487187229174
gbp_only,any,ge25,any,any,any,any,any,grid,,13,61.53846153846154,8.296977356354839,0.6382290274119107,3.712495811275999,1.7374487330652002,2,11,63.63636363636363,8.772796334909659,0.7975269395372417,4.608050237960789,1.2616297545103805,2,2,50.0,-0.4758189785548198,-0.2379094892774099,0.24153841939736184,0.6273475027921075,1,14.853128558077351
gbp_only,any,any,any,any,any,any,gt16,grid,,14,57.14285714285714,8.560655896583302,0.6114754211845216,3.0799393905968,2.0175331103144574,2,12,58.333333333333336,9.036474875138122,0.7530395729281768,3.59038166096208,2.0175331103144574,2,2,50.0,-0.4758189785548198,-0.2379094892774099,0.24153841939736184,0.6273475027921075,1,14.29446577103982
all,any,ge25,7_10,0_025,any,any,any,grid,,13,53.84615384615385,8.685367351923523,0.6681051809171941,3.7539331129056586,1.7982987088920037,2,13,53.84615384615385,8.685367351923523,0.6681051809171941,3.7539331129056586,1.7982987088920037,2,0,0.0,0.0,0.0,,0.0,0,13.42016662763675
all,rebreak,ge25,7_10,0_025,any,any,any,grid,,11,54.54545454545454,7.68756188913682,0.6988692626488018,4.57721597939473,1.7982987088920037,2,11,54.54545454545454,7.68756188913682,0.6988692626488018,4.57721597939473,1.7982987088920037,2,0,0.0,0.0,0.0,,0.0,0,13.399464439997157
gbp_aud,not_combo,ge25,any,any,any,any,any,grid,,23,47.82608695652174,9.582638072972708,0.4166364379553351,2.239296351244353,4.073628611785027,4,20,50.0,10.59618727558909,0.5298093637794545,2.6134907298009153,3.0600794091686456,4,3,33.33333333333333,-1.013549202616381,-0.33784973420546033,0.13005872547790912,1.1650777268536687,2,13.090390891636732
all,any,ge25,7_10,any,any,any,any,grid,,16,56.25,8.097314999316147,0.5060821874572592,2.947770251006745,2.650188280372447,2,14,57.14285714285714,8.94920457079659,0.6392288979140421,3.8375899145158483,1.7982987088920037,2,2,50.0,-0.8518895714804433,-0.42594478574022165,0.1510123495718915,1.003418095717731,1,13.045458531534699
gbp_aud,rebreak,any,any,any,neg008_neg005,any,any,grid,,8,75.0,6.590866293750186,0.8238582867187733,4.2696957226865155,1.008187552265965,1,8,75.0,6.590866293750186,0.8238582867187733,4.2696957226865155,1.008187552265965,1,0,0.0,0.0,0.0,,0.0,0,12.778215939577375
