symbol,timeframe,signal_time,direction,entry_mode,grade,risk_weight,score,reasons,trigger_level,a_level,b_level,trendline,trendline_slope_atr,retrace,stop,target_half,signal_body_ratio,pivots,entry_time,entry,target,planned_rr,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,weighted_r_after_cost,sample
USDJPY,M15,2025-02-10 23:30:00,short,B_confirmed,normal,1.0,9.0,"A抜け,B抜け,半値以上の戻し,右肩維持,実体ブレイク,調整安値切上げ",151.872,151.917,151.872,152.04825,0.2140556816605639,0.6508875739645055,152.0206257381446,151.669,0.7830188679245536,2653-2664-2679-2688-2691-2692,2025-02-10 23:45:00,151.861,151.669,1.2028135451818829,2025-02-11 01:30:00,152.0206257381446,SL,7,0.15962573814459802,-1.0,-1.0626465388115063,-1.0626465388115063,OOS_2025_2026
USDJPY,M15,2025-03-24 23:30:00,long,B_confirmed,half,0.5,5.5,"A抜け,B抜け,押し過不足,右肩維持,実体ブレイク,EMA100上向き,調整高値切下げ",150.761,150.638,150.761,150.2568571428572,-0.21653232178899362,0.21219319081552304,150.4706938060475,151.11749999999998,0.4675324675324963,5535-5556-5561-5563-5567-5582,2025-03-24 23:45:00,150.781,151.11749999999998,1.0844127721520216,2025-03-25 05:30:00,150.4706938060475,SL,23,0.31030619395249914,-1.0,-1.032226233942084,-0.516113116971042,OOS_2025_2026
USDJPY,H1,2025-04-04 11:00:00,short,A_early,normal,1.0,7.5,"斜め抜け,A抜け,B抜け,戻し過不足,右肩維持,実体ブレイク,EMA100下向き,調整安値切上げ",145.539,145.539,145.298,146.01366666666664,0.07479800501464993,0.23052254291643176,146.51076633841453,143.7545,0.846556886227537,1569-1586-1592-1595-1597-1602,2025-04-04 12:00:00,145.211,143.7545,1.1205860291601941,2025-04-04 17:00:00,146.51076633841453,SL,5,1.2997663384145142,-1.0,-1.0076936905537877,-1.0076936905537877,OOS_2025_2026
USDJPY,H1,2025-04-04 11:00:00,short,B_confirmed,normal,1.0,7.5,"斜め抜け,A抜け,B抜け,戻し過不足,右肩維持,実体ブレイク,EMA100下向き,調整安値切上げ",145.298,145.539,145.298,146.01366666666664,0.07479800501464993,0.23052254291643176,146.51076633841453,143.7545,0.846556886227537,1569-1586-1592-1595-1597-1602,2025-04-04 12:00:00,145.211,143.7545,1.1205860291601941,2025-04-04 17:00:00,146.51076633841453,SL,5,1.2997663384145142,-1.0,-1.0076936905537877,-1.0076936905537877,OOS_2025_2026
USDJPY,M15,2025-04-21 08:45:00,short,A_early,half,0.5,5.5,"斜め抜け,A抜け,戻し過不足,右肩維持,実体ブレイク,EMA100下向き,調整安値切上げ",140.617,140.617,140.546,140.61869230769227,0.0011275185972969563,0.19220607661823008,140.93328933326927,140.149,0.7581699346406552,7406-7425-7432-7438-7442-7446,2025-04-21 09:00:00,140.575,140.149,1.188983205592153,2025-04-21 10:45:00,140.93328933326927,SL,7,0.35828933326928336,-1.0,-1.0279104038871152,-0.5139552019435576,OOS_2025_2026
USDJPY,M30,2025-05-05 06:30:00,long,B_confirmed,half,0.5,6.5,"B抜け,半値以上の押し,実体ブレイク,EMA100上向き,調整高値切下げ",144.347,144.989,144.347,144.799,-0.05561019998225778,0.7516580692704574,144.02129200756772,144.7425,0.5741626794257143,4174-4183-4189-4191-4200-4202,2025-05-05 07:00:00,144.362,144.7425,1.1167921165678278,2025-05-05 09:00:00,144.02129200756772,SL,4,0.34070799243227157,-1.0,-1.0293506469531348,-0.5146753234765674,OOS_2025_2026
USDJPY,M5,2025-05-05 23:20:00,short,A_early,half,0.5,5.5,"斜め抜け,A抜け,戻し過不足,右肩維持,実体ブレイク,EMA100下向き,調整安値切上げ",143.669,143.669,143.627,143.7046363636364,0.03127504438314004,0.20000000000001183,143.7591389318406,143.51100000000002,0.9541984732824411,25306-25330-25335-25341-25352-25353,2025-05-05 23:25:00,143.64,143.51100000000002,1.0827694860698045,2025-05-06 00:10:00,143.7591389318406,SL,9,0.11913893184060953,-1.0,-1.0839356190751268,-0.5419678095375634,OOS_2025_2026
USDJPY,M15,2025-07-03 07:00:00,short,B_confirmed,half,0.5,5.0,"B抜け,半値以上の戻し,実体ブレイク",143.76,143.443,143.76,143.2144285714286,-0.09689487328809733,0.5292096219931204,143.89787170462708,143.588,0.7966101694915091,12470-12495-12497-12509-12522-12525,2025-07-03 07:15:00,143.756,143.588,1.1841684741972207,2025-07-03 08:00:00,143.89787170462708,SL,3,0.14187170462707854,-1.0,-1.0704862187021487,-0.5352431093510743,OOS_2025_2026
USDJPY,M5,2025-07-16 21:00:00,short,B_confirmed,normal,1.0,7.5,"B抜け,半値以上の戻し,右肩維持,実体ブレイク,EMA100下向き,調整安値切上げ",147.815,147.485,147.815,148.29707407407412,0.3510191006007893,0.5517582961862314,148.03417618661422,147.0125,0.8079999999999927,40235-40256-40260-40283-40298-40315,2025-07-16 21:05:00,147.702,147.0125,2.0757056880804523,2025-07-16 23:55:00,148.03417618661422,SL,34,0.33217618661421966,-1.0,-1.0301045059909868,-1.0301045059909868,OOS_2025_2026
USDJPY,M15,2025-08-06 00:00:00,short,B_confirmed,normal,1.0,9.0,"斜め抜け,B抜け,半値以上の戻し,右肩維持,実体ブレイク,調整安値切上げ",147.543,147.498,147.543,147.5788333333333,0.11283879096464504,0.6301886792452877,147.65232722428914,147.373,0.8737864077669502,14774-14780-14796-14804-14809-14810,2025-08-06 00:15:00,147.523,147.373,1.1598485997398726,2025-08-06 01:00:00,147.65232722428914,SL,3,0.1293272242891419,-1.0,-1.077323239982585,-1.077323239982585,OOS_2025_2026
