is_oos,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
True,observe_loose,fixed_2R,29,51.724137931034484,9.000221014986698,0.31035244879264473,1.6746353297799164,4.207958076434409,5,2.0,2.0,32.241379310344826,24.137931034482758
False,context,fixed_2R,68,45.588235294117645,7.538945607088234,0.11086684716306226,1.2247007169317654,4.19870526118701,4,2.0,2.0,33.161764705882355,25.0
True,basic_role,fixed_1_5R,26,57.692307692307686,7.52277245722631,0.2893374022010119,1.674897826856081,2.0320447266388295,2,1.5,1.5,30.03846153846154,42.30769230769231
True,basic_role,fixed_2R,25,52.0,6.860873917919503,0.2744349567167801,1.6055793572153354,2.1948736367906747,3,2.0,2.0,32.6,24.0
False,diag_break,fixed_2R,114,43.859649122807014,6.320340134339183,0.055441580125782305,1.1064670871592135,8.09204973617259,6,2.0,2.0,33.35964912280702,20.175438596491226
False,strict_synapse,fixed_1_5R,14,64.28571428571429,5.99616289280196,0.4282973494858543,2.3714249228770163,1.1822497993031749,2,1.500000000000001,1.5,31.857142857142858,42.857142857142854
True,observe_loose,fixed_1_5R,32,50.0,5.82778658660636,0.18211833083144874,1.3599690133898672,3.1586913521561986,3,1.5000000000000002,1.5,29.65625,40.625
True,diag_break,fixed_2R,14,50.0,2.9846311167772157,0.21318793691265828,1.4194532345962958,4.09950454986457,4,2.0,2.0,27.571428571428573,28.57142857142857
False,context,fixed_1_5R,69,46.3768115942029,2.4653532819537687,0.03572975770947491,1.073547248400067,5.4177972722483645,4,1.5,1.5,31.057971014492754,28.985507246376812
True,strict_synapse,fixed_2R,1,100.0,1.9879858855958872,1.9879858855958872,inf,0.0,0,2.0,2.0,53.0,100.0
True,strict_synapse,fixed_1_5R,1,100.0,1.487985885595885,1.487985885595885,inf,0.0,0,1.4999999999999978,1.4999999999999978,46.0,100.0
False,basic_role,fixed_2R,188,40.95744680851064,1.075548818612452,0.005721004354321553,1.0102248453511942,12.084521956807817,8,2.0,2.0,32.3936170212766,20.212765957446805
False,strict_synapse,fixed_2R,14,50.0,1.048189222706895,0.0748706587647782,1.1620963721617783,5.086596133364884,3,2.0,2.0,39.0,21.428571428571427
True,diag_break,fixed_1_5R,14,50.0,0.9363299646106608,0.06688071175790435,1.1315896728736992,4.09950454986457,4,1.5,1.5,24.928571428571427,35.714285714285715
True,context,fixed_2R,5,40.0,0.9310018442201144,0.18620036884402288,1.3051250534240824,1.0216228539352379,2,2.0,2.0,22.2,40.0
False,observe_loose,half_wave,8,62.5,0.05928235130065551,0.007410293912581939,1.0185199537853487,1.053519715798006,2,0.7784758730911892,0.7696545139053622,13.5,50.0
True,context,fixed_1_5R,5,40.0,-0.06899815577988777,-0.013799631155977553,0.9773866549253325,1.0216228539352379,2,1.5000000000000009,1.5,18.2,40.0
True,observe_loose,half_wave,1,0.0,-1.0014497902889516,-1.0014497902889516,0.0,0.0,1,0.5610253481152979,0.5610253481152979,20.0,0.0
False,observe_loose,fixed_2R,240,38.75,-1.4129151609021036,-0.005887146503758765,0.9891721750553658,23.303290161838394,10,2.0,2.0,33.475,20.0
False,diag_break,fixed_1_5R,116,43.103448275862064,-4.031707257609179,-0.03475609704835499,0.9344284668975064,9.842029160517608,6,1.4999999999999996,1.5,30.29310344827586,28.448275862068968
False,observe_loose,fixed_1_5R,245,41.224489795918366,-5.18373871673411,-0.021158117211159632,0.9596782901797567,23.90099047577903,6,1.5,1.5,30.2,29.38775510204082
False,basic_role,fixed_1_5R,190,42.10526315789473,-6.229034205014768,-0.032784390552709305,0.9396359545214459,10.447896305451438,8,1.5,1.5,29.44736842105263,30.0
