通貨,TB単独_Trades,TB単独_WR,TB単独_PF,TB単独_Total_R,TB単独_DD,T5実戦_Trades,T5実戦_WR,T5実戦_PF,T5実戦_Total_R,T5実戦_DD,両方フル_Trades,両方フル_WR,両方フル_PF,両方フル_Total_R,両方フル_DD,両方フル_連敗,採用判定
XAUUSD,75,44.0,2.21,53.2,6.19,7,71.43,7.71,8.64,1.01,79,45.57,2.29,58.15,6.19,6,採用 エース
USDJPY,64,37.5,1.72,29.91,9.37,8,62.5,4.89,7.92,1.01,68,38.24,1.74,31.88,9.37,9,採用
EURJPY,55,30.91,1.29,11.42,9.39,2,50.0,1.96,0.97,0.0,57,31.58,1.31,12.39,7.41,7,採用 (弱め)
GBPJPY,59,42.37,2.11,39.11,6.16,10,60.0,2.6,6.47,2.02,64,42.19,2.05,40.08,6.16,6,採用
CHFJPY,64,35.94,1.56,24.35,9.37,5,80.0,7.9,6.93,1.0,67,37.31,1.62,27.29,9.37,10,採用
SILVER,64,43.75,1.86,36.62,6.41,3,66.67,2.06,1.12,0.0,64,43.75,1.87,36.62,6.41,5,採用
AUDJPY,80,25.0,0.95,-3.08,17.95,4,75.0,4.83,3.86,0.0,82,25.61,0.97,-2.09,17.95,12,❌ 除外
