TF,戦略,Trades,WR%,PF,Total_R,DD_R,採用判定
H1,VFIB_618_BODY60_LONG_RR2,1513,38.6,1.19,186.64,50.87,❌ DD大
H4,VFIB_618_BODY60_LONG_RR2,566,43.29,1.33,103.78,14.62,⚠️
D1,VFIB_618_BODY60_LONG_RR2,160,51.25,1.41,29.77,18.15,件数少
H4,T5 + MACD + BB Strict (採用),99,55.56,2.55,59.76,6.67,✅ 採用
H4,T5 + MACD + BB 実戦用,39,66.67,4.14,35.9,4.35,✅ 採用 (絞り版)
H4,T5 + MACD + BB 超厳選,17,82.35,12.09,22.56,1.01,件数少すぎ
